400 PA5-F-OurOutput-Iter=9.txt 6
68.511388   51.239774   65.930723   -130.901287   20.006139   -76.410354
  -42.65    -8.51   -44.35      -42.48    -8.55   -44.20       0.229
  -22.89   -20.97   -50.25      -22.87   -20.94   -50.04       0.221
   10.21    -9.52    14.94       10.24    -9.60    14.99       0.099
  -11.57    -3.21     2.84      -11.74    -3.25     2.96       0.207
    5.04   -14.63    -2.95        5.03   -14.52    -3.00       0.114
  -30.78   -26.35   -44.23      -30.66   -26.16   -44.04       0.290
  -45.60   -12.08   -38.90      -45.46   -12.12   -38.88       0.145
   -6.37     2.93    40.74       -5.83     2.93    40.71       0.541
   -7.90     7.90   -22.71       -7.96     7.84   -22.69       0.092
    0.20    13.70     8.80        0.34    13.53     8.98       0.287
  -26.59    10.50   -34.75      -26.60    10.52   -34.77       0.032
   35.61     5.66   -28.56       35.44     5.75   -28.30       0.315
   38.20     5.92   -11.53       38.21     5.92   -11.53       0.009
    8.23     0.28    69.50        8.08     0.13    68.90       0.635
  -39.28   -25.99   -20.28      -39.33   -26.03   -20.26       0.070
   25.95    12.76    19.13       25.86    12.78    19.07       0.108
   34.44    14.77    -4.52       34.57    14.88    -4.52       0.173
   17.08     1.74    57.09       17.32     1.63    57.12       0.268
   -8.97     0.89   -38.39       -9.10     0.85   -38.31       0.157
   10.97    -2.93    65.72       11.25    -3.32    65.69       0.479
   13.49    22.72    22.87       13.53    22.49    22.81       0.239
   -6.51     6.61   -22.40       -6.53     6.54   -22.38       0.068
   31.58    18.22    -5.34       31.57    18.21    -5.34       0.016
   19.34     9.26    41.80       19.54     9.27    41.84       0.205
   -4.83    -0.93    38.93       -4.68    -0.78    38.92       0.206
   14.13    14.27    58.27       14.62    14.42    58.43       0.533
  -21.82   -27.70   -12.43      -21.80   -27.81   -12.30       0.168
   -0.09   -20.48   -33.92       -0.26   -20.44   -33.91       0.177
   22.63   -12.98   -11.09       22.72   -13.15   -11.09       0.195
   12.85    -3.12    27.33       13.01    -3.51    27.40       0.429
   38.28     3.89    -7.89       38.19     3.91    -7.89       0.097
  -21.77    -6.08    -7.16      -21.86    -6.01    -7.00       0.198
  -35.64     1.90   -12.22      -35.49     2.13   -11.76       0.537
   26.11    -5.70   -24.22       26.07    -5.61   -24.18       0.106
    0.12    -3.17    41.16       -0.01    -3.44    41.17       0.301
  -39.65   -25.95   -36.83      -39.52   -25.83   -36.80       0.169
   30.59    21.53   -18.61       30.70    21.74   -18.65       0.238
   -6.13     2.83    41.60       -5.79     2.83    41.59       0.346
   20.91    22.46   -26.90       21.11    22.72   -27.19       0.441
  -27.47     1.97   -46.30      -27.48     1.99   -46.33       0.038
  -33.84     8.40   -27.62      -33.90     8.48   -27.62       0.098
    2.67    -1.42   -24.95        2.77    -1.41   -25.10       0.178
   -8.64     0.77     5.01       -8.87     0.90     5.05       0.266
   24.14    25.27   -14.45       24.19    25.55   -14.44       0.283
    5.47    -4.77    53.87        5.47    -4.75    53.87       0.021
   -4.85    -3.81   -32.13       -4.87    -3.83   -32.13       0.025
    0.79    -5.72    26.93        0.78    -5.75    26.94       0.039
    0.78    -4.05   -28.08        0.78    -4.05   -28.08       0.002
   21.93    18.70    25.88       21.91    18.70    25.87       0.023
   36.59     3.05    -1.38       36.42     3.15    -1.41       0.200
   19.37    15.13   -16.44       19.03    14.96   -16.46       0.379
   18.81    19.96    40.87       18.91    19.95    40.89       0.107
   -0.88    -2.81   -28.46       -0.83    -2.74   -28.54       0.126
   19.37    15.42    38.20       19.41    15.43    38.21       0.047
   -0.57    -6.06    19.99       -0.61    -6.17    19.99       0.115
   21.70    16.16    27.75       21.76    16.16    27.77       0.068
  -11.24    20.26    21.11      -10.81    19.87    21.25       0.600
   26.47    -7.74   -19.16       26.38    -7.51   -19.07       0.264
   11.76   -15.32    -9.28       11.72   -15.62    -9.37       0.314
    9.45    -2.49   -22.35        9.36    -2.60   -22.73       0.404
   -3.73    12.35    32.83       -4.63    12.27    33.85       1.360
   10.78    20.35    34.49       10.92    20.11    34.45       0.277
  -41.86    -1.79   -41.65      -41.77    -1.86   -41.57       0.140
  -27.68   -20.54    -6.69      -27.70   -20.55    -6.58       0.117
  -37.11   -28.93   -34.92      -37.06   -28.88   -34.91       0.081
  -31.32     6.90   -16.59      -31.32     7.15   -16.50       0.265
    2.04    16.81     8.16        2.14    16.71     8.26       0.168
   -8.52   -23.78    -8.55       -8.45   -23.49    -8.71       0.335
  -45.50   -12.07   -34.38      -45.54   -12.05   -34.37       0.047
   23.22     8.57   -26.97       22.93     8.71   -27.23       0.418
  -42.57   -10.17   -12.59      -42.58   -10.17   -12.58       0.013
   -9.22    -2.20     7.19       -9.31    -2.19     7.24       0.107
   -5.82     5.14    34.24       -5.91     5.15    34.26       0.085
   18.77    11.50    43.43       18.91    11.53    43.45       0.145
   -0.51    -7.97   -29.85       -0.36    -7.94   -30.02       0.231
  -37.10   -27.97   -37.52      -36.95   -27.79   -37.43       0.252
   -1.50    -3.76    61.62       -1.47    -3.73    61.62       0.045
  -27.61     0.22   -47.73      -27.59     0.18   -47.67       0.071
  -40.32   -26.53   -28.94      -40.20   -26.43   -28.93       0.161
    8.23    -0.44   -22.43        8.32    -0.42   -22.79       0.374
  -28.71    -7.22   -50.97      -28.71    -7.26   -50.76       0.214
   23.61    25.64    -6.66       23.66    25.74    -6.67       0.105
   28.40    15.58   -27.23       28.39    15.85   -27.58       0.443
  -34.51     3.36   -42.08      -34.54     3.42   -42.15       0.095
  -21.31    -2.43    -8.84      -21.40    -2.33    -8.68       0.210
   -5.82    -2.50    15.54       -5.84    -2.50    15.55       0.017
  -39.00   -24.01   -40.24      -38.89   -23.90   -40.14       0.188
  -38.52   -22.36   -13.90      -38.47   -22.33   -13.93       0.065
   -4.54    -3.20    18.00       -4.61    -3.25    18.02       0.083
  -19.14   -33.50   -33.23      -19.23   -33.25   -33.20       0.264
  -11.94    16.72    25.07      -12.17    16.77    25.06       0.234
   21.71    25.11   -15.74       21.44    25.62   -15.79       0.582
   15.12    -1.98    34.93       15.12    -1.98    34.93       0.002
   28.15    -0.72   -28.54       28.07    -0.83   -28.74       0.246
   30.12    21.27     0.53       30.01    21.18     0.51       0.148
   35.28     1.55     0.40       35.26     1.57     0.40       0.026
    9.64    19.03    38.83        9.53    19.16    38.81       0.172
   28.30    21.69   -21.01       28.35    21.78   -21.08       0.119
   11.95     8.90    70.80       12.00     8.93    70.02       0.778
   27.38    -3.59     6.81       27.38    -3.60     6.81       0.002
   11.95    -3.28    30.49       11.99    -3.40    30.51       0.126
   10.28    19.78    48.75       10.25    19.82    48.75       0.054
  -11.70    15.96    18.17      -11.67    15.94    18.17       0.042
   -2.67   -14.18   -35.20       -2.61   -14.15   -35.22       0.072
    3.44    12.65     4.67        3.46    12.63     4.68       0.025
  -11.55    -2.31     2.83      -11.71    -2.29     2.91       0.183
    1.32    -5.80    25.98        1.21    -6.06    26.02       0.284
   22.26    -0.59   -24.79       22.07    -0.75   -25.22       0.495
   11.83     6.98    70.24       11.86     7.21    69.59       0.694
   17.32    14.23    47.55       17.29    14.22    47.54       0.027
   10.36    21.26    26.10       10.37    21.22    26.09       0.039
   -3.62   -11.81   -35.88       -3.59   -11.80   -35.89       0.036
    7.83    18.03    51.67        7.95    17.95    51.67       0.143
    0.31    -3.65    54.83        0.24    -3.80    54.82       0.167
   -8.10     2.25     3.09       -8.30     2.37     3.12       0.238
    0.43     7.42    -2.78        0.16     7.80    -2.83       0.472
   12.74    -2.63    54.66       12.85    -2.75    54.66       0.160
    4.95     2.56    69.64        4.76     2.62    69.21       0.471
   10.04   -13.41     5.36        9.98   -13.26     5.27       0.186
   27.68    -0.65    12.63       27.61    -0.43    12.20       0.488
   26.13    -3.58     9.06       26.14    -3.61     9.07       0.026
    6.31     5.84    69.40        6.58     5.69    69.49       0.324
  -21.54   -11.29    -5.27      -21.55   -11.29    -5.25       0.023
   22.01   -14.04    -4.19       21.98   -14.04    -4.20       0.035
    0.57    16.61     9.33        0.64    16.66     9.43       0.129
  -32.27     3.56   -42.89      -32.27     3.55   -42.88       0.009
   -0.51    14.68    37.12       -0.66    14.79    37.28       0.249
   36.63     2.61    -1.58       36.45     2.68    -1.77       0.278
    6.72   -15.24    -1.99        6.78   -15.18    -2.02       0.090
   21.60   -11.18    -2.18       21.54   -11.15    -2.22       0.082
    8.04    -4.54    69.45        7.99    -4.49    69.41       0.080
   -1.77    18.22     9.65       -1.46    18.05    10.30       0.734
    3.66    -8.45    19.54        3.64    -8.50    19.54       0.045
  -30.73   -22.21   -48.84      -30.61   -22.00   -48.52       0.403
  -28.08   -25.92   -46.02      -28.03   -25.73   -45.74       0.336
  -19.66   -30.39   -40.46      -19.74   -30.21   -40.33       0.237
   19.10    20.99    36.32       19.24    21.03    36.33       0.145
   -7.39   -21.22   -40.84       -7.60   -21.10   -40.70       0.277
   14.88    25.12    10.41       14.83    25.22    10.43       0.111
   18.72   -15.65    -3.38       18.75   -15.69    -3.34       0.058
   -2.69    -2.12    38.19       -2.72    -2.18    38.19       0.063
   23.95    25.86    -3.29       23.94    25.83    -3.29       0.027
   32.75    17.81    -7.20       32.65    17.78    -7.25       0.117
   18.13    -1.79    24.81       18.14    -1.82    24.81       0.026
  -13.37     7.54   -39.38      -13.42     7.48   -39.36       0.083
   -1.48    -5.22    22.15       -1.44    -5.16    22.14       0.073
   26.44   -10.03   -13.61       26.15    -9.85   -13.55       0.349
  -13.64    -8.56   -48.95      -13.67    -8.55   -48.89       0.059
   -3.12   -11.28   -34.50       -3.20   -11.30   -34.48       0.078
   11.61    21.92    23.68       11.64    21.84    23.66       0.086
  -16.41   -27.27   -13.83      -16.37   -27.37   -13.79       0.114
    2.26    10.51     2.76        2.12    10.69     2.68       0.241
   17.72    11.86   -13.66       17.51    12.13   -13.89       0.417
   11.68    -9.39    11.07       11.92    -9.86    11.18       0.541
  -13.53   -11.05   -48.80      -13.56   -11.05   -48.72       0.086
   37.54     5.75   -16.19       37.43     5.82   -16.13       0.145
   25.84    -5.52     3.27       25.64    -5.27     3.16       0.338
   -0.34    -6.04    19.77       -0.39    -6.23    19.76       0.194
   -5.32    20.36    13.15       -4.91    19.37    13.88       1.301
   14.59    23.06    22.28       14.61    22.64    22.24       0.421
   23.22    11.37   -26.45       22.75    11.27   -26.75       0.566
   -5.75     0.20    57.79       -5.45     0.43    57.81       0.377
   17.18     6.84    61.70       17.58     6.95    61.71       0.416
   11.44    15.24    66.29       11.79    15.60    66.36       0.511
    2.78    -0.62    70.17        2.79    -0.63    69.68       0.499
   37.92     6.17    -7.58       38.17     6.19    -7.61       0.255
   19.10   -13.97   -12.97       19.14   -14.42   -13.25       0.535
   36.55     4.26     1.03       36.44     4.32     1.01       0.131
   -1.31    10.80    60.26       -1.39    10.91    60.26       0.132
  -18.04    10.21   -21.16      -17.91    10.49   -20.78       0.490
   11.85   -12.99   -14.97       11.92   -13.21   -15.03       0.237
   31.74    -5.59   -21.75       31.48    -5.13   -21.70       0.538
  -46.11   -15.99   -24.87      -46.12   -16.00   -24.87       0.009
   26.49    -5.78     0.62       26.46    -5.74     0.61       0.054
   37.21     4.78   -18.44       37.07     4.80   -18.41       0.148
   -1.60    -1.99    50.43       -1.72    -2.20    50.43       0.241
    5.42    -8.62    19.17        5.41    -8.75    19.20       0.139
   18.09    20.98   -25.59       17.53    21.25   -25.67       0.630
  -40.18    -1.15   -42.91      -40.07    -1.24   -42.79       0.190
  -21.73    -2.87    -8.90      -21.85    -2.74    -8.68       0.285
    0.47     9.81     3.48        0.45     9.83     3.47       0.026
  -22.50   -34.23   -24.76      -22.51   -34.05   -24.77       0.184
   14.98    10.31    65.93       15.40    10.53    66.01       0.487
   -0.39    -6.46    18.74       -0.42    -6.35    18.70       0.118
   12.86    -3.84    24.62       12.95    -4.06    24.66       0.246
    9.26     9.66    -8.29        9.15     9.99    -8.41       0.366
   10.61    21.87     4.96       10.21    22.26     4.85       0.569
   27.05    -3.04   -27.33       27.06    -3.02   -27.29       0.045
  -13.49   -32.27   -28.47      -13.65   -32.02   -28.46       0.295
    5.11    15.28    60.63        4.99    15.39    60.61       0.164
   -2.16   -24.83   -27.89       -2.29   -24.66   -27.84       0.226
   21.86    23.56    15.82       21.81    23.47    15.79       0.108
   17.61    -5.28    12.26       17.76    -5.53    12.38       0.317
    6.24    16.27    57.96        6.17    16.34    57.95       0.094
  -15.32   -28.05   -41.50      -15.36   -27.94   -41.39       0.160
  -14.80   -25.59   -11.48      -14.80   -25.58   -11.48       0.001
   -4.58   -22.76   -35.38       -4.67   -22.71   -35.31       0.126
   32.14    19.16    -8.15       32.24    19.22    -8.13       0.121
   -9.28    20.71    16.30       -8.59    20.32    16.81       0.943
  -22.96    -9.42   -51.38      -22.98    -9.47   -51.27       0.121
  -20.74   -11.94   -51.16      -20.82   -11.93   -50.94       0.237
  -21.02   -15.59    -6.42      -21.06   -15.66    -6.25       0.195
    5.51   -14.41   -25.01        5.44   -14.39   -24.95       0.090
  -25.50    10.46   -35.24      -25.56    10.62   -35.32       0.190
   13.95    23.03    -1.66       13.65    23.33    -1.77       0.437
   18.09   -14.17    -1.52       18.16   -14.25    -1.45       0.126
   16.15     9.07    66.98       16.21     9.11    66.98       0.076
    1.64    -2.17   -26.45        1.65    -2.16   -26.46       0.009
   19.40    21.39    30.50       19.51    21.53    30.53       0.186
  -10.57    15.92    15.66      -10.03    15.96    16.07       0.679
   -3.58     8.64    48.92       -3.43     8.50    48.94       0.202
   -6.05     5.24    30.04       -5.96     5.26    30.05       0.099
    0.42    20.49    31.08        0.39    20.39    31.03       0.114
   36.77     1.43    -2.68       36.67     1.53    -2.74       0.156
   -3.25    -6.59   -31.19       -3.14    -6.39   -31.41       0.309
   -6.03     0.58    36.85       -5.58     0.64    36.84       0.461
  -40.06     1.76   -18.94      -40.10     1.81   -18.92       0.067
   24.50    19.13   -26.89       24.71    19.28   -27.22       0.415
  -31.49     9.59   -26.90      -31.60     9.82   -26.89       0.258
   21.97    21.75   -27.45       22.06    21.97   -27.64       0.306
   -4.46     5.72    -8.97       -4.51     5.82    -8.93       0.116
    2.55    -5.09    69.66        2.50    -5.00    69.42       0.266
  -42.73    -4.03   -42.23      -42.48    -4.13   -42.07       0.316
   18.15    20.93   -21.65       17.60    21.12   -21.57       0.584
   26.35     5.33    15.99       26.06     5.37    15.85       0.328
   25.36    -8.77   -18.15       25.17    -8.60   -17.99       0.301
  -22.29   -13.14    -5.57      -22.30   -13.17    -5.49       0.084
  -27.47   -34.41   -31.29      -27.40   -34.19   -31.30       0.229
   22.02    17.21    26.71       21.95    17.20    26.69       0.076
  -13.29   -30.93   -35.62      -13.36   -30.79   -35.54       0.172
    7.44    19.07    31.53        7.44    18.99    31.52       0.077
   35.03     5.19   -28.78       34.93     5.16   -28.64       0.170
   14.99    24.57    -0.01       14.64    24.92    -0.14       0.516
   -5.22    -1.01   -31.74       -5.08    -0.87   -31.94       0.283
   34.40     0.07    -0.36       34.41     0.05    -0.36       0.019
   13.04    -3.20    27.20       13.16    -3.47    27.26       0.302
   27.48    12.00   -29.37       27.39    12.08   -29.91       0.560
   -8.10    10.68    27.43       -8.69    10.20    27.42       0.766
   20.54     7.03    36.69       20.59     7.03    36.70       0.061
   33.03    -0.81     4.38       33.02    -0.80     4.38       0.015
    6.13     4.14    69.33        5.93     3.93    68.80       0.604
   -4.19    17.62    10.84       -3.87    17.89    11.46       0.753
   37.30    11.77    -9.62       37.33    11.78    -9.62       0.028
   23.37    20.06    19.56       23.37    20.07    19.56       0.002
    1.45    14.90    38.99        1.27    15.17    39.10       0.346
  -32.83   -21.40    -8.53      -32.84   -21.41    -8.50       0.038
  -40.23   -15.22   -10.40      -40.21   -15.22   -10.41       0.021
  -42.76   -19.19   -17.91      -42.78   -19.19   -17.90       0.020
    9.34    -6.77   -22.92        9.43    -6.90   -23.33       0.440
   12.73    -6.12   -22.03       12.77    -6.38   -22.31       0.380
    5.54    15.04     3.83        5.30    14.97     3.72       0.273
    6.57     0.92   -22.33        6.68     0.99   -22.58       0.288
   24.94    -1.30    13.93       24.88    -1.24    13.90       0.081
   -8.17   -10.03   -42.40       -8.15   -10.02   -42.41       0.025
  -42.89     1.10   -34.15      -42.89     1.10   -34.15       0.000
  -18.15   -12.70   -50.18      -18.14   -12.71   -50.16       0.022
   19.52     5.80    44.80       19.48     5.80    44.80       0.048
   -6.07     4.10    26.38       -5.88     4.15    26.35       0.198
   23.98     6.76    21.71       23.76     6.78    21.63       0.232
  -20.96    -4.79    -7.05      -20.97    -4.78    -7.02       0.035
   27.70    20.73   -22.99       27.89    20.94   -23.11       0.309
   20.03    23.73   -21.57       19.61    24.21   -21.59       0.644
    3.60    11.36    69.38        3.76    11.20    68.87       0.554
   -6.52     3.49   -28.61       -6.40     3.62   -28.69       0.194
   -3.63    -8.70     9.28       -3.60    -8.57     9.22       0.158
  -44.27    -8.70   -42.04      -44.21    -8.72   -42.00       0.070
  -44.13   -21.29   -26.39      -43.92   -21.18   -26.39       0.237
   32.11     1.12     9.27       31.97     1.15     9.20       0.163
   33.94    16.97   -20.91       33.79    16.92   -20.88       0.151
    5.68   -16.89   -19.33        5.60   -16.79   -19.31       0.129
   37.09     1.23   -11.50       37.05     1.25   -11.50       0.042
   16.30     8.40    62.63       16.82     8.65    62.68       0.582
  -20.98   -30.44   -14.60      -20.98   -30.44   -14.60       0.001
   21.52    25.32   -11.01       21.35    25.84   -11.07       0.551
    9.85    19.76    32.77        9.85    19.77    32.77       0.004
    7.06    -4.22    38.05        7.16    -4.57    38.07       0.362
  -14.25    11.27   -32.30      -14.38    11.13   -32.25       0.196
   16.94    18.79    -8.49       16.35    19.00    -8.87       0.730
    9.95    -3.53    34.71       10.06    -3.83    34.73       0.325
    0.75    23.29    19.87        0.34    22.29    20.03       1.091
   -1.93     6.10    -5.59       -2.03     6.40    -5.61       0.316
  -34.72   -25.43   -42.37      -34.65   -25.32   -42.26       0.169
  -12.58   -15.53    -3.54      -12.57   -15.50    -3.60       0.065
  -42.47    -3.66   -42.24      -42.28    -3.73   -42.11       0.237
   20.31    22.47   -26.76       20.09    22.94   -27.34       0.772
   15.26    -9.70   -18.52       15.23   -10.14   -18.96       0.621
  -11.38   -12.07   -47.51      -11.55   -12.07   -47.41       0.200
  -24.85   -22.05    -6.97      -24.86   -22.10    -6.86       0.129
   16.24    17.86    48.61       16.36    17.88    48.66       0.129
   21.98    11.52   -26.54       22.00    11.36   -26.67       0.207
   -1.74   -23.57   -31.80       -1.83   -23.48   -31.72       0.143
    9.52    12.47    -3.42        9.17    12.74    -3.69       0.519
   23.13     5.15    24.11       23.05     5.15    24.09       0.083
  -11.86   -30.87   -22.15      -11.92   -30.74   -22.18       0.147
    0.80    -5.53    68.88        0.93    -5.22    68.71       0.379
   18.01     4.21    56.37       18.24     4.20    56.40       0.235
    1.79   -10.60     4.37        1.79   -10.56     4.36       0.038
    0.75    17.78     8.67        0.93    17.67     9.06       0.445
  -45.79   -16.60   -24.57      -45.86   -16.62   -24.56       0.067
  -36.89   -29.30   -33.98      -36.78   -29.14   -33.96       0.191
  -27.28   -11.43   -52.12      -27.23   -11.40   -51.95       0.186
  -25.42    12.89   -26.19      -25.52    13.08   -26.17       0.214
   34.30    15.04    -0.19       34.39    15.14    -0.17       0.136
    0.35    15.82     9.89        0.47    15.87    10.00       0.169
   -6.58     0.53    61.94       -6.10     0.86    61.97       0.583
   15.08    23.60    -3.34       14.65    23.97    -3.39       0.562
   14.21    22.06    31.21       14.28    21.92    31.22       0.161
   28.34    16.10   -26.79       28.34    16.39   -27.16       0.468
   31.17    18.53    -4.39       31.07    18.52    -4.40       0.100
    5.62     6.08    71.04        6.02     5.93    70.75       0.517
    1.91    12.72     6.43        1.98    12.62     6.49       0.131
   10.23    17.42    -0.09        9.83    17.29    -0.38       0.517
   19.88    14.22    35.94       20.04    14.23    35.97       0.159
   20.02    12.98    35.86       20.16    12.99    35.89       0.143
   13.05    -4.07    24.05       13.08    -4.14    24.06       0.069
    3.11    13.23    54.44        3.06    13.35    54.43       0.129
   28.79    -5.57    -3.23       28.64    -5.38    -3.28       0.246
   19.67    13.47    37.16       19.87    13.48    37.20       0.205
   14.59    24.29    13.06       14.61    24.22    13.04       0.079
  -36.70   -27.31   -18.24      -36.67   -27.27   -18.26       0.059
    0.74    18.00     8.52        0.95    17.76     9.07       0.642
  -42.75   -19.70   -39.73      -42.61   -19.58   -39.66       0.198
    5.18    -4.32    46.88        5.22    -4.54    46.90       0.223
   18.55    22.47    29.18       18.54    22.38    29.19       0.093
   19.02     4.71    46.81       19.21     4.70    46.85       0.195
   -7.27    -0.79   -35.75       -7.38    -0.81   -35.70       0.124
    6.66    18.24    36.08        6.66    18.09    36.04       0.152
   34.27     0.20   -30.10       34.14     0.19   -29.96       0.188
    1.44   -18.81   -12.15        1.44   -18.85   -12.15       0.037
  -10.87   -25.21   -41.52      -10.94   -25.13   -41.45       0.136
    2.93    14.94     7.96        2.92    14.94     7.96       0.008
    1.48    22.03    13.46        1.38    21.13    13.66       0.923
   -9.43     5.68   -30.03       -9.39     5.72   -30.05       0.061
   15.14    22.46    29.03       15.16    22.22    29.00       0.244
   20.08    21.35   -27.70       19.84    21.89   -28.17       0.751
   31.43    11.46   -31.01       31.38    11.42   -31.17       0.169
  -17.33   -17.12   -49.86      -17.39   -17.05   -49.65       0.232
  -38.46   -17.88    -9.21      -38.43   -17.86    -9.22       0.037
   18.91    16.70    39.12       19.01    16.69    39.13       0.100
   13.01    19.30    -4.24       12.44    19.47    -4.42       0.613
