150 PA5-D-OurOutput-Iter=3.txt 6
12.704951   -69.757397   38.953353   -128.656626   -52.744043   -51.934296
   24.86     3.57    17.77       27.15     2.93    18.94       2.650
   -8.61    -5.12    43.15       -6.28    -3.35    43.38       2.935
   11.35    -3.39    63.28       11.35    -3.37    63.48       0.205
  -17.73   -31.32   -12.70      -17.82   -30.87   -12.98       0.535
   -5.59    -5.81    25.64       -5.10    -5.44    25.53       0.627
    6.17    10.30    63.49        6.27    10.24    64.43       0.943
   20.35   -15.57    -4.90       20.35   -15.58    -4.89       0.026
  -10.51   -29.86   -37.22      -11.21   -29.14   -36.66       1.154
  -43.18    -2.17   -12.56      -41.72    -2.84   -13.34       1.786
    5.30   -18.70   -16.95        4.77   -17.57   -16.75       1.269
    3.02     5.18    65.94        3.71     5.39    64.37       1.729
   33.05    -1.63     4.94       34.48    -2.87     5.47       1.965
   17.12    11.59    38.95       20.49    12.87    39.72       3.691
  -44.73    -4.90   -37.74      -42.69    -5.42   -37.12       2.189
   -1.76   -11.57   -28.69       -0.72   -11.45   -29.05       1.106
  -44.28   -18.16   -34.38      -42.10   -17.82   -33.70       2.308
   13.69    -6.47    20.36       13.87    -6.94    20.45       0.521
   21.71    -6.30   -22.71       21.29    -7.15   -23.30       1.118
   21.75   -15.04    -4.84       21.78   -15.06    -4.80       0.055
   -0.72   -11.77   -27.53       -0.29   -11.86   -28.01       0.646
    2.37   -13.11     8.23        2.54   -12.51     8.22       0.620
    0.89     6.17   -21.44        0.87     6.15   -21.42       0.024
    7.67    25.14     7.07        7.36    25.65     6.96       0.617
   -1.26    27.44     5.25       -2.48    24.49    10.28       5.958
    0.87    10.46    -4.50        0.31    11.34    -4.67       1.050
   11.42    18.66    43.93       10.31    20.20    44.29       1.927
    6.42   -17.39     4.93        7.62   -15.62     3.18       2.764
   33.58    21.97   -21.15       32.63    21.23   -20.99       1.224
   -5.36     7.74    -6.14       -5.61     8.44    -6.20       0.747
  -15.18   -33.71   -33.42      -15.53   -32.54   -32.73       1.409
  -18.24   -30.32   -10.55      -18.36   -29.72   -10.92       0.716
  -28.56   -32.55   -37.71      -27.97   -30.78   -36.69       2.132
   -6.69     8.28    57.85       -6.12     7.88    57.85       0.698
  -33.55   -34.76   -29.46      -31.95   -32.82   -28.99       2.562
    2.69    -6.50   -25.43        2.74    -6.45   -25.57       0.157
  -39.76     4.38   -17.41      -39.08     3.51   -17.65       1.131
    4.18    -8.78    52.05        4.17    -8.64    52.07       0.140
   24.73    19.77    17.92       25.36    20.26    18.18       0.839
   22.28    28.98     7.13       21.74    27.90     6.92       1.225
  -11.29    13.69    18.89      -11.42    13.61    18.88       0.157
  -23.49    11.06   -36.87      -23.34    10.28   -35.84       1.295
  -10.81   -30.79   -11.08      -10.58   -29.54   -12.58       1.967
   16.04    28.56    -2.21       15.82    29.42    -2.12       0.893
  -33.34     9.03   -18.32      -32.94     8.50   -18.43       0.669
   -5.95    -1.44   -34.36       -5.68    -1.22   -34.38       0.347
    7.03    -2.80   -22.85        7.10    -2.83   -23.17       0.332
   18.62    12.30    34.74       21.71    13.16    35.75       3.361
   24.86    -2.50    11.45       25.92    -3.96    12.22       1.967
  -37.92     2.55   -40.74      -36.78     1.32   -39.05       2.374
  -47.56    -6.53   -25.86      -45.54    -6.59   -25.84       2.022
   35.33     9.68   -31.99       33.83    10.55   -30.22       2.471
  -26.27   -28.57   -43.86      -26.15   -27.09   -42.07       2.333
   -1.79    -8.45    46.02       -1.32    -7.46    46.06       1.094
   20.40     7.11   -28.08       20.92     7.08   -27.71       0.635
   35.07    -2.39   -29.87       33.11    -2.62   -27.61       2.999
