150 PA5-B-OurOutput-Iter=9.txt 6
45.540516   137.350450   73.433368   -4.671123   -32.957134   6.338869
   -4.69     6.17    64.56       -4.50     6.11    64.56       0.199
   -3.04    17.51    11.37       -2.20    17.26    11.99       1.077
   -2.77     0.15    59.72       -2.87     0.07    59.72       0.130
   -4.68     3.37    35.31       -4.65     3.37    35.31       0.032
    1.36   -14.73    -6.89        1.37   -14.78    -6.87       0.056
   13.90    -4.08    17.52       13.94    -4.41    17.58       0.334
   -1.57     2.31    68.56       -1.57     2.29    68.37       0.194
   -0.01   -15.01    -7.24       -0.01   -15.05    -7.22       0.046
  -21.12     7.85   -23.18      -20.98     8.16   -22.95       0.414
   22.59     8.13    67.73       22.35     8.08    67.66       0.257
  -26.79   -14.96   -10.55      -26.84   -14.96   -10.42       0.147
    2.86     8.45    68.40        2.86     8.45    68.41       0.010
    3.03   -16.32   -16.82        3.04   -16.35   -16.82       0.029
  -31.19   -27.54   -41.38      -31.01   -27.25   -41.16       0.407
  -40.18   -16.94   -19.56      -40.17   -16.94   -19.56       0.011
   31.34     8.45   -17.68       31.61     8.56   -17.73       0.296
   -1.97    19.28    38.39       -2.49    19.84    38.94       0.944
    8.00    19.15    63.95        7.84    19.46    63.94       0.352
   -7.78   -25.39   -39.38       -7.66   -25.52   -39.44       0.188
   -4.49     1.87    45.79       -4.42     1.87    45.79       0.072
   -9.62     5.27     5.93       -9.61     5.27     5.93       0.005
  -39.21   -23.42   -37.99      -38.90   -23.20   -37.74       0.452
   -7.93     9.07    15.07       -8.25     9.07    15.05       0.325
   18.36    21.89   -13.69       18.31    22.48   -13.71       0.594
    6.97   -13.07   -19.21        6.93   -13.03   -19.19       0.060
    4.36    -4.08    61.27        4.27    -4.44    61.27       0.365
   36.13     1.57     5.31       36.00     1.64     5.33       0.146
  -11.54   -18.78   -48.19      -11.62   -18.75   -48.07       0.149
   25.16   -11.40   -19.83       25.00   -10.92   -19.78       0.501
   28.59     1.26   -29.18       28.39     1.53   -28.76       0.539
   17.26    22.26    21.47       17.26    22.26    21.47       0.002
   -4.42     5.18    53.81       -4.35     5.17    53.81       0.065
  -29.84   -17.30   -49.93      -29.61   -17.31   -49.41       0.573
   14.24     9.62   -21.60       14.36     9.74   -21.61       0.172
  -32.58   -16.68   -12.19      -32.58   -16.75   -11.98       0.229
   -0.60    18.23    42.09       -0.87    18.63    42.25       0.511
   30.14    -0.78    17.74       30.16    -0.78    17.75       0.024
   15.47    21.77    45.71       15.45    21.74    45.71       0.036
   -6.63     3.00    19.64       -6.98     2.94    19.77       0.370
  -45.73   -14.98   -33.78      -45.43   -14.90   -33.85       0.316
   13.62   -10.58     1.44       13.83   -10.82     1.57       0.351
   34.21     6.45   -11.83       34.17     6.44   -11.80       0.044
   23.94    11.11   -26.19       23.94    11.11   -26.18       0.001
  -11.00   -13.49   -49.16      -11.02   -13.48   -49.12       0.049
  -12.49   -26.07   -43.17      -12.49   -26.06   -43.17       0.011
   11.57    22.33    32.23       11.58    22.29    32.23       0.041
   23.98     5.63    53.48       23.61     5.67    53.45       0.377
   -3.25     8.66    66.20       -3.29     8.68    66.20       0.044
    9.48    -3.30    42.14        9.53    -3.62    42.13       0.322
   26.37     7.29    30.89       26.30     7.27    30.88       0.071
    5.06    15.90     0.40        5.09    15.88     0.42       0.041
  -32.19     3.83   -41.98      -32.08     3.60   -41.85       0.291
   18.04    -3.55    21.64       18.04    -3.66    21.65       0.112
   21.52    12.83    61.99       21.49    12.82    61.99       0.025
   -5.84    -6.36    16.22       -5.88    -6.37    16.24       0.049
    7.00    19.22    53.22        6.87    19.52    53.24       0.321
   10.34    -4.53    66.03       10.34    -4.75    66.02       0.222
  -31.81   -17.38   -11.92      -31.86   -17.38   -11.77       0.155
   33.44    10.66   -11.13       33.57    10.78   -11.23       0.200
   23.33     9.88    54.87       23.13     9.83    54.84       0.205
  -20.32     9.07   -34.99      -20.32     9.03   -34.98       0.043
   -4.51     3.82   -22.87       -4.48     3.88   -22.91       0.081
   21.22    -3.39   -25.35       21.52    -3.22   -24.71       0.728
    0.43    18.53    43.07        0.19    18.93    43.24       0.494
  -38.38    -0.12   -40.55      -38.10    -0.47   -40.28       0.517
   26.11    17.76   -19.96       26.22    17.89   -20.12       0.230
   33.23     2.71    11.50       33.49     2.75    11.67       0.309
   -0.55    -1.93    67.98       -0.60    -1.97    68.09       0.125
   32.01    -3.88   -22.62       31.65    -3.64   -22.53       0.449
  -37.96   -23.12   -22.48      -37.97   -23.13   -22.47       0.012
  -17.18     2.63   -13.98      -17.21     2.74   -13.95       0.120
   -1.45    12.11    51.18       -1.81    12.28    51.20       0.405
  -13.36    19.80    24.74      -13.48    19.78    24.68       0.134
  -15.03   -31.30   -34.45      -15.03   -31.30   -34.45       0.002
    0.53    15.49     6.27        0.71    15.31     6.43       0.297
   -4.81    -0.74   -33.03       -4.68    -0.70   -33.01       0.137
  -13.53   -31.10   -32.84      -13.51   -31.18   -32.85       0.079
   37.35     6.26     4.77       37.57     6.31     4.76       0.227
   -1.06     9.92    -2.61       -1.10     9.99    -2.63       0.080
   19.19     5.46   -26.15       19.28     5.44   -26.03       0.152
  -40.38   -14.91   -44.01      -39.68   -14.79   -43.66       0.785
   -4.34   -10.24   -43.30       -4.19   -10.26   -43.38       0.171
    3.84   -13.96    -5.27        3.84   -13.98    -5.27       0.017
   10.20    16.88    -9.73       10.04    16.90    -9.83       0.185
   -8.14    12.40    14.91       -8.07    12.36    14.96       0.095
  -27.99     6.70   -20.60      -28.11     7.00   -20.34       0.413
   -3.94   -10.31   -42.36       -3.70   -10.32   -42.38       0.239
    9.24    -5.18   -22.83        9.22    -5.46   -22.59       0.371
   22.57    17.96    24.21       22.59    17.98    24.22       0.031
   25.81     0.50    30.57       25.58     0.60    30.48       0.268
   13.16    22.25    34.15       13.16    22.26    34.15       0.004
   29.14    16.19    -4.55       29.45    16.38    -4.50       0.369
  -10.37    25.94    20.54       -9.78    24.76    21.09       1.431
  -10.81    19.62    30.49      -12.10    19.98    31.12       1.474
  -27.94     8.94   -26.24      -27.90     8.83   -26.25       0.114
   -5.45    25.05    31.68       -5.45    25.13    31.72       0.090
  -24.99    -0.38   -16.29      -25.06    -0.17   -16.09       0.297
   11.36    23.59    20.87       11.35    23.44    20.85       0.146
    1.61    25.15    16.00        1.53    23.86    16.29       1.322
  -40.16    -3.53   -41.40      -39.85    -3.74   -40.90       0.617
   31.52     1.81   -23.63       31.83     1.94   -23.68       0.339
  -39.08     0.30   -25.08      -39.06     0.28   -25.09       0.033
   -5.23     0.85   -34.55       -5.22     0.85   -34.56       0.011
  -20.85   -32.86   -32.54      -20.85   -32.92   -32.54       0.055
   31.28    -4.49    11.35       31.17    -4.36    11.32       0.172
  -18.48     1.67   -47.57      -18.38     1.50   -47.07       0.535
   16.78    -5.52   -24.32       16.72    -5.33   -23.81       0.552
   -5.77     1.44   -32.14       -5.70     1.48   -32.12       0.076
   17.81     5.46    68.98       17.83     5.40    68.63       0.354
   17.18    -5.66     8.83       17.30    -5.95     8.96       0.338
   29.12     6.85   -28.74       28.66     6.82   -28.42       0.568
   24.82    20.90    -1.98       24.99    21.14    -2.02       0.299
  -11.79     7.37   -28.29      -11.90     7.25   -28.25       0.170
   20.01    -7.20     1.97       20.04    -7.43     2.02       0.231
   -9.83    -6.85     6.35       -9.92    -6.96     6.43       0.163
   -7.78     0.45   -40.46       -7.78     0.45   -40.45       0.007
   15.80     3.21   -22.24       16.31     3.31   -22.01       0.564
