150 PA5-D-OurOutput-Iter=1.txt 6
2.559206   -37.794091   15.076093   -58.553051   -23.476034   -15.863334
  -11.83   -21.65    -3.89      -11.93   -18.30    -7.36       4.821
  -29.07   -24.71    -3.57      -27.52   -21.57    -7.40       5.191
   -0.87   -27.04   -23.62       -3.18   -24.81   -24.25       3.272
  -35.90     6.79   -18.94      -34.80     5.61   -19.46       1.695
   18.65   -17.32   -12.80       18.70   -17.01   -12.68       0.334
  -24.15   -24.35    -4.48      -24.35   -22.67    -7.91       3.827
  -28.04   -22.81   -48.99      -27.10   -21.17   -45.82       3.698
   17.59     3.78    34.50       23.83     1.06    36.09       6.991
   20.98    28.87   -25.69       19.69    25.21   -23.59       4.412
   -5.78   -11.08    11.59       -5.26    -9.67    11.41       1.511
   14.57    -5.56    20.56       14.78    -6.94    20.72       1.405
  -41.30   -23.92   -12.55      -37.00   -21.71   -14.98       5.413
   -5.05    -8.73    63.98       -2.37    -5.41    62.15       4.647
  -24.17   -38.46   -29.58      -23.46   -32.77   -29.45       5.734
   29.92    19.22     4.31       30.75    20.15     4.48       1.260
   16.96    18.79   -20.65       12.55    17.08   -19.88       4.802
  -38.35     4.27   -34.60      -37.14     3.03   -34.11       1.803
   19.90    -6.94   -22.53       19.89    -7.45   -23.60       1.180
   10.61    -2.85    62.00       10.74    -2.76    63.31       1.313
   16.20    22.47   -32.72       15.91    21.05   -29.85       3.218
  -15.63    -4.74   -48.54      -15.85    -4.85   -47.49       1.072
   -6.71   -31.32   -15.54       -9.40   -27.61   -17.49       4.988
  -38.30     0.54   -41.90      -36.44    -0.74   -40.37       2.731
   29.31    10.12   -32.22       28.22     9.25   -29.91       2.692
   11.19    17.17    44.43       10.11    21.20    44.77       4.188
   10.22    -7.97    16.79       10.32    -8.34    16.85       0.388
  -31.12   -36.30   -17.80      -29.11   -30.42   -19.96       6.581
  -39.30    -1.39   -42.72      -36.94    -2.48   -40.89       3.175
    7.71    18.45    47.51        7.40    20.48    47.32       2.057
  -10.60   -30.71   -10.21      -13.20   -26.21   -12.63       5.737
   -6.92    10.28    36.26       -8.26     9.60    36.67       1.557
  -10.39    -4.81    13.33       -9.86    -4.53    13.15       0.625
   34.39    -3.01   -10.44       35.52    -4.06   -10.03       1.595
   15.45    19.64    35.86       15.60    21.68    36.34       2.106
  -40.50   -28.75   -33.16      -36.59   -25.48   -31.95       5.236
    3.55   -11.69    15.53        3.38   -10.43    15.21       1.312
    1.84    -7.39    64.60        1.96    -6.71    63.49       1.310
   37.49    13.79   -18.11       34.53    12.60   -17.37       3.277
   36.47     5.62   -30.10       31.42     5.93   -27.21       5.832
   -2.20    -9.47    26.05       -2.13    -8.35    25.74       1.165
    5.16    -8.21    48.10        5.04    -7.12    48.08       1.097
   23.73     3.48    17.15       29.42     1.27    19.66       6.606
   -9.63    -5.40    42.60       -4.93    -3.04    42.31       5.272
   10.27    -3.10    62.73       10.29    -3.10    63.35       0.625
  -18.28   -32.44   -12.92      -19.01   -29.32   -14.76       3.698
   -6.58    -6.26    25.10       -6.16    -5.91    24.87       0.604
    4.87    10.51    62.76        4.89    10.55    63.31       0.553
   19.54   -16.00    -5.29       19.67   -16.27    -5.18       0.316
  -11.05   -31.18   -37.46      -12.12   -28.68   -36.18       3.013
  -44.17    -3.69   -13.18      -40.69    -5.11   -15.81       4.586
    4.56   -19.52   -17.31        3.55   -17.70   -16.95       2.119
    1.81     5.37    65.27        1.88     5.33    63.51       1.768
   32.02    -1.74     4.39       34.74    -4.79     4.47       4.086
   15.84    11.65    38.22       21.95    15.23    38.73       7.102
  -45.65    -6.76   -38.33      -40.24    -6.91   -37.23       5.520
   -2.60   -12.65   -29.14        0.32   -12.85   -30.16       3.092
  -45.00   -19.97   -34.80      -40.00   -19.32   -32.98       5.354
   12.71    -6.69    19.85       12.81    -7.33    19.93       0.656
   20.79    -6.95   -23.20       20.55    -7.12   -23.76       0.631
   20.93   -15.45    -5.22       21.00   -15.55    -5.18       0.128
   -1.55   -12.82   -27.98        0.75   -13.19   -29.00       2.547
    1.51   -13.66     7.80        1.84   -11.87     7.61       1.828
   -0.23     5.22   -22.12       -0.41     5.00   -21.92       0.341
    6.23    24.65     6.16        6.20    24.68     6.15       0.042
   -2.74    26.79     4.30        1.88    21.16     6.71       7.678
   -0.34     9.72    -5.23       -1.24    10.86    -5.82       1.567
   10.02    18.70    43.10        9.34    21.11    43.10       2.505
    5.63   -17.91     4.56        6.59   -13.31     2.79       5.022
   32.21    21.53   -22.00       29.56    19.50   -20.41       3.692
   -6.52     6.89    -6.84       -7.00     8.28    -6.95       1.483
  -15.66   -35.06   -33.61      -16.67   -31.52   -32.82       3.761
  -18.81   -31.42   -10.78      -19.59   -28.50   -13.27       3.911
  -29.06   -34.16   -37.93      -27.67   -29.85   -35.38       5.194
   -7.94     8.21    57.13       -6.81     7.99    57.19       1.155
  -34.02   -36.34   -29.65      -30.50   -30.54   -29.17       6.799
    1.77    -7.47   -25.94        2.18    -7.40   -26.42       0.624
  -40.85     2.85   -18.11      -39.17     1.24   -19.00       2.494
    3.19    -8.75    51.56        3.43    -6.98    51.72       1.793
   23.35    19.68    17.09       24.19    20.50    17.50       1.242
   20.77    28.72     6.19       19.78    26.01     5.41       2.984
  -12.58    13.06    18.10      -12.96    12.94    17.80       0.500
  -24.66     9.54   -37.63      -24.46     8.93   -37.17       0.792
  -11.37   -31.78   -11.30      -12.89   -26.57   -13.64       5.910
   14.55    28.08    -3.15       14.69    27.01    -2.96       1.095
  -34.50     7.58   -19.07      -33.65     6.67   -19.47       1.305
   -6.94    -2.66   -34.95       -4.10    -1.72   -35.00       2.989
    6.05    -3.67   -23.41        5.96    -3.70   -23.15       0.280
   17.33    12.34    34.00       22.62    15.24    35.37       6.189
   23.83    -2.66    10.90       24.33    -6.23    12.67       4.016
  -38.95     0.75   -41.41      -36.82    -0.65   -39.80       3.016
  -48.47    -8.29   -26.43      -44.29    -8.61   -25.42       4.312
   34.16     9.12   -32.67       29.68     8.73   -29.17       5.698
  -26.82   -30.22   -44.13      -26.29   -26.36   -41.25       4.841
   -2.77    -8.58    45.52       -1.49    -5.68    45.39       3.174
   19.28     6.38   -28.75       20.16     6.63   -28.31       1.020
   34.10    -2.91   -30.40       31.09    -1.88   -26.16       5.298
