400 PA5-H-OurOutput-Iter=1.txt 6
-13.370944   35.107763   -19.791742   26.522040   18.007088   -41.333074
    8.76   -14.48   -23.83        7.11   -12.81   -21.58       3.253
   -4.83     0.06   -39.80       -5.87    -0.67   -39.00       1.501
   -2.70   -21.35   -39.77       -4.37   -20.07   -38.47       2.469
   -8.25    -2.82   -47.20      -10.00    -4.07   -45.07       3.029
  -29.98   -25.32   -21.08      -32.20   -28.81   -20.35       4.204
  -24.65     8.92   -15.65      -24.75     7.90   -16.61       1.401
   13.09    25.43    30.76       13.29    22.60    30.65       2.842
  -11.87   -23.77   -44.27      -12.36   -23.06   -43.46       1.175
  -20.67   -24.15   -47.18      -20.22   -22.88   -45.80       1.931
  -33.85     8.01   -16.99      -32.93     6.40   -17.65       1.972
   -1.61    -1.83    32.90       -4.54    -4.48    34.33       4.203
   31.49     3.15    12.03       33.73     3.21    13.73       2.816
   15.19    -3.80    37.05       15.50    -5.54    37.10       1.765
  -25.63   -12.63   -10.38      -25.94   -11.77    -6.43       4.062
   -8.76   -23.28   -40.61       -8.79   -23.26   -40.58       0.039
  -14.27   -26.95   -23.99      -12.56   -30.62   -23.18       4.135
   -0.29    -0.55    39.11       -4.28    -3.66    40.32       5.198
   12.03    25.76     0.53       11.55    26.74     0.35       1.114
  -16.68   -29.32   -30.17      -15.99   -31.80   -30.55       2.595
  -41.32    -0.69   -29.67      -41.51    -0.57   -29.68       0.220
  -37.09     6.37   -21.64      -36.22     5.42   -22.05       1.350
   -3.38    21.22    57.07       -0.31    17.23    56.93       5.035
   19.94    24.72     3.14       20.41    25.97     3.25       1.336
  -16.00     1.96     9.50      -13.42     1.77     8.51       2.766
  -32.88   -25.32   -24.06      -34.81   -27.64   -23.83       3.024
    1.89    -2.06    37.22        1.69    -6.96    37.49       4.905
  -32.10   -15.03   -13.23      -35.04   -17.14    -9.77       5.009
   -3.46   -19.85   -12.04       -3.36   -20.08   -11.89       0.296
  -38.00    -9.09   -47.34      -35.63    -9.76   -44.58       3.697
   11.03    -9.07   -23.60       10.53    -8.99   -22.26       1.433
  -37.43   -10.34   -16.79      -40.54   -10.83   -14.58       3.850
  -27.37   -28.85   -25.39      -28.49   -31.55   -25.46       2.922
  -16.18     9.91    14.42      -11.82    10.27    15.64       4.544
   12.59    24.03   -13.82       13.01    23.29   -13.76       0.856
    9.73    23.58    12.98       10.01    25.27    13.31       1.743
  -31.41    10.40   -18.02      -30.60     8.64   -18.90       2.130
  -39.63    -6.75   -28.88      -43.11    -6.73   -29.95       3.647
    3.70     6.09    59.70        4.03     6.13    63.38       3.692
   -1.53    -4.53    23.83       -3.71    -8.04    24.63       4.219
  -33.37     8.06   -45.65      -30.94     4.17   -40.20       7.120
   20.66    17.61    55.06       18.60    16.02    54.97       2.601
  -16.55     4.45   -52.22      -16.57     0.14   -46.45       7.207
    4.85     2.04    59.79        4.99     1.86    63.37       3.591
  -11.60    10.73   -16.05      -12.12     8.54   -17.03       2.459
   -2.36    20.22    34.36       -2.03    22.06    35.00       1.977
   27.10    10.47    16.21       29.84    11.48    17.70       3.277
    2.37     2.11    59.96        2.58     1.87    63.52       3.577
   -5.72    -2.39    19.82       -8.55    -3.70    20.48       3.187
   -6.24    13.05     8.21       -6.30    13.10     8.17       0.093
    0.85    21.62    39.58        0.78    20.79    39.41       0.853
   18.79    -2.89    41.47       19.14    -3.38    41.46       0.605
   19.90    22.25   -16.74       20.61    25.35   -16.88       3.184
    0.07    -2.51    33.76       -1.09    -6.82    34.75       4.570
  -25.43    14.61   -18.46      -24.32    11.42   -20.33       3.867
   16.91    19.35    57.88       16.08    18.20    57.71       1.428
   -8.39    13.60    11.27       -8.22    13.53    11.38       0.208
  -28.99   -19.24   -49.59      -27.90   -18.50   -46.63       3.241
   27.76    -4.73     0.77       29.45    -8.66     2.25       4.535
   18.42   -12.51   -22.35       20.01   -11.36   -21.06       2.354
  -35.19    -4.04   -50.92      -32.20    -6.02   -45.77       6.281
   12.43    17.05   -31.03       13.19    17.40   -30.07       1.275
  -26.58   -17.72   -51.33      -25.65   -16.46   -47.73       3.924
  -27.03    -8.31   -54.83      -24.81    -9.51   -49.47       5.934
    3.58    -5.46    26.63        3.92    -7.78    27.06       2.380
    1.21    17.08    -1.46        2.50    16.32    -0.51       1.773
  -36.63    -8.61   -16.16      -40.07    -7.70   -13.86       4.239
   22.79    23.41     1.39       23.41    24.97     1.55       1.688
   16.56   -17.37   -11.98       16.64   -16.93   -11.85       0.465
   36.65     3.78     1.46       39.67     3.44     1.64       3.039
  -36.63   -23.37   -36.25      -36.59   -23.33   -36.22       0.069
   14.59   -16.63    -8.34       14.43   -17.46    -8.44       0.855
   20.42    18.57    53.14       18.39    16.95    52.73       2.624
    8.79    25.10    46.94        9.89    20.98    46.59       4.276
  -21.95   -12.48   -53.87      -21.74   -11.46   -49.61       4.386
  -29.08   -16.07   -11.18      -29.59   -16.50    -7.55       3.688
   26.83    11.79    14.42       30.41    12.79    15.63       3.910
   22.67     4.30    44.87       23.01     4.24    44.95       0.356
    3.91    17.10    -6.57        5.61    15.87    -5.45       2.382
  -10.15    14.79    45.91       -6.38    14.01    44.65       4.059
  -40.43    -9.32   -19.29      -42.67    -9.50   -18.56       2.355
  -40.13     5.08   -32.38      -38.17     3.17   -31.53       2.864
  -39.52    -5.26   -29.15      -42.80    -4.51   -30.29       3.558
  -26.77   -28.06   -21.95      -28.20   -31.03   -21.20       3.375
   -6.74    17.37    54.53       -3.82    14.58    54.38       4.038
  -16.14    16.26    28.25      -16.34    16.24    28.26       0.203
  -33.63     9.79   -41.76      -31.17     5.39   -38.95       5.770
  -14.48    10.13     8.31      -10.59     8.08     8.59       4.402
  -19.74   -11.81    -8.12      -20.38   -13.47    -5.06       3.542
   -2.31   -21.71   -39.12       -4.19   -20.35   -37.90       2.622
   28.51    -7.51    -6.73       30.03    -9.10    -7.15       2.237
   -9.57   -23.67   -18.68       -7.49   -25.65   -17.27       3.190
   24.89    14.68   -24.74       26.59    16.40   -26.61       3.055
   -9.07     9.14    43.57       -7.02     9.13    43.52       2.044
   12.04     4.43   -19.16       12.19     3.85   -18.55       0.852
   15.44    23.95    30.25       15.18    22.36    30.36       1.611
  -37.57    -1.22   -43.22      -35.91    -1.99   -41.93       2.234
   15.72    -8.38    15.80       15.60    -7.65    15.60       0.766
  -25.85     6.09   -15.52      -25.86     6.34   -15.17       0.424
   12.96    24.74    12.14       13.09    25.63    12.41       0.932
   -7.64   -26.06   -31.23       -6.97   -27.08   -31.40       1.240
   33.82    14.31    -6.24       34.92    15.39    -6.18       1.548
  -24.64     5.62   -15.41      -24.66     5.99   -14.89       0.636
   26.56    15.08   -20.66       29.16    17.16   -23.06       4.105
   23.76    13.76    27.75       24.88    14.37    28.03       1.301
   11.44   -12.07     2.76       11.48   -13.61     3.38       1.667
   26.92     5.19    24.35       28.03     5.09    24.70       1.164
    5.10   -20.77   -20.71        2.30   -18.09   -21.37       3.941
  -12.55   -23.40   -16.46      -11.16   -26.26   -14.73       3.620
   21.00   -13.19   -22.19       21.09   -12.79   -20.95       1.303
   -5.63   -23.63   -37.32       -5.96   -23.37   -37.09       0.472
  -25.95   -27.08   -20.85      -27.21   -31.07   -20.05       4.265
   18.97    22.15    18.03       19.27    23.03    18.27       0.964
   -3.80   -24.30   -22.96       -3.43   -24.66   -22.86       0.528
   -0.96    -2.95    29.22       -1.62    -7.37    30.24       4.588
  -20.05    13.46    24.30      -16.03    14.97    23.81       4.331
  -28.51    13.62   -38.83      -27.18     8.72   -36.03       5.798
   10.59     9.99   -27.47       14.06    13.13   -25.95       4.912
  -17.31   -14.79   -53.68      -18.12   -13.83   -48.78       5.059
   11.80    -3.46    55.87       13.17    -5.90    56.04       2.802
  -37.15     9.48   -37.43      -33.88     5.55   -35.49       5.468
   13.12    -3.16    58.08       14.26    -5.11    58.21       2.260
   22.48    13.79    47.89       21.64    13.38    47.76       0.944
   32.83    14.60   -10.77       34.41    16.17   -11.14       2.261
  -38.51     2.00   -43.68      -35.79    -0.42   -40.89       4.594
  -21.00   -18.47   -52.25      -21.03   -16.90   -48.04       4.493
  -23.50   -12.37   -53.46      -22.69   -10.74   -49.71       4.164
    4.73    20.44    58.43        5.14    19.27    58.38       1.233
   23.54    -2.82    23.15       24.03    -3.73    23.39       1.067
   22.67    -0.49    35.34       23.00    -0.80    35.46       0.473
  -16.32    11.22    18.68      -14.20    12.86    19.81       2.914
    5.59    22.55     7.85        4.36    23.56     7.67       1.604
  -41.25     2.40   -33.34      -39.38     1.14   -32.69       2.349
   37.06     4.00    -7.76       39.60     4.48    -8.43       2.669
  -17.50     8.49    15.77      -11.83     9.65    16.60       5.837
   25.38    21.00   -11.02       26.83    23.10   -11.21       2.565
   -1.38     3.76   -24.36       -1.48     3.52   -24.18       0.321
  -15.30     5.45   -52.28      -16.55     0.78   -45.97       7.949
   18.64   -11.90     5.36       18.10   -10.89     4.89       1.241
    2.04   -15.20    -8.23        2.28   -16.60    -7.52       1.585
  -32.68    13.10   -29.60      -30.69     9.66   -29.15       4.002
   14.17    15.69   -30.86       14.48    15.99   -30.08       0.891
    7.49    -2.80    35.54        7.93    -6.73    35.58       3.963
   -3.72    -2.71   -37.94       -4.01    -2.87   -37.78       0.368
   -4.33   -24.43   -20.51       -4.19   -24.57   -20.44       0.211
  -37.77   -15.56   -45.18      -36.29   -14.75   -43.49       2.394
  -31.15    -7.36   -10.73      -31.76    -6.23    -8.60       2.479
  -28.53   -21.08   -47.96      -27.87   -20.10   -46.11       2.196
   -0.94    20.99    35.40       -0.88    21.75    35.57       0.781
   24.78    11.73    28.78       25.65    12.00    29.03       0.938
    0.35    -5.59   -34.30       -2.49    -6.63   -34.87       3.078
  -20.82     0.04    -7.19      -20.57    -0.12    -7.37       0.346
   30.81    -6.37    -5.74       32.03    -7.27    -5.94       1.526
   -3.38     1.00    40.80       -6.20     0.24    40.83       2.919
  -22.69    13.66    25.64      -16.44    15.91    26.15       6.659
  -36.72     7.06   -41.61      -33.85     3.13   -38.70       5.672
  -19.64    15.47   -36.86      -19.79    11.08   -34.78       4.859
  -12.13   -22.00   -15.13      -10.72   -25.03   -13.14       3.893
  -17.34    12.69   -17.67      -18.04    10.44   -20.03       3.333
  -10.38     3.13    24.32       -9.37     3.35    24.05       1.069
  -33.73   -22.31   -44.39      -32.45   -21.11   -42.83       2.357
    4.29    21.17    -5.89        6.64    20.19    -4.73       2.801
  -18.50   -27.47   -41.57      -18.55   -27.13   -41.28       0.440
   -2.89    -0.45    34.98       -6.40    -1.20    35.48       3.616
  -31.49   -12.58   -52.37      -30.04   -12.02   -47.23       5.366
   35.06    -1.27     3.59       36.60    -2.61     3.40       2.053
  -17.92   -29.30   -36.64      -17.78   -29.94   -36.99       0.747
   -1.04    21.12    37.99       -1.03    21.24    38.01       0.120
    6.60    10.80    60.43        6.53    10.97    63.27       2.847
   17.34    -3.75    39.17       17.89    -4.48    39.37       0.930
   -0.43     1.72    49.03       -5.90    -0.14    49.17       5.777
  -15.65    11.44    42.98       -7.64    12.13    41.02       8.278
   -7.22     9.08    48.62       -6.61     9.02    48.59       0.615
  -33.92     5.51   -46.92      -31.78     1.63   -41.71       6.846
   -7.83    10.92    53.74       -6.10    10.32    53.71       1.836
   16.55    24.65    49.52       14.30    21.48    48.71       3.966
   32.29     0.67   -23.91       32.86     0.66   -24.33       0.706
   22.88    18.38   -22.94       24.65    20.18   -24.89       3.191
  -32.46     9.33   -16.79      -31.20     7.59   -17.68       2.328
   21.85   -14.51    -7.63       22.52   -15.32    -7.29       1.109
   12.83     1.56    60.17       12.87     1.54    63.03       2.857
   13.09    -5.04    24.90       13.23    -6.65    25.13       1.634
   13.80   -12.32     3.99       13.88   -12.72     4.28       0.500
   -0.34     2.37    59.32       -0.52     2.46    63.47       4.149
  -26.49     3.32   -52.78      -23.98    -0.24   -46.87       7.348
  -13.40     0.04    11.03      -12.62     0.14    10.79       0.819
  -41.37    -8.59   -21.71      -43.40    -8.57   -21.18       2.099
    6.98    14.37    60.58        6.90    14.29    63.15       2.564
  -25.08     2.80   -13.09      -25.08     2.72   -13.29       0.210
  -31.27    -4.49   -11.44      -31.74    -3.76    -9.75       1.900
    4.43    22.49    41.50        4.48    20.71    41.06       1.833
  -13.31    -2.74     4.32      -14.68    -2.96     5.15       1.617
  -10.33    16.04    45.40       -6.37    15.13    43.99       4.305
    0.80    21.60    40.52        0.86    20.60    40.34       1.018
  -35.02   -24.84   -36.59      -34.98   -24.79   -36.56       0.068
   -8.18   -14.27    -7.08       -8.32   -16.39    -5.31       2.768
  -25.75   -21.18   -14.88      -28.32   -25.18   -10.88       6.208
   26.21    -0.47    22.23       27.19    -0.90    22.54       1.114
    4.01    19.71    -7.90        7.06    19.11    -6.01       3.627
   -9.22    13.31    14.10       -9.93    13.36    13.68       0.831
  -26.69   -18.69   -11.59      -27.33   -18.48    -7.18       4.459
    2.37    -5.97    23.73        2.81    -8.54    24.09       2.631
  -16.45   -13.93    -7.86      -16.32   -14.69    -4.95       3.002
   23.30    -4.76    13.84       23.61    -6.17    14.09       1.469
  -13.39    10.57   -44.46      -15.31     6.40   -40.83       5.857
   -7.65    10.71    49.99       -6.14    10.24    49.95       1.583
   19.09    20.15    33.80       19.28    20.37    33.83       0.288
   27.95    14.29   -18.38       31.61    16.71   -19.59       4.556
  -41.43    -1.36   -28.16      -41.90    -1.08   -28.19       0.549
  -41.80     0.27   -27.12      -41.31    -0.07   -27.10       0.600
   -7.35     9.04   -13.95       -7.32     8.23   -13.97       0.816
  -18.69   -17.83   -52.26      -19.43   -16.07   -48.24       4.453
   32.12    15.87     3.25       33.67    17.35     3.40       2.151
  -40.77   -14.62   -21.87      -42.66   -15.06   -21.30       2.028
   22.65    11.30    48.64       22.32    11.18    48.59       0.356
   34.58    -1.10    -6.81       36.23    -2.76    -6.54       2.354
  -21.71    14.85   -22.02      -21.72    11.98   -21.90       2.874
   20.86     4.08    58.11       21.07     4.04    58.14       0.213
   24.50    -5.30   -23.91       24.57    -6.01   -25.61       1.841
  -27.45   -28.91   -29.53      -28.46   -31.30   -29.98       2.633
  -37.65     7.24   -39.61      -34.82     4.16   -36.70       5.091
   18.85    -3.46    37.99       19.16    -3.86    38.10       0.521
    2.47    -2.99   -26.20        1.78    -3.38   -25.58       1.010
   19.28    -3.81    33.68       19.48    -4.32    33.75       0.552
    3.83    20.53    18.56        3.73    24.13    18.66       3.602
  -19.46     9.20   -47.73      -18.47     5.12   -42.14       6.994
   18.31    -2.57    46.43       18.62    -2.91    46.53       0.470
   22.49     1.46   -28.04       22.67     1.58   -27.79       0.330
    8.40    -3.24    53.22        9.12    -6.99    53.17       3.821
   27.52     3.90    21.52       28.82     3.77    22.04       1.411
   17.29    22.13    32.38       17.20    21.93    32.34       0.219
   12.39   -14.71    -7.34       11.56   -16.73    -7.49       2.194
   21.05   -15.09   -16.31       21.04   -15.30   -16.53       0.307
    6.23   -19.39   -17.42        4.88   -16.96   -16.94       2.819
  -39.26    -8.89   -44.47      -37.39    -9.19   -42.83       2.512
   -8.57     0.88    21.77       -9.33     0.73    21.91       0.788
   32.84     9.58     5.57       36.45    10.35     8.69       4.831
  -32.90   -21.68   -45.40      -31.70   -20.56   -43.81       2.288
    8.32    -3.46    50.87        8.41    -6.97    50.63       3.516
   15.20    12.56    58.87       15.05    12.63    63.16       4.296
   21.41    17.01    25.12       23.22    18.26    25.74       2.280
  -13.11     1.71    15.57      -11.73     2.16    15.07       1.537
  -12.02   -27.32   -28.73      -10.69   -29.86   -29.18       2.902
  -29.07   -27.97   -36.89      -29.26   -28.37   -37.14       0.509
  -37.31   -14.83   -18.24      -40.86   -15.55   -16.62       3.970
   16.24    24.33    35.53       16.12    22.12    34.90       2.302
  -39.20    -7.48   -40.50      -39.02    -7.53   -40.40       0.204
    3.84    19.24    -8.05        7.01    18.62    -6.09       3.775
   -8.97    -5.89     3.66      -11.04    -8.08     5.73       3.663
   33.31    -1.66   -10.34       35.59    -3.78    -9.52       3.225
   22.11     3.97   -29.61       22.37     4.21   -29.25       0.502
  -33.88   -22.90   -20.47      -36.21   -25.63   -19.78       3.652
   -6.54     9.38    -4.73       -6.26     8.83    -4.62       0.632
   28.56     1.06   -27.62       29.22     0.60   -28.52       1.199
   14.89    22.97   -20.43       14.45    23.69   -20.45       0.847
  -10.61     8.39    -8.02      -10.09     7.06    -7.92       1.433
  -14.06   -24.14   -16.45      -12.89   -27.01   -14.63       3.592
  -15.24    -5.82    -2.21      -17.57    -6.30    -0.80       2.767
   37.35     4.14    -7.21       39.73     4.60    -7.84       2.513
    3.46     0.01   -24.03        3.10    -0.32   -23.24       0.922
   31.02     9.62   -22.11       33.21    10.25   -23.14       2.498
   -7.82    13.48    12.00       -8.34    13.69    11.66       0.656
   10.69   -10.12    12.00       10.64    -9.95    11.94       0.188
   -1.02   -15.69    -8.17       -0.78   -17.10    -7.46       1.591
  -11.03     4.70    29.43       -8.80     5.64    28.66       2.543
  -34.33    -7.65   -53.02      -31.69    -9.00   -46.95       6.754
   25.46    10.97    25.82       26.67    11.33    26.14       1.301
  -38.99     2.05   -21.24      -39.11     2.14   -21.19       0.155
   -7.80   -22.42   -40.46       -7.83   -22.39   -40.43       0.053
    6.58    -5.28   -24.22        6.24    -5.46   -23.29       1.006
   -1.61    13.06     0.01       -1.67    13.15    -0.02       0.112
  -28.05   -18.77   -50.15      -27.64   -18.07   -46.84       3.413
   19.10     3.35   -26.42       20.03     3.83   -25.95       1.149
   -5.54    12.87     8.20       -5.92    13.25     7.82       0.662
   -7.95    18.25    32.12       -9.18    22.03    34.88       4.837
   31.82    15.00     5.38       33.72    16.74     6.34       2.749
    8.90    22.32   -15.48       12.14    21.44   -15.04       3.389
  -40.48    -6.11   -20.42      -42.98    -6.27   -19.56       2.647
  -13.09    13.02    19.17      -13.56    12.66    18.92       0.651
   14.60    24.56    30.55       14.27    22.54    30.69       2.059
  -21.09   -28.79   -22.72      -21.05   -32.26   -22.24       3.502
  -15.27     7.54   -50.83      -16.56     2.08   -44.92       8.148
  -14.99   -12.65   -53.37      -14.98   -12.57   -48.56       4.820
   31.72    -4.70   -22.03       32.55    -5.26   -22.65       1.175
  -27.94   -15.50   -52.06      -27.36   -14.42   -47.73       4.499
   26.83    10.76    16.59       29.54    11.76    18.06       3.237
  -39.29   -15.36   -37.31      -39.60   -15.39   -37.37       0.314
  -38.89     7.95   -29.68      -36.64     5.53   -29.40       3.320
  -23.55     5.87   -50.47      -23.81     1.38   -45.42       6.764
  -10.50   -24.62   -21.62       -8.53   -28.01   -20.77       4.013
  -36.42    -6.78   -15.78      -39.51    -5.96   -13.71       3.811
  -14.15    11.90   -43.00      -15.34     7.23   -39.89       5.734
  -11.99     8.66    -0.25      -10.59     7.02    -0.31       2.164
    3.03    -4.93   -27.48        1.97    -5.41   -26.16       1.757
   21.66   -13.91   -18.89       21.89   -13.47   -18.96       0.499
   11.37     0.75    60.02       11.67     0.73    63.13       3.121
   28.76    14.79     7.99       32.13    17.19     9.51       4.412
  -22.15     3.51   -11.19      -21.71     2.75   -11.78       1.055
   28.30     2.93    18.48       30.04     2.86    19.34       1.937
    3.47    18.74    -7.57        6.62    18.13    -5.62       3.757
   -2.25     5.03   -22.52       -2.24     5.07   -22.55       0.052
  -26.58    14.45   -37.80      -24.54     9.67   -35.95       5.524
   11.66   -11.77   -22.22       11.14   -10.47   -20.93       1.906
   36.19    12.35    -6.05       36.83    12.83    -6.03       0.805
   -7.89    -0.63    19.16       -9.48    -0.94    19.46       1.651
   16.67    24.38    38.35       15.98    21.58    38.48       2.886
   22.58   -13.27    -7.11       23.44   -14.31    -6.68       1.412
   19.18    -3.76    35.10       19.35    -4.17    35.16       0.449
    1.09   -10.18   -35.41       -1.03   -10.52   -34.94       2.203
   20.56    23.02    10.16       21.01    24.21    10.42       1.298
    7.97    16.04    59.19        8.44    18.75    61.39       3.523
  -33.89   -11.24   -52.85      -32.34   -11.52   -46.56       6.480
  -21.67    12.40   -16.84      -22.09    10.42   -18.95       2.932
   -4.25    19.95    51.19       -1.64    16.92    51.25       3.997
   -9.60    17.20    28.28      -14.65    20.68    29.94       6.354
  -31.17     2.21   -51.27      -28.37    -1.41   -45.60       7.285
   27.29     4.77   -27.56       28.43     5.10   -29.38       2.171
    4.57     4.34   -17.00        5.05     5.33   -17.98       1.471
   14.83    -1.81   -19.97       14.71    -0.80   -21.85       2.140
  -22.04   -21.18   -50.44      -21.72   -19.93   -47.09       3.590
   -0.11    -7.04   -35.26       -1.94    -7.71   -35.63       1.991
  -31.60    10.64   -19.31      -30.65     8.94   -19.78       2.006
    4.37    -3.26    34.60        4.19    -7.23    34.85       3.977
  -31.33     3.67   -12.51      -31.01     3.49   -13.67       1.218
   33.90    12.21   -11.98       35.85    13.28   -12.14       2.220
   -1.03   -10.09   -40.03       -2.26    -9.93   -39.07       1.563
   -7.04    18.61    42.54       -6.31    17.43    42.04       1.469
  -32.87   -22.91   -19.81      -35.29   -25.73   -18.23       4.047
  -11.04   -24.16   -19.56       -9.18   -27.79   -18.65       4.181
   14.74   -15.63   -17.59       15.09   -14.23   -16.43       1.846
   -8.14     1.91    24.87       -8.76     1.78    25.04       0.654
   18.39    18.16   -26.67       19.63    19.72   -28.76       2.895
  -28.16    15.35   -27.06      -26.67    11.61   -26.68       4.045
    1.25   -14.19   -37.55       -1.30   -14.20   -36.42       2.797
   21.72   -14.88   -14.04       21.90   -15.75   -14.11       0.889
  -31.77    13.13   -25.64      -30.46     9.95   -25.73       3.443
   19.03    -5.31    21.41       19.18    -6.17    21.48       0.878
  -23.23    14.19    27.15      -16.35    15.44    27.11       6.987
   -5.80    11.90     0.88       -5.09    11.05     1.15       1.139
   23.67     9.53    39.93       24.08     9.55    40.00       0.413
   25.80   -11.76   -16.13       26.65   -13.02   -16.37       1.541
   34.46     7.81   -16.80       36.06     8.15   -17.49       1.777
   26.89    20.49    -2.55       28.32    22.26    -2.60       2.274
  -13.41   -23.64   -16.41      -12.06   -26.55   -14.50       3.737
   19.16     4.71   -27.93       20.19     5.00   -27.43       1.188
   18.82    -4.62    31.80       18.92    -4.86    31.84       0.260
  -15.06   -20.97   -13.76      -12.67   -23.73   -10.99       4.585
   18.47   -12.17   -22.36       19.73   -10.93   -21.15       2.145
   -4.60    20.19    53.21       -1.85    16.71    52.45       4.500
  -30.39    -6.95   -10.23      -30.43    -6.02    -8.49       1.983
   34.01    14.51    -0.98       34.97    15.42    -1.21       1.348
  -11.63   -23.45   -44.61      -12.17   -22.99   -43.41       1.392
   -9.13    18.54    33.92      -10.70    20.87    35.56       3.253
   -3.10    -2.68   -35.23       -3.69    -2.89   -35.25       0.627
  -23.42    12.37    35.24      -15.96    15.14    30.30       9.372
   14.72   -17.15   -10.08       14.73   -17.07   -10.06       0.085
    6.74    -2.02   -23.51        6.57    -2.21   -22.84       0.717
    2.04     3.92   -20.12        2.30     4.31   -20.57       0.651
   29.04     7.94   -25.04       31.49     8.16   -26.92       3.092
  -15.22    18.60    38.84      -12.41    17.43    35.92       4.216
  -40.24     5.27   -29.38      -38.47     3.57   -29.47       2.461
   19.09    19.93   -23.60       20.69    22.86   -25.50       3.835
  -16.51    18.30    32.72      -15.12    17.82    32.19       1.567
   20.28    19.18    43.44       19.04    18.13    43.13       1.655
   31.41    -6.24   -16.91       32.88    -7.29   -17.32       1.861
  -22.29    -8.58   -55.63      -23.26    -9.82   -49.87       5.971
  -29.86   -27.55   -24.77      -31.29   -30.12   -24.53       2.954
  -38.21    -8.59   -35.23      -40.28    -8.54   -35.22       2.064
   -2.31   -11.12   -41.80       -3.67   -10.92   -40.70       1.768
  -33.55    10.09   -22.40      -32.53     8.56   -22.84       1.884
