150 PA5-D-OurOutput-Iter=9.txt 6
19.883375   -90.268412   63.866177   -165.143159   -79.028835   -87.027558
   17.29    24.02   -31.45       16.89    24.35   -32.15       0.868
  -15.12    -2.68   -46.93      -15.32    -2.99   -46.68       0.447
   -5.41   -30.02   -14.78       -5.52   -29.78   -14.84       0.273
  -37.56     2.56   -39.54      -37.42     2.11   -39.09       0.654
   30.34    11.60   -31.58       29.95    11.80   -32.22       0.772
   14.45    17.07    45.68       14.82    17.28    45.92       0.489
   12.56    -7.45    17.55       12.62    -7.60    17.57       0.156
  -29.90   -34.83   -16.45      -29.84   -34.74   -16.48       0.116
  -38.60     0.65   -40.37      -38.37     0.35   -39.97       0.553
   11.07    18.31    48.89       10.55    18.85    48.96       0.754
   -9.15   -29.51    -9.34       -9.23   -29.32    -9.51       0.273
   -3.92    10.45    37.88       -3.95    10.48    37.89       0.041
   -8.13    -4.12    14.75       -8.00    -4.01    14.69       0.177
   35.96    -2.02   -10.25       36.04    -1.48   -10.41       0.572
   18.47    19.71    37.05       19.07    19.76    37.04       0.603
  -39.68   -26.90   -31.37      -39.73   -26.94   -31.38       0.064
    5.83   -11.12    16.39        5.86   -11.27    16.44       0.160
    5.54    -7.87    65.58        5.59    -7.95    64.66       0.928
   38.94    14.92   -17.64       38.65    14.85   -17.66       0.300
   37.54     7.02   -29.77       37.21     7.28   -29.35       0.592
    0.39    -9.10    27.12        0.60    -8.86    27.08       0.322
    8.39    -8.35    48.97        8.40    -8.40    48.97       0.047
   26.13     3.92    17.76       26.19     3.90    17.79       0.076
   -6.54    -5.35    43.96       -6.22    -4.88    44.06       0.578
   13.94    -3.58    63.55       13.92    -3.55    63.51       0.057
  -16.91   -31.14   -11.86      -16.82   -31.27   -11.77       0.177
   -4.00    -5.85    26.37       -3.76    -5.61    26.39       0.332
    8.62    10.05    64.03        8.70    10.28    64.43       0.458
   21.20   -15.05    -4.96       21.20   -15.08    -4.92       0.043
  -10.37   -29.39   -36.56      -10.59   -29.20   -36.38       0.332
  -42.64    -2.26   -10.76      -42.61    -2.27   -10.77       0.034
    5.87   -18.24   -16.62        5.86   -18.22   -16.62       0.024
    5.60     4.87    66.52        5.65     4.52    65.65       0.946
   34.02    -1.07     4.67       34.03    -1.07     4.67       0.008
   18.88    11.67    39.22       19.41    11.80    39.44       0.587
  -44.85    -4.79   -35.92      -44.59    -4.89   -35.85       0.293
   -1.59   -11.07   -28.09       -1.59   -11.07   -28.09       0.002
  -44.17   -18.07   -32.69      -44.02   -18.23   -32.51       0.282
   15.14    -6.25    20.56       15.14    -6.21    20.56       0.042
   21.98    -5.62   -22.70       21.87    -5.87   -22.85       0.314
   22.60   -14.51    -4.92       22.69   -14.51    -4.81       0.142
   -0.51   -11.27   -26.97       -0.39   -11.36   -27.18       0.263
    3.56   -12.90     8.68        3.67   -12.70     8.70       0.230
    1.07     6.62   -20.75        1.12     6.72   -20.89       0.177
    8.44    25.40     7.74        8.37    25.60     7.64       0.225
   -0.57    27.63     6.18       -0.80    27.42     7.00       0.880
    1.47    10.76    -3.78        1.31    11.08    -3.86       0.363
   13.25    18.64    44.42       13.61    19.04    44.58       0.569
    7.57   -17.11     5.24        8.07   -16.77     4.68       0.819
   33.60    22.77   -21.21       33.54    22.71   -21.21       0.084
   -4.77     7.99    -5.28       -4.83     8.23    -5.35       0.261
  -14.90   -33.32   -32.66      -14.94   -33.16   -32.57       0.190
  -17.37   -30.16    -9.69      -17.26   -30.34    -9.59       0.235
  -28.40   -32.27   -36.58      -28.37   -32.15   -36.50       0.145
   -4.37     7.94    58.72       -4.23     7.80    58.71       0.195
  -33.14   -34.60   -28.21      -33.15   -34.62   -28.21       0.024
    2.90    -5.99   -24.91        2.90    -5.84   -25.17       0.301
  -39.43     4.37   -15.64      -39.42     4.36   -15.64       0.011
    6.52    -8.95    52.48        6.51    -9.21    52.42       0.261
   25.84    20.12    18.06       25.94    20.19    18.13       0.136
   23.00    29.41     7.44       22.97    29.36     7.43       0.051
  -10.08    13.65    19.96      -10.26    13.55    19.94       0.203
  -23.76    11.40   -35.47      -23.69    11.07   -35.31       0.371
   -9.95   -30.55   -10.43      -10.01   -30.41   -10.48       0.158
   16.51    29.00    -1.73       15.88    29.52    -1.95       0.851
  -33.08     9.09   -16.68      -33.16     9.18   -16.65       0.125
   -6.04    -0.94   -33.56       -6.44    -1.39   -33.62       0.608
    7.27    -2.27   -22.42        7.34    -2.32   -22.79       0.383
   20.26    12.44    34.97       20.78    12.55    35.14       0.552
   26.02    -2.08    11.39       25.92    -1.95    11.32       0.176
  -38.20     2.76   -39.03      -38.16     2.44   -38.69       0.472
  -47.34    -6.55   -23.98      -47.18    -6.56   -23.98       0.166
   35.17    10.59   -32.20       35.17    10.73   -32.02       0.223
  -26.32   -28.20   -42.75      -26.27   -28.01   -42.49       0.328
    0.39    -8.63    46.61        0.44    -8.48    46.62       0.155
   20.39     7.83   -27.91       20.32     7.91   -28.00       0.135
   35.11    -1.49   -30.19       34.99    -1.49   -30.15       0.117
