150 PA5-B-OurOutput-Iter=3.txt 6
30.898807   100.082852   41.286716   -8.083851   -10.685975   9.494938
   27.94     0.65   -30.51       27.47     1.63   -29.05       1.826
   16.70    21.50    20.22       16.89    22.68    20.40       1.205
   -4.82     4.28    52.58       -5.09     4.26    52.59       0.268
  -30.50   -18.05   -51.13      -30.38   -16.91   -48.32       3.034
   13.58     8.95   -22.87       15.30    10.49   -23.12       2.325
  -33.12   -17.51   -13.38      -34.12   -18.47   -11.81       2.088
   -1.08    17.38    40.88       -2.06    18.74    41.94       1.985
   29.64    -1.49    16.39       29.80    -1.68    16.49       0.267
   14.98    20.96    44.46       15.35    21.75    44.49       0.874
   -7.14     2.17    18.42       -8.32     1.89    18.78       1.266
  -46.35   -15.81   -34.93      -43.28   -16.88   -32.82       3.876
   13.10   -11.30     0.12       13.95   -12.82     0.88       1.894
   33.59     5.82   -13.17       34.95     6.02   -13.71       1.471
   23.26    10.47   -27.48       23.92    10.28   -28.59       1.296
  -11.66   -14.19   -50.40      -12.11   -14.02   -48.66       1.810
  -13.10   -26.78   -44.44      -13.65   -25.68   -43.25       1.715
   11.05    21.53    30.99       11.02    22.27    31.08       0.751
   23.57     4.82    52.17       22.48     4.95    52.12       1.099
   -3.63     7.75    64.98       -3.95     7.87    65.28       0.456
    9.07    -4.13    40.86        9.18    -4.93    40.86       0.806
   25.89     6.54    29.58       26.18     6.57    29.65       0.304
    4.45    15.14    -0.83        4.20    15.32    -0.94       0.335
  -32.89     3.06   -43.13      -32.19     2.31   -42.21       1.369
   17.56    -4.31    20.33       17.67    -5.00    20.42       0.709
   21.11    11.99    60.70       21.16    12.01    60.71       0.055
   -6.33    -7.17    14.97       -6.43    -7.24    15.01       0.124
    6.55    18.37    51.99        5.94    19.72    52.06       1.481
   10.00    -5.40    64.74       10.04    -5.55    64.73       0.152
  -32.36   -18.22   -13.11      -33.58   -18.96   -11.61       2.070
   32.82    10.02   -12.46       34.53    10.17   -12.84       1.754
   22.91     9.07    53.57       22.39     9.03    53.51       0.530
  -21.01     8.32   -36.15      -21.29     9.80   -36.59       1.568
   -5.15     3.09   -24.09       -4.47     4.11   -24.72       1.378
   20.60    -4.04   -26.67       21.73    -3.49   -24.79       2.265
   -0.05    17.67    41.86       -0.55    19.37    42.21       1.804
  -39.06    -0.92   -41.68      -37.94    -1.58   -40.60       1.695
   25.43    17.12   -21.25       26.16    17.67   -22.14       1.277
   32.70     2.02    10.16       34.26     2.00    11.46       2.033
   -0.89    -2.84    66.73       -0.83    -2.80    66.31       0.427
   31.39    -4.50   -23.98       31.12    -4.20   -23.75       0.464
  -38.52   -23.96   -23.66      -38.51   -23.95   -23.66       0.010
  -17.79     1.84   -15.17      -18.32     3.86   -14.42       2.219
   -1.89    11.23    49.96       -3.50    11.87    50.31       1.771
  -13.90    18.94    23.57      -13.32    18.80    23.66       0.604
  -15.60   -32.04   -35.72      -15.94   -30.98   -35.46       1.148
   -0.06    14.71     5.06       -0.08    14.74     5.04       0.039
   -5.47    -1.45   -34.26       -4.63    -1.04   -34.25       0.936
  -14.10   -31.84   -34.11      -14.42   -30.87   -33.88       1.050
   36.79     5.59     3.42       38.21     5.22     3.40       1.469
   -1.65     9.16    -3.83       -1.96     9.77    -4.06       0.724
   18.53     4.81   -27.45       19.77     5.08   -26.43       1.625
  -41.03   -15.71   -45.17      -38.56   -15.09   -42.90       3.406
   -5.00   -10.92   -44.56       -5.35   -10.82   -44.29       0.456
    3.30   -14.70    -6.57        3.32   -14.91    -6.52       0.214
    9.56    16.17   -10.98       10.56    16.69    -9.84       1.601
   -8.69    11.57    13.72       -7.94    11.30    14.13       0.898
  -28.63     5.89   -21.75      -29.57     8.27   -21.12       2.630
   -4.60   -11.00   -43.62       -4.77   -10.95   -43.49       0.226
    8.63    -5.87   -24.12        8.22    -7.06   -22.96       1.716
   22.03    17.21    22.93       23.42    18.30    23.18       1.792
   25.35    -0.25    29.24       24.78    -0.00    28.99       0.668
   12.64    21.45    32.91       12.61    22.18    32.95       0.727
   28.52    15.52    -5.86       31.04    17.29    -5.50       3.098
  -10.94    25.10    19.37       -9.86    22.88    21.24       3.095
  -11.34    18.75    29.32      -12.97    19.73    29.95       2.003
  -28.61     8.15   -27.39      -29.06     9.41   -27.32       1.341
   -5.98    24.20    30.50       -5.99    24.14    30.48       0.067
  -25.59    -1.19   -17.47      -25.70     0.25   -14.53       3.267
   10.80    22.81    19.64       10.90    23.65    19.75       0.851
    1.03    24.36    14.80        1.25    22.90    15.09       1.505
  -40.83    -4.34   -42.54      -38.99    -4.84   -41.15       2.354
   30.89     1.19   -24.97       31.66     1.08   -25.67       1.056
  -39.72    -0.53   -26.21      -40.71     0.19   -26.10       1.228
   -5.89     0.14   -35.79       -5.39     0.41   -35.91       0.587
  -21.41   -33.62   -33.79      -21.43   -32.56   -33.48       1.105
   30.77    -5.19     9.99       30.90    -5.39    10.06       0.247
  -19.19     0.95   -48.76      -19.01    -0.02   -47.50       1.598
   16.16    -6.18   -25.64       16.81    -6.07   -23.74       2.008
   -6.43     0.73   -33.36       -5.55     1.12   -33.29       0.969
   17.45     4.60    67.69       17.48     4.54    65.93       1.756
   16.67    -6.39     7.51       17.37    -7.86     8.22       1.766
   28.45     6.24   -30.07       28.43     5.88   -28.89       1.237
   24.20    20.21    -3.26       25.54    22.43    -3.46       2.606
  -12.46     6.63   -29.48      -11.71     7.79   -29.65       1.396
   19.48    -7.91     0.64       20.00    -9.53     1.25       1.801
  -10.35    -7.66     5.11      -10.52    -7.84     5.27       0.294
   -8.46    -0.25   -41.68       -8.30    -0.11   -41.79       0.241
   15.17     2.54   -23.54       16.69     2.14   -21.86       2.304
