150 PA5-A-OurOutput-Iter=3.txt 6
-4.950387   -1.842629   -14.909658   100.657847   -4.349462   54.512106
   21.73    19.36    46.42       20.90    18.12    46.44       1.494
   30.72    -1.55    26.25       29.75    -1.11    25.90       1.117
   21.59    -7.25    19.88       21.57    -7.07    19.86       0.181
   24.80    -5.34    28.79       24.59    -4.96    28.73       0.438
   20.59    -5.63    38.31       20.52    -5.49    38.30       0.164
   23.23     5.12    58.74       23.37     5.09    58.76       0.148
   20.38    22.44     9.73       20.57    23.09     9.86       0.683
    5.86    22.62    29.32        5.95    23.25    29.41       0.646
  -11.47    13.84    12.24      -11.45    13.82    12.26       0.037
  -10.75    11.61     1.98       -9.96    10.57     2.20       1.326
  -34.45    -3.80   -14.22      -35.09    -3.31   -13.59       1.018
   -1.73   -17.73   -25.64       -0.91   -18.14   -25.80       0.930
    5.99    -9.05    14.05        6.05    -9.21    14.10       0.185
  -27.76   -27.65   -20.39      -28.20   -28.75   -20.25       1.194
   29.89   -11.32    -1.38       29.91   -11.35    -1.37       0.042
  -37.35   -20.20   -19.67      -37.94   -20.59   -19.38       0.769
  -22.87     9.65   -34.28      -22.90     9.88   -34.31       0.226
  -39.24   -18.51   -27.39      -40.23   -18.92   -27.35       1.070
   -3.50    -6.53    46.27       -3.39    -5.86    46.16       0.686
    9.32    22.34    37.00        9.32    22.27    36.99       0.075
    2.59    -8.44    23.21        2.60    -8.47    23.22       0.026
  -30.04     4.13   -38.50      -30.14     4.19   -38.59       0.143
   26.72     9.55    44.55       26.32     9.54    44.50       0.402
   37.36    -5.63    11.15       36.75    -5.01    10.95       0.887
    2.23    -8.41    25.63        2.21    -8.29    25.63       0.119
   -1.24   -12.99   -38.06       -1.15   -13.02   -38.10       0.104
  -33.10     1.32   -16.32      -33.08     1.99   -15.65       0.948
   -8.74   -23.29   -39.01       -8.46   -23.56   -39.30       0.487
  -34.21     5.48   -21.92      -34.40     5.65   -21.84       0.265
   -7.62    20.03    47.20       -6.79    18.95    46.74       1.430
  -20.56   -26.24   -13.94      -20.65   -27.12   -13.16       1.175
  -40.38    -2.16   -27.29      -41.02    -1.88   -27.22       0.702
   32.51    -9.81    -6.60       32.48    -9.78    -6.61       0.046
   35.39    -4.29   -13.01       36.18    -4.48   -12.96       0.813
   -1.94    22.71    39.32       -1.85    22.25    39.27       0.474
  -20.09     0.24    -0.90      -18.83    -0.05    -1.08       1.301
  -11.75   -26.61   -35.97      -11.36   -27.25   -36.28       0.816
  -12.03    -0.51    27.00      -10.23    -0.43    26.73       1.821
  -22.71    -8.74    -4.61      -22.90    -8.68    -4.40       0.291
  -13.32     9.17   -27.63      -13.14     9.63   -27.66       0.494
  -10.73   -12.34   -46.17      -10.67   -12.37   -46.40       0.235
   27.68    -5.90    19.83       27.54    -5.62    19.72       0.334
   28.48     8.11    35.21       27.81     8.04    35.08       0.685
   -7.07   -18.80   -41.44       -6.72   -19.40   -42.01       0.898
  -37.92     1.30   -27.95      -38.38     1.63   -27.91       0.561
   25.56    -3.32    34.22       25.21    -3.03    34.09       0.476
  -23.60    -1.71   -45.96      -23.70    -1.59   -46.20       0.282
  -34.39   -11.31   -41.32      -34.99   -11.29   -41.72       0.717
   18.97    -5.97    37.22       18.98    -6.09    37.23       0.121
   37.87    11.96     3.29       37.90    11.99     3.29       0.044
  -13.04   -29.12   -27.26      -12.63   -30.31   -27.20       1.259
   39.00    -0.47    -6.53       39.19    -0.72    -6.40       0.344
   15.46   -13.73     0.68       15.39   -13.61     0.60       0.166
   20.99    20.22    56.82       20.00    18.48    56.82       2.002
  -28.97     6.46   -16.18      -28.91     6.30   -16.55       0.405
   -5.77    -8.24   -47.51       -6.39    -8.45   -45.90       1.740
    1.32    24.64     6.76        1.87    23.74     6.96       1.077
   -8.58   -13.87    -4.44       -8.72   -14.55    -4.15       0.746
   -6.66   -18.05   -11.79       -6.24   -18.65   -11.40       0.834
   26.83    -3.85    28.99       26.48    -3.42    28.82       0.580
  -40.12    -3.02   -22.59      -40.63    -2.76   -22.44       0.598
   35.89    -5.71     4.68       35.93    -5.75     4.67       0.056
   14.15    22.94    21.76       14.18    23.17    21.77       0.232
   -8.32   -23.59   -38.01       -7.93   -23.97   -38.42       0.675
   18.62    -3.48    59.26       18.85    -3.91    59.29       0.493
  -14.80    21.28    32.41      -15.32    22.00    32.87       1.002
  -33.28   -19.13   -13.57      -33.98   -19.56   -12.94       1.035
   -3.28    20.38    56.90       -1.95    18.94    56.77       1.964
  -24.65   -28.59   -32.60      -24.87   -29.70   -33.07       1.218
   25.51    14.82    45.25       24.60    14.14    45.23       1.143
  -19.39   -30.21   -31.12      -19.40   -31.14   -31.45       0.981
   23.98    22.79     1.24       24.14    23.19     1.26       0.429
   31.34    -3.95    21.28       30.68    -3.40    20.85       0.960
  -10.51    -8.18    18.62       -9.26    -7.43    18.40       1.470
   -7.11    -0.15    48.54       -6.44    -0.02    48.50       0.692
   29.98   -11.38    -7.36       29.96   -11.36    -7.35       0.028
   11.97    15.54   -32.56       12.38    15.77   -31.47       1.188
  -13.77     9.66     3.79      -12.69     8.85     4.09       1.381
  -23.85     8.14   -16.59      -23.84     7.97   -16.90       0.350
   25.11    -6.30    22.82       24.97    -6.00    22.74       0.334
    7.48    13.82   -24.52        8.76    14.55   -24.35       1.480
   35.34    13.81    -2.83       35.69    14.06    -2.88       0.434
   20.61    23.32     2.86       20.97    24.29     2.91       1.029
   17.41    24.16     2.76       17.68    25.33     2.81       1.203
  -30.42   -26.83   -29.00      -31.00   -27.77   -29.04       1.110
   22.88   -10.48   -23.41       22.30   -10.87   -24.21       1.062
    0.97    23.12    30.09        1.13    23.96    30.28       0.870
  -29.74     5.36   -37.99      -29.74     5.36   -37.99       0.002
   19.95    -3.41    53.19       19.97    -3.42    53.19       0.017
  -33.86    -9.64   -42.19      -34.27    -9.52   -42.61       0.600
   12.03    -6.75    41.92       12.03    -6.82    41.92       0.067
   18.35    22.22   -23.56       18.89    23.31   -23.80       1.247
    1.24    -8.16   -28.95        0.81    -8.34   -28.73       0.510
   21.65   -10.52     3.20       21.64   -10.21     3.09       0.334
  -13.89     1.21    22.31      -11.82     1.77    21.84       2.197
   18.25    -2.74   -21.35       17.88    -2.85   -22.11       0.859
  -20.83   -30.08   -26.22      -20.83   -31.56   -26.18       1.483
  -19.98     2.06    -4.04      -18.74     1.79    -4.16       1.279
   13.19    -7.29    25.01       13.18    -7.02    24.98       0.281
   25.87    19.51   -20.70       26.39    20.14   -20.96       0.857
  -12.06    21.92    30.80      -12.99    24.39    31.41       2.704
   42.18     2.66     8.98       41.15     2.59     8.75       1.063
   26.16    14.67    38.05       25.23    14.06    37.98       1.113
   34.95     7.48    17.67       34.12     7.21    17.27       0.960
   13.04    23.70    58.33       12.83    21.77    58.33       1.933
