150 PA5-G-OurOutput-Iter=1.txt 6
-2.969183   54.929591   5.586742   -46.029444   30.481853   -40.550607
   11.81   -16.06     3.11       11.98   -14.25     2.02       2.123
  -36.13   -17.72   -50.18      -34.09   -15.32   -45.17       5.914
   11.66    -5.91    33.71       11.69    -6.34    33.74       0.439
   14.03   -17.53    -4.43       14.01   -17.01    -4.56       0.535
   -6.18     8.68    41.39       -7.14     8.63    41.53       0.968
   -1.76    -1.45    25.54       -5.77    -5.01    26.95       5.540
   -4.83     4.39    37.63       -6.91     4.13    37.72       2.108
  -31.59   -28.61   -16.74      -31.31   -28.05   -16.97       0.664
   20.86     1.34    28.89       24.63    -0.57    29.72       4.305
   -1.83   -23.71    -9.11       -3.52   -19.97   -11.61       4.809
   16.07    22.56    36.96       15.86    21.59    36.91       0.988
    1.24    -9.21    10.56        0.93   -11.13    11.16       2.032
  -24.51     4.08   -47.01      -23.90     2.26   -44.63       3.053
   26.31     3.02   -22.16       31.92     2.33   -25.75       6.698
  -43.26   -18.18   -30.47      -41.62   -17.66   -29.45       1.999
    9.10     6.53    68.05        8.84     7.07    62.94       5.142
   27.76    11.02   -25.17       29.42    12.24   -27.26       2.937
   28.61    15.33     9.63       30.58    17.05    11.65       3.308
   -3.39     4.57    -7.19       -4.92     8.97    -7.53       4.665
   17.84     8.43    59.67       18.76     7.58    62.77       3.343
    3.07     6.87   -10.51        1.97     9.93   -11.64       3.439
   -4.82     3.96    24.05       -9.00     3.02    25.16       4.428
   19.76    22.94   -12.33       20.39    25.64   -12.55       2.781
   27.01     9.81   -25.46       29.03    11.53   -28.03       3.693
   -0.88    -7.42   -30.03       -0.83    -7.40   -30.07       0.073
    7.56   -12.53     5.60        7.55   -12.60     5.62       0.075
   24.80     1.30    18.09       28.76    -0.24    19.84       4.596
  -32.92   -29.78   -19.10      -32.18   -28.62   -19.35       1.403
    9.98    -4.34    47.96       10.27    -6.52    48.06       2.203
   20.00    13.69    36.24       22.37    14.99    36.86       2.772
  -41.46   -21.59   -36.82      -38.86   -20.09   -35.74       3.199
  -18.72   -23.93   -50.24      -19.61   -22.20   -46.23       4.447
   -9.07   -27.51   -15.35       -9.73   -26.75   -16.04       1.220
   19.02     4.84   -18.63       16.27     5.65   -20.94       3.678
   10.08    15.93     4.25        3.52    18.92     1.19       7.830
  -27.86     3.32   -47.56      -26.55     1.45   -44.64       3.705
    7.70    15.40    66.56        7.73    15.45    63.19       3.364
   28.52    -3.12     7.85       29.28    -6.92     8.86       3.999
   22.13    -5.18    12.56       22.58    -6.69    12.92       1.619
   22.14     2.76    25.85       26.03     0.90    27.77       4.715
   36.38    11.26    -7.60       37.29    11.58    -7.67       0.967
   19.19    21.89    38.80       18.02    20.88    38.44       1.590
  -26.79    10.79   -35.38      -26.55     9.59   -34.71       1.394
   20.61     7.05   -20.65       16.48     6.68   -21.54       4.237
  -36.58   -10.85    -8.79      -36.33   -10.75    -9.04       0.367
    9.39   -14.97   -18.02        9.05   -14.28   -17.67       0.845
  -12.11   -29.38   -16.82      -12.15   -28.51   -17.36       1.028
   -6.23    13.35    37.81       -8.14    12.49    39.09       2.451
  -31.24   -16.46   -53.05      -29.95   -16.32   -47.11       6.084
  -37.70     5.93   -25.60      -37.14     5.29   -25.66       0.856
  -27.69   -33.40   -37.90      -26.69   -29.91   -35.82       4.186
   26.63     2.51   -21.91       32.11     2.21   -25.44       6.519
   12.74    20.20    29.27       12.75    22.64    29.73       2.482
   33.10    14.13   -17.74       33.46    14.33   -17.84       0.422
    4.28    -6.44   -24.08        4.52    -6.37   -24.45       0.446
    3.98     6.15   -14.20        4.73     7.70   -15.73       2.306
   -1.94    10.25    43.43       -6.73    10.94    44.04       4.875
  -40.92   -22.72   -29.01      -39.90   -22.05   -28.85       1.233
   -2.83     5.26    12.32      -10.15     9.19    10.29       8.547
   -0.37    11.58    43.64       -6.47    12.44    44.44       6.202
    6.21    -2.47   -22.92        6.22    -2.47   -22.97       0.053
  -35.37    -0.73   -48.07      -33.33    -2.41   -43.62       5.179
   -3.41     5.80    16.55      -11.36     6.44    17.26       8.010
  -43.14    -6.10   -29.79      -43.16    -6.10   -29.80       0.012
  -44.35    -7.52   -20.41      -43.31    -7.46   -20.76       1.095
   13.08   -11.47   -16.02       13.07   -13.02   -17.29       2.003
   18.74   -11.89    10.50       17.93    -8.83     9.68       3.264
   25.35     4.30    17.71       29.81     4.13    19.91       4.971
  -15.20   -25.40   -10.37      -15.28   -24.89   -10.98       0.802
   10.05    -4.51    43.69       10.28    -6.48    43.65       1.990
   24.33    -8.47    -2.14       24.62   -10.95    -0.90       2.788
  -28.83    10.67   -26.19      -28.82    10.66   -26.19       0.008
  -22.76     4.72   -45.88      -22.81     3.33   -43.90       2.427
   -1.21     1.43    49.48       -5.88    -0.16    49.59       4.939
   -0.05   -16.26   -31.29        0.07   -16.28   -31.30       0.126
   -3.79    -2.51   -32.19       -3.47    -2.31   -32.19       0.375
  -17.51    11.85   -24.03      -17.51    11.85   -24.03       0.009
    8.41    -9.52    28.54        8.02    -7.05    28.36       2.504
   26.49     4.42    15.92       30.70     4.20    18.22       4.800
    6.92    17.76    61.44        7.05    18.48    62.02       0.933
   -2.94    -3.31    16.28       -6.73    -7.37    17.28       5.642
   -0.66     0.51    56.04       -4.89    -2.40    56.02       5.135
  -11.88   -30.80   -34.82      -12.44   -29.75   -34.25       1.322
