400 PA5-F-OurOutput-Iter=1.txt 6
23.123021   30.913036   8.644017   -43.903339   20.347258   -31.787530
   21.98    19.77   -26.59       22.34    20.14   -26.99       0.659
  -25.65    -1.09   -47.40      -25.46    -1.33   -46.84       0.634
  -32.74     5.81   -29.15      -33.98     7.58   -29.45       2.185
    3.61    -4.02   -24.78        3.51    -4.05   -24.62       0.185
   -8.89    -1.06     4.64      -13.85    -1.93     6.77       5.473
   24.72    22.88   -14.09       25.21    23.87   -14.08       1.100
    3.25    -5.42    54.15        3.05    -7.14    53.95       1.747
   -3.63    -6.57   -32.19       -2.43    -6.14   -32.71       1.382
   -0.36    -7.02    27.07       -0.48    -8.10    27.26       1.103
    1.84    -6.72   -27.92        1.18    -6.81   -27.33       0.888
   20.88    17.32    26.27       22.64    18.53    26.88       2.220
   36.58     0.97     0.01       38.27    -0.18    -0.08       2.053
   20.01    12.70   -16.02       14.78    11.71   -17.05       5.421
   17.17    18.95    41.08       18.00    19.74    41.37       1.181
    0.19    -5.49   -28.39        0.07    -5.54   -28.30       0.160
   17.82    14.35    38.55       20.79    16.99    38.91       3.984
   -1.45    -7.54    20.10       -1.49    -9.48    20.38       1.966
   20.57    14.82    28.19       23.52    16.43    28.95       3.444
  -12.07    18.83    20.13      -13.78    19.73    19.16       2.169
   27.13   -10.24   -17.89       28.17   -11.65   -18.34       1.805
   12.02   -17.54    -8.42       12.25   -16.92    -8.22       0.689
   10.27    -5.04   -21.89       10.27    -5.01   -22.12       0.238
   -5.05    11.20    32.34       -8.72     8.71    33.66       4.624
    9.41    19.21    34.38        9.20    21.88    34.85       2.723
  -40.22    -4.70   -43.23      -37.93    -5.36   -41.10       3.199
  -27.51   -22.62    -7.28      -27.32   -22.03    -7.83       0.820
  -35.83   -31.68   -35.65      -33.22   -27.68   -34.04       5.044
  -30.66     4.58   -17.99      -32.02     6.66   -17.03       2.672
    1.71    15.03     7.82       -1.31    17.17     6.53       3.916
   -8.30   -25.93    -8.29       -9.35   -22.49   -11.15       4.604
  -44.18   -14.80   -35.86      -39.92   -14.45   -35.49       4.291
   24.25     5.88   -26.22       22.25     4.00   -29.03       3.927
  -42.11   -12.36   -14.02      -40.66   -12.14   -15.03       1.786
   -9.56    -3.97     6.87      -11.80    -5.45     8.20       2.988
   -7.23     4.03    33.85       -7.25     4.03    33.85       0.020
   17.00    10.57    43.85       21.97    13.56    44.51       5.836
    0.60   -10.68   -29.64        0.44   -10.72   -29.53       0.199
  -35.71   -30.79   -38.27      -33.39   -26.77   -36.00       5.162
   -4.02    -4.20    61.58       -3.75    -3.94    61.59       0.376
  -25.74    -2.88   -48.79      -25.14    -2.72   -47.18       1.726
  -39.27   -29.13   -29.87      -36.34   -26.16   -29.37       4.205
    9.06    -2.99   -22.06        9.08    -2.99   -22.11       0.049
  -26.73   -10.39   -51.88      -25.36    -9.42   -49.22       3.150
   23.89    23.45    -6.34       24.33    24.46    -6.38       1.100
   29.46    12.86   -26.45       29.58    12.97   -26.56       0.200
  -32.85     0.41   -43.50      -32.53    -0.16   -42.73       1.010
  -21.00    -4.58    -9.63      -23.12    -3.12    -7.40       3.399
   -6.50    -4.07    15.35       -8.76    -5.30    15.78       2.604
  -37.50   -26.89   -41.16      -34.27   -23.82   -39.04       4.935
  -38.06   -24.58   -14.87      -36.56   -23.03   -16.05       2.459
   -5.32    -4.72    17.88       -7.43    -6.25    18.56       2.694
  -17.96   -36.24   -33.13      -18.75   -32.09   -32.21       4.325
  -12.94    15.40    24.15      -15.71    14.35    24.49       2.982
   22.34    22.69   -15.47       22.85    24.89   -15.57       2.261
   13.65    -3.12    35.54       14.17    -5.81    35.67       2.744
   29.21    -3.46   -27.36       28.62    -2.82   -26.62       1.137
   30.09    19.24     1.21       31.12    19.94     1.19       1.249
   35.19    -0.49     1.77       36.90    -1.99     1.53       2.292
    8.09    18.00    38.70        7.41    21.23    38.60       3.309
   29.13    19.13   -20.39       29.51    19.42   -20.62       0.523
    9.08     8.66    70.98        8.69     9.48    63.20       7.827
   27.02    -5.45     7.99       27.13    -7.37     8.51       1.994
   10.66    -4.52    31.01       10.89    -6.51    31.13       2.006
    8.33    18.99    48.62        8.07    20.69    48.46       1.731
  -12.42    14.46    17.29      -12.49    14.45    17.19       0.125
   -1.36   -17.02   -34.92       -0.98   -17.17   -35.05       0.427
    3.24    10.78     4.49       -0.27    15.26     1.78       6.304
  -11.71    -4.18     2.42      -14.33    -5.11     4.35       3.378
    0.21    -7.13    26.15        0.08    -8.32    26.35       1.211
   23.18    -3.22   -23.86       21.95    -3.24   -25.23       1.841
    8.99     6.72    70.46        8.61     7.51    63.00       7.518
   15.40    13.40    47.84       19.55    16.31    48.25       5.091
    9.32    19.90    25.96        9.38    23.20    26.34       3.317
   -2.28   -14.66   -35.69       -1.19   -14.66   -36.17       1.186
    5.76    17.32    51.48        4.92    19.67    51.73       2.506
   -1.95    -4.26    54.88       -2.67    -4.96    54.84       1.003
   -8.26     0.37     2.71      -13.51     3.00     4.36       6.098
    0.51     5.38    -2.95       -1.62    11.03    -4.90       6.357
   10.48    -3.27    55.18       11.13    -6.63    55.12       3.418
    2.12     2.30    69.70        2.30     2.66    63.57       6.138
    9.72   -15.26     6.09        9.65   -12.95     5.15       2.498
   27.10    -2.37    13.74       28.27    -4.05    14.84       2.331
   25.68    -5.38    10.19       25.75    -6.86    10.64       1.540
    3.49     5.58    69.43        3.15     5.45    63.49       5.949
  -21.41   -13.35    -5.85      -21.55   -13.60    -5.38       0.552
   22.06   -16.16    -2.96       20.98   -14.92    -4.31       2.136
    0.20    14.86     8.94       -1.95    16.71     7.15       3.352
  -30.57     0.59   -44.22      -30.22     0.15   -43.62       0.825
   -2.00    13.63    36.70       -7.97    12.01    39.02       6.609
   36.62     0.52    -0.17       38.07    -0.46    -0.25       1.761
    6.69   -17.27    -1.34        7.50   -14.96    -1.74       2.487
   21.58   -13.25    -1.03       21.19   -12.60    -1.46       0.873
    5.20    -4.80    69.80        5.23    -4.91    63.42       6.386
   -2.15    16.49     9.12       -2.84    17.05     8.55       1.056
    2.79    -9.95    19.88        2.65    -9.38    19.77       0.591
  -28.88   -25.32   -49.47      -27.46   -21.62   -45.38       5.695
  -26.35   -28.96   -46.45      -26.53   -25.31   -42.50       5.383
  -18.17   -33.32   -40.45      -19.03   -29.61   -38.05       4.500
   17.64    19.88    36.52       18.42    20.81    36.61       1.219
   -5.87   -24.18   -40.56       -7.38   -23.00   -39.31       2.291
   14.48    23.37    10.38       14.84    25.76    11.09       2.520
   18.74   -17.74    -2.24       17.79   -15.90    -3.61       2.492
   -4.27    -3.14    38.10       -4.91    -3.64    38.29       0.827
   24.09    23.74    -2.97       24.52    24.69    -3.08       1.049
   33.01    15.58    -6.32       34.04    16.42    -6.23       1.330
   17.07    -3.19    25.55       17.82    -5.82    26.15       2.805
  -11.82     4.62   -40.06      -11.70     4.75   -40.18       0.212
   -2.44    -6.64    22.19       -3.63    -8.55    22.68       2.309
   26.88   -12.39   -12.29       27.08   -12.68   -12.26       0.349
  -11.76   -11.71   -49.23      -12.27   -11.52   -47.42       1.891
   -1.83   -14.10   -34.31       -0.49   -13.97   -34.60       1.381
   10.67    20.51    23.57       10.76    23.46    24.16       3.008
  -15.99   -29.55   -13.80      -16.34   -28.40   -14.57       1.427
    2.13     8.60     2.59       -1.68    13.36     0.65       6.399
   18.23     9.50   -13.23       14.13    10.61   -15.84       4.982
   11.14   -11.11    11.75       10.92   -10.12    11.32       1.104
  -11.66   -14.20   -49.01      -12.19   -14.00   -47.13       1.965
   38.12     3.30   -14.81       37.35     3.17   -14.36       0.901
   25.61    -7.47     4.44       25.65    -8.67     4.86       1.275
   -1.20    -7.52    19.88       -1.25    -9.52    20.18       2.015
   -5.83    18.72    12.42       -5.71    18.59    12.64       0.290
   13.71    21.60    22.27       14.11    23.49    22.57       1.952
   24.24     8.69   -25.77       22.35     8.59   -29.80       4.455
   -8.10    -0.32    57.49       -6.08     0.38    57.49       2.140
   14.67     6.36    62.15       14.60     6.34    63.04       0.898
    8.78    14.88    66.30        8.81    14.92    63.20       3.104
   -0.08    -0.86    70.22       -0.25    -0.83    63.39       6.838
   38.16     3.92    -6.21       40.09     4.29    -6.72       2.034
   19.51   -16.30   -11.85       19.35   -17.29   -12.22       1.072
   36.44     2.24     2.39       38.85     1.09     2.33       2.670
   -3.74    10.32    59.88       -5.50    11.54    60.12       2.150
  -17.20     7.75   -22.11      -16.61    10.34   -20.95       2.895
   12.35   -15.36   -14.16       12.35   -15.11   -14.06       0.268
   32.51    -8.17   -20.32       31.83    -7.68   -20.15       0.857
  -45.19   -18.48   -26.29      -42.61   -17.15   -26.35       2.906
   26.38    -7.80     1.83       26.44    -9.49     2.41       1.797
   37.88     2.26   -17.05       36.53     2.07   -16.49       1.476
   -3.68    -2.71    50.36       -4.35    -3.26    50.51       0.884
    4.57   -10.12    19.58        4.39    -9.12    19.27       1.057
   19.11    18.32   -25.35       20.56    19.93   -28.06       3.464
  -38.50    -4.10   -44.44      -36.47    -4.71   -42.18       3.101
  -21.42    -5.02    -9.68      -23.51    -3.57    -7.48       3.367
    0.30     7.92     3.25       -3.06    12.73     1.64       6.086
  -21.65   -36.76   -24.79      -21.92   -32.67   -24.91       4.106
   12.31     9.94    66.20       12.25     9.92    63.13       3.072
   -1.21    -7.96    18.86       -1.26    -9.67    19.11       1.727
   11.80    -5.23    25.20       12.01    -6.76    25.41       1.559
    9.56     7.46    -8.15        8.17    11.09   -11.36       5.037
   10.42    19.99     4.84        6.88    24.39     3.56       5.790
   28.05    -5.74   -26.14       28.07    -5.28   -25.69       0.645
  -12.50   -34.91   -28.18      -13.64   -31.43   -27.72       3.688
    2.68    14.79    60.39        1.78    15.58    62.75       2.644
   -1.17   -27.48   -27.33       -3.56   -25.26   -26.63       3.338
   21.23    21.92    16.09       21.56    22.51    16.31       0.710
   17.03    -6.98    13.09       17.20    -7.88    13.36       0.956
    3.92    15.72    57.74        2.90    18.50    58.09       2.979
  -13.79   -31.01   -41.38      -14.57   -27.77   -39.22       3.970
  -14.47   -27.80   -11.42      -14.74   -26.53   -12.39       1.624
   -3.28   -25.60   -34.96       -4.99   -24.16   -34.20       2.354
   32.44    16.91    -7.33       33.18    17.53    -7.29       0.956
   -9.91    19.15    15.40       -9.81    19.12    15.54       0.176
  -20.97   -12.62   -52.00      -20.95   -12.14   -49.48       2.567
  -18.77   -15.13   -51.64      -19.08   -14.26   -48.76       3.032
  -20.85   -17.67    -6.87      -20.85   -17.75    -6.28       0.596
    6.40   -17.01   -24.40        3.40   -15.28   -23.16       3.681
  -24.09     7.67   -36.48      -24.46     8.79   -37.34       1.469
   14.02    20.98    -1.67       10.94    25.53    -2.50       5.555
   18.04   -16.22    -0.45       17.29   -14.66    -1.60       2.085
   13.44     8.72    67.33       13.70     8.93    63.13       4.208
    2.63    -4.80   -26.30        2.22    -4.98   -25.80       0.675
   18.18    20.13    30.71       18.95    20.92    30.75       1.106
  -11.19    14.36    14.83      -10.73    14.31    15.13       0.551
   -5.55     7.88    48.51       -6.70     8.08    48.47       1.161
   -7.29     4.03    29.64       -8.02     3.91    29.79       0.760
   -0.81    19.28    30.55       -0.07    22.85    31.49       3.760
   36.80    -0.69    -1.24       37.33    -1.22    -1.29       0.746
   -2.08    -9.33   -31.13       -1.19    -8.83   -31.60       1.124
   -7.55    -0.47    36.55       -6.47    -0.23    36.40       1.119
  -39.32    -0.59   -20.56      -40.36     0.36   -20.24       1.446
   25.56    16.43   -26.36       25.95    16.83   -26.79       0.707
  -30.42     7.01   -28.37      -31.65     9.11   -28.71       2.457
   23.06    19.04   -27.08       23.12    19.09   -27.19       0.132
   -4.13     3.53    -9.27       -5.79     8.67    -8.87       5.415
   -0.30    -5.34    69.81       -0.27    -5.28    63.49       6.328
  -41.07    -6.96   -43.80      -38.27    -7.66   -41.36       3.773
   19.01    18.38   -21.42       21.69    22.65   -24.99       6.176
   25.66     3.70    16.90       30.17     3.53    19.12       5.037
   25.98   -11.25   -16.90       26.94   -12.67   -17.17       1.741
  -22.14   -15.20    -6.13      -22.16   -15.22    -6.06       0.072
  -26.36   -37.09   -31.51      -25.10   -32.37   -30.22       5.052
   20.93    15.85    27.14       23.20    17.47    27.64       2.837
  -12.01   -33.75   -35.34      -13.14   -30.09   -34.21       3.998
    6.18    17.86    31.33        5.91    22.12    32.12       4.344
   36.11     2.42   -27.47       32.28     2.72   -25.27       4.430
   15.00    22.55    -0.02       14.96    26.99    -0.19       4.436
   -4.01    -3.76   -31.89       -3.09    -3.60   -32.06       0.946
   34.33    -1.99     1.02       35.73    -3.21     0.82       1.872
   11.88    -4.52    27.78       12.17    -6.51    27.85       2.008
   28.61     9.24   -28.53       29.13     9.68   -29.19       0.945
   -9.21     9.41    26.81      -10.41     8.35    27.03       1.613
   19.02     5.92    37.30       24.40     5.22    38.33       5.526
   32.78    -2.74     5.72       34.65    -4.83     5.77       2.814
    3.31     3.88    69.40        2.98     3.75    63.54       5.874
   -4.62    15.92    10.22       -4.88    16.24     9.96       0.492
   37.64     9.47    -8.41       38.02     9.67    -8.49       0.436
   22.57    18.52    19.98       23.70    19.65    20.27       1.622
   -0.12    13.89    38.63       -1.14    19.95    40.98       6.578
  -32.58   -23.51    -9.31      -31.73   -22.52   -10.37       1.679
  -39.88   -17.36   -11.62      -38.20   -16.53   -12.73       2.178
  -42.13   -21.51   -19.12      -40.21   -20.57   -19.55       2.173
   10.18    -9.32   -22.35       10.14    -9.23   -22.21       0.170
   13.53    -8.67   -21.35       13.49    -8.72   -21.63       0.290
    5.37    13.15     3.68        1.58    16.49     1.63       5.453
    7.40    -1.62   -22.06        7.46    -1.49   -22.32       0.291
   24.31    -2.98    14.94       25.19    -5.39    15.59       2.653
   -6.56   -13.03   -42.43       -6.01   -13.26   -43.11       0.904
  -41.54    -1.63   -35.85      -40.14    -2.07   -35.25       1.587
  -16.22   -15.88   -50.53      -16.45   -14.85   -48.25       2.517
   17.68     4.90    45.39       22.67     3.90    46.31       5.170
   -7.16     2.80    26.01       -8.56     2.48    26.37       1.485
   23.06     5.28    22.48       28.19     4.84    24.13       5.411
  -20.73    -6.89    -7.76      -22.51    -5.73    -5.32       3.233
   28.60    18.12   -22.37       28.78    18.26   -22.53       0.274
   20.90    21.17   -21.33       22.62    23.58   -22.88       3.341
    0.81    11.10    69.17        0.81    10.88    63.31       5.867
   -5.42     0.82   -28.92       -4.43     1.40   -29.42       1.250
   -4.08   -10.44     9.34       -4.07   -10.40     9.34       0.042
  -42.64   -11.62   -43.55      -38.94   -11.16   -40.91       4.566
  -43.17   -23.82   -27.60      -40.11   -22.04   -27.43       3.545
   31.66    -0.69    10.52       33.49    -2.32    12.10       2.907
   34.74    14.40   -19.94       33.39    13.56   -19.61       1.628
    6.34   -19.35   -18.66        4.85   -16.75   -18.11       3.048
   37.47    -1.11   -10.04       37.93    -1.36   -10.01       0.528
   13.75     7.95    63.00       13.75     7.94    63.08       0.076
  -20.53   -32.72   -14.67      -20.33   -30.61   -16.33       2.692
   21.97    23.02   -10.76       22.66    25.00   -10.72       2.099
    8.54    18.58    32.64        8.26    22.09    33.26       3.576
    5.47    -5.26    38.40        5.66    -6.96    38.42       1.710
  -12.97     8.52   -33.11      -12.72     9.11   -33.28       0.660
   17.27    16.57    -8.26       11.85    15.20   -11.35       6.382
    8.49    -4.66    35.15        8.72    -6.65    35.17       2.002
   -0.03    21.80    19.30       -0.36    23.69    19.31       1.924
   -1.74     3.99    -5.81       -4.42     9.32    -6.85       6.052
  -33.13   -28.37   -43.08      -30.86   -25.40   -40.21       4.717
  -12.53   -17.56    -3.66      -12.61   -15.88    -4.72       1.984
  -40.82    -6.59   -43.80      -38.11    -7.27   -41.44       3.653
   21.38    19.78   -26.47       21.80    20.19   -27.32       1.027
   15.90   -12.16   -17.64       15.90   -12.59   -18.23       0.730
   -9.56   -15.20   -47.62      -10.43   -14.57   -46.19       1.786
  -24.68   -24.13    -7.41      -24.49   -23.49    -8.55       1.319
   14.29    17.06    48.77       16.50    19.36    49.07       3.210
   23.00     8.84   -25.91       21.39     8.61   -29.35       3.804
   -0.60   -26.32   -31.25       -3.34   -23.81   -30.35       3.816
    9.64    10.39    -3.35        5.20    14.11    -6.75       6.726
   22.11     3.72    24.88       27.25     3.22    26.51       5.415
  -11.11   -33.36   -21.84      -12.48   -30.43   -22.49       3.296
   -2.02    -5.79    68.97       -1.45    -5.38    63.48       5.540
   15.70     3.60    56.93       20.31     1.23    57.66       5.228
    1.53   -12.46     4.70        1.54   -12.21     4.66       0.251
    0.40    16.02     8.25       -1.52    17.12     6.94       2.572
  -44.88   -19.08   -25.96      -42.29   -17.74   -26.03       2.918
  -35.65   -32.03   -34.69      -33.10   -28.13   -33.12       4.917
  -25.27   -14.64   -52.87      -24.09   -14.11   -48.42       4.636
  -24.37    10.32   -27.49      -24.73    11.90   -27.76       1.644
   34.27    12.99     0.81       36.14    14.28     0.68       2.279
   -0.05    14.09     9.50       -2.56    16.26     7.42       3.920
   -9.10     0.11    61.59       -5.66     0.15    61.93       3.457
   15.22    21.51    -3.32       14.28    26.65    -4.51       5.365
   12.97    20.83    31.20       12.85    22.54    31.27       1.716
   29.39    13.40   -26.03       29.50    13.50   -26.13       0.186
   31.33    16.38    -3.60       32.83    17.60    -3.46       1.942
    2.74     5.86    71.03        2.51     5.70    63.52       7.515
    1.64    10.90     6.19       -2.33    14.63     3.99       5.882
   10.23    15.42    -0.11        5.18    17.68    -3.08       6.276
   18.42    13.10    36.34       22.17    15.16    37.32       4.381
   18.56    11.85    36.30       22.71    14.14    37.38       4.859
   12.02    -5.48    24.64       12.21    -6.81    24.83       1.360
    0.92    12.60    54.18       -1.89    16.15    54.95       4.588
   28.83    -7.68    -1.94       29.89    -9.26    -1.71       1.919
   18.16    12.37    37.57       22.28    14.78    37.92       4.788
   14.08    22.61    13.03       14.47    25.08    13.65       2.586
  -36.08   -29.65   -19.01      -34.15   -27.23   -19.74       3.179
    0.40    16.23     8.09       -1.39    17.26     6.87       2.399
  -41.25   -22.56   -40.91      -37.21   -20.16   -38.73       5.169
    3.24    -5.14    47.14        3.02    -6.92    47.06       1.797
   17.38    21.18    29.34       17.51    22.12    29.50       0.968
   17.09     3.86    47.41       21.86     1.75    48.02       5.246
   -5.89    -3.63   -35.98       -3.68    -2.87   -35.92       2.340
    5.22    17.14    35.85        4.56    21.40    36.04       4.318
   35.39    -2.59   -28.70       31.69    -1.57   -25.64       4.911
    1.81   -21.09   -11.61        1.29   -18.78   -12.35       2.480
   -9.33   -28.19   -41.29      -10.80   -25.79   -39.58       3.283
    2.60    13.15     7.70       -1.44    16.56     5.84       5.605
    0.96    20.38    12.96        0.03    22.03    12.28       2.007
   -8.26     2.98   -30.52       -6.59     3.83   -31.11       1.960
   13.99    21.17    29.05       14.18    22.60    29.29       1.459
   21.18    18.64   -27.39       21.57    19.13   -28.05       0.908
   32.62     8.65   -30.00       30.41     8.45   -28.27       2.815
  -15.43   -20.29   -50.07      -16.11   -19.05   -46.80       3.568
  -38.17   -19.99   -10.29      -36.36   -18.97   -11.64       2.480
   17.33    15.65    39.42       20.04    17.69    39.93       3.427
   13.17    17.19    -4.20        7.61    18.04    -7.26       6.404
