150 PA5-G-OurOutput-Iter=9.txt 6
-27.284201   120.442647   16.174185   -117.501989   106.206509   -107.831832
   10.65    20.69    24.15       10.79    20.43    24.12       0.295
    5.48   -19.42   -13.18        5.15   -19.22   -13.21       0.390
  -35.57   -28.46   -20.63      -35.56   -28.46   -20.63       0.011
   14.05    23.20    -1.88       14.00    23.24    -1.89       0.058
   19.25    15.53    36.10       19.39    15.53    36.12       0.141
   -2.25    13.42    19.47       -2.30    13.61    19.44       0.195
  -25.06    11.78   -38.11      -25.06    11.78   -38.11       0.001
   -2.85   -18.94    -8.21       -2.86   -18.76    -8.36       0.238
   22.95    13.25    21.99       22.88    13.24    21.95       0.090
  -17.55   -30.81   -39.13      -17.56   -30.75   -39.10       0.071
   -9.74     4.59   -10.99       -9.61     4.28   -11.19       0.386
   -6.61   -23.70    -8.94       -6.63   -23.73    -9.15       0.205
   19.12   -12.06     6.36       18.95   -11.77     6.20       0.373
   28.56     3.75    12.03       28.28     3.63    11.71       0.443
   10.85    21.84    14.13       11.10    21.53    14.12       0.393
  -17.74   -20.09   -51.26      -17.76   -20.07   -51.22       0.049
   10.93   -14.96     2.31       10.91   -14.77     2.25       0.201
  -37.46   -17.00   -50.57      -37.46   -16.95   -50.51       0.074
   11.01    -4.62    32.84       10.86    -4.35    32.77       0.318
   13.09   -16.47    -5.25       12.95   -16.95    -5.36       0.507
   -6.78     9.99    40.59       -5.94     9.41    39.70       1.356
   -2.47    -0.24    24.76       -2.80    -0.38    24.79       0.358
   -5.45     5.68    36.84       -5.42     5.94    36.76       0.275
  -32.62   -27.68   -17.11      -32.62   -27.69   -17.11       0.004
   20.17     2.61    27.90       20.20     2.60    27.91       0.033
   -2.81   -22.70    -9.76       -2.94   -22.70   -10.19       0.450
   15.41    23.87    35.89       15.47    23.80    35.89       0.082
    0.41    -8.08     9.80        0.44    -7.97     9.75       0.127
  -25.84     4.84   -47.62      -25.84     4.87   -47.65       0.042
   25.19     3.99   -23.20       24.78     3.29   -23.89       1.064
  -44.42   -17.36   -30.80      -44.61   -17.47   -30.76       0.224
    8.73     8.01    67.13        8.71     8.28    67.05       0.284
   26.60    11.98   -26.27       26.79    12.41   -27.09       0.943
   27.74    16.49     8.49       27.95    16.45     8.57       0.231
   -4.39     5.59    -7.99       -4.21     5.28    -8.15       0.393
   17.40     9.88    58.67       17.50     9.92    58.67       0.114
    2.04     7.88   -11.38        2.04     7.68   -11.37       0.198
   -5.55     5.16    23.26       -6.04     4.79    23.35       0.614
   18.69    23.96   -13.43       18.96    23.40   -13.41       0.615
   25.85    10.76   -26.55       25.08    10.91   -26.87       0.850
   -2.05    -6.53   -30.78       -1.92    -6.41   -31.13       0.395
    6.69   -11.42     4.81        6.70   -11.38     4.80       0.035
   24.01     2.51    17.07       23.92     2.53    17.03       0.102
  -33.97   -28.88   -19.45      -33.91   -28.75   -19.53       0.163
    9.46    -2.97    47.10        9.41    -2.82    47.10       0.154
   19.36    15.00    35.19       19.52    14.99    35.22       0.168
  -42.67   -20.80   -37.14      -42.82   -20.93   -37.14       0.199
  -20.04   -23.19   -50.74      -20.07   -23.14   -50.67       0.085
  -10.09   -26.55   -15.91      -10.09   -26.20   -16.05       0.379
   17.92     5.82   -19.62       18.06     5.72   -19.57       0.175
    9.16    17.04     3.27        8.98    17.13     3.20       0.214
  -29.19     4.07   -48.14      -29.23     4.16   -48.22       0.123
    7.31    16.87    65.60        7.47    16.93    65.34       0.308
   27.66    -1.97     6.82       27.78    -2.18     6.88       0.245
   21.31    -4.01    11.60       21.16    -3.95    11.53       0.176
   21.42     4.01    24.85       21.54     3.99    24.88       0.125
   35.37    12.33    -8.77       35.57    12.40    -8.78       0.213
   18.55    23.22    37.70       18.78    23.29    37.72       0.237
  -28.03    11.61   -36.02      -28.06    11.70   -36.07       0.104
   19.49     8.02   -21.67       19.58     7.98   -21.65       0.099
  -37.57    -9.89    -9.22      -37.55    -9.91    -9.49       0.270
    8.33   -13.99   -18.82        8.52   -14.08   -18.90       0.226
  -13.14   -28.43   -17.35      -13.18   -28.21   -17.41       0.236
   -6.87    14.63    36.97       -6.74    14.48    36.89       0.213
  -32.60   -15.75   -53.49      -32.71   -15.84   -53.66       0.216
  -38.86     6.79   -26.12      -38.90     6.88   -26.07       0.105
  -28.89   -32.60   -38.27      -28.88   -32.58   -38.27       0.017
   25.51     3.48   -22.95       25.13     2.81   -23.61       1.012
   12.02    21.46    28.24       12.11    21.34    28.24       0.147
   32.00    15.14   -18.90       32.43    15.26   -19.04       0.472
    3.15    -5.51   -24.88        3.42    -5.58   -25.09       0.354
    2.92     7.14   -15.08        2.92     7.18   -15.09       0.046
   -2.53    11.58    42.58       -2.49    11.53    42.57       0.057
  -42.06   -21.89   -29.34      -42.28   -22.01   -29.35       0.252
   -3.67     6.40    11.51       -3.97     6.60    11.46       0.365
   -0.96    12.90    42.77       -0.85    12.74    42.73       0.198
    5.09    -1.53   -23.75        5.29    -1.45   -23.95       0.299
  -36.71     0.01   -48.57      -36.79     0.15   -48.75       0.243
   -4.21     6.96    15.74       -4.59     7.24    15.63       0.481
  -44.32    -5.27   -30.20      -44.72    -5.26   -30.26       0.410
  -45.44    -6.64   -20.79      -45.53    -6.53   -20.70       0.170
   12.03   -10.48   -16.87       12.38   -10.82   -17.16       0.564
   17.91   -10.73     9.61       17.89   -10.70     9.60       0.043
   24.56     5.51    16.67       24.43     5.49    16.59       0.153
  -16.18   -24.41   -10.89      -16.16   -24.39   -10.95       0.067
    9.50    -3.17    42.82        9.47    -3.03    42.81       0.138
   23.39    -7.38    -3.09       23.72    -7.44    -3.14       0.335
  -29.99    11.54   -26.81      -30.02    11.58   -26.80       0.055
  -24.08     5.48   -46.52      -24.07     5.52   -46.56       0.060
   -1.72     2.79    48.67       -2.01     2.66    48.68       0.311
   -1.22   -15.38   -32.00       -1.09   -15.31   -32.10       0.187
   -4.99    -1.64   -32.94       -4.90    -1.54   -33.05       0.174
  -18.66    12.74   -24.76      -18.67    12.67   -24.76       0.072
    7.73    -8.27    27.72        7.76    -7.92    27.58       0.384
   25.68     5.62    14.87       25.51     5.64    14.72       0.234
    6.48    19.20    60.47        6.39    19.32    60.45       0.148
   -3.74    -2.15    15.52       -3.68    -2.10    15.46       0.094
   -1.12     1.91    55.23       -1.33     1.81    55.23       0.224
  -13.06   -29.96   -35.34      -13.14   -29.80   -35.34       0.174
