400 PA5-J-OurOutput-Iter=9.txt 6
-72.958761   -31.176651   -21.666021   -10.786524   -101.090699   -73.410195
  -31.67    11.57   -23.70      -31.68    11.58   -23.70       0.019
   -5.34   -24.54    -8.33       -5.36   -24.48    -8.38       0.077
    7.41    18.85   -21.46        7.53    18.91   -21.49       0.130
   21.04    15.36    38.16       20.55    15.02    38.12       0.596
   -5.54    10.43    -9.08       -5.54    10.46    -9.08       0.039
   24.50    -6.36   -27.21       24.51    -6.37   -27.22       0.017
   37.52    -0.26    -2.95       37.31    -0.11    -2.92       0.258
   16.60    -8.40    25.08       16.57    -8.07    25.06       0.334
   -5.91     1.58   -36.54       -5.57     1.65   -36.56       0.343
  -20.07   -34.02   -33.04      -20.05   -33.79   -32.97       0.244
  -43.28    -8.99   -25.46      -43.61    -8.94   -25.51       0.334
  -27.61   -21.98    -5.20      -27.61   -21.98    -5.20       0.004
   17.58    -8.46    22.32       17.56    -8.22    22.30       0.240
   -9.55    31.25    21.40       -9.55    31.22    21.41       0.035
  -29.14   -29.59   -37.70      -28.95   -29.24   -37.46       0.467
    8.89    12.52    -7.71        8.92    12.46    -7.68       0.073
    7.68    18.45   -21.62        7.72    18.47   -21.63       0.047
   29.05     8.03    21.66       29.03     8.03    21.65       0.022
   23.31     2.36    48.64       22.80     2.45    48.63       0.521
   11.67    -0.94    57.75       11.02    -1.43    59.82       2.227
   33.94    -6.33   -14.19       34.00    -6.35   -14.18       0.058
    6.97    27.69    17.40        7.01    27.54    17.38       0.153
  -17.16    -4.05   -50.57      -17.14    -3.94   -49.80       0.787
   -0.09   -16.00     0.86       -0.08   -15.84     0.78       0.178
   31.60    -8.15    -0.49       31.55    -8.02    -0.56       0.152
   -1.08    18.27    49.86       -0.96    18.02    49.89       0.283
  -31.39   -31.41   -19.77      -31.18   -31.10   -19.85       0.386
   -0.05   -17.62    -1.97       -0.05   -17.55    -2.04       0.093
   10.63    -8.99    20.39       10.65    -8.62    20.34       0.367
  -38.43   -10.25   -34.98      -38.32   -10.26   -34.93       0.121
   14.19    -9.30    49.46       14.13    -8.92    49.46       0.391
   -3.92    -4.65    42.27       -3.57    -4.41    42.40       0.452
    5.16    -8.99   -23.48        5.10    -9.00   -23.41       0.094
   -9.86    30.53    31.09       -9.86    30.36    31.07       0.167
  -12.03    11.00    22.73      -12.02    11.01    22.73       0.010
   21.59     1.22    54.63       21.61     1.22    54.63       0.027
   12.27    -8.44    36.46       12.23    -8.06    36.47       0.379
  -17.87    -4.26     0.94      -17.90    -4.27     0.97       0.039
    5.57    -3.20    56.75        5.15    -3.36    58.73       2.034
   -0.63    -7.11    48.04       -0.56    -6.98    48.08       0.150
  -12.92    23.60    13.58      -12.80    23.60    13.77       0.232
    3.84    -1.89   -22.32        3.83    -1.90   -22.31       0.015
   -7.25     5.08    33.60       -7.66     4.94    33.63       0.426
  -16.39   -17.29   -49.64      -16.37   -17.01   -49.06       0.648
  -25.81   -33.61   -31.28      -25.79   -33.51   -31.24       0.111
  -30.67    12.59   -27.61      -30.66    12.59   -27.61       0.007
  -16.06   -16.79   -49.81      -16.04   -16.54   -49.30       0.576
   29.01     9.84    21.14       28.85     9.77    21.08       0.178
  -38.33     4.85   -19.65      -38.25     4.78   -19.69       0.108
  -32.64    10.33   -20.55      -32.58    10.24   -20.59       0.113
  -21.63    16.16   -22.99      -21.63    16.19   -22.99       0.025
    9.69   -17.36   -15.37        9.58   -17.14   -15.18       0.308
   -5.91    10.88    51.48       -6.12    10.95    51.50       0.222
   -7.36   -26.06   -10.31       -7.37   -26.02   -10.33       0.047
   10.88    -0.68   -21.67       10.88    -0.68   -21.67       0.003
    6.67     0.66   -20.26        6.69     0.54   -20.07       0.230
   17.90   -14.97    -0.94       17.75   -14.58    -1.11       0.445
    6.00   -17.84   -18.78        5.81   -17.77   -18.69       0.224
   -8.00   -20.77    -6.46       -8.00   -20.79    -6.44       0.027
  -19.02    -8.74    -1.67      -19.10    -8.78    -1.27       0.412
  -30.57     7.51   -38.80      -30.41     7.23   -38.66       0.344
    5.25    -8.95    24.54        5.26    -8.74    24.49       0.216
   16.85    25.25    25.22       16.86    25.25    25.23       0.016
  -34.97     7.98   -17.23      -34.87     7.93   -17.22       0.113
    2.60    -8.64    47.31        2.66    -8.28    47.35       0.365
    1.25    -5.01   -25.55        1.15    -5.01   -25.43       0.151
   16.34    -8.36    22.57       16.33    -8.30    22.56       0.062
   10.30    16.94   -13.24       10.35    16.97   -13.25       0.061
   -4.96   -21.81    -5.82       -5.05   -21.55    -5.94       0.303
   -2.06    -1.95   -28.10       -2.13    -1.96   -28.04       0.098
   36.66    -0.65   -12.20       36.74    -0.68   -12.20       0.088
    0.31     6.34   -18.03        0.36     6.40   -18.09       0.103
   24.35    16.69    23.38       24.33    16.67    23.38       0.033
  -38.32   -10.52    -9.18      -38.36   -10.52    -9.16       0.041
   -2.47    -8.93   -35.31       -2.63    -8.88   -35.16       0.226
    5.98    23.86    -1.62        6.36    23.74    -1.56       0.406
  -25.85   -32.63   -34.13      -25.77   -32.35   -33.98       0.324
    4.06    19.90    -0.15        4.36    19.78     0.16       0.448
   -4.34    -2.31    32.83       -4.62    -2.51    32.85       0.351
  -13.87   -20.14    -5.25      -13.78   -20.25    -5.02       0.267
   -2.65   -25.71   -11.39       -2.68   -25.58   -11.44       0.143
   24.09    10.18   -29.59       23.89    10.44   -28.76       0.897
    9.14    27.02    -4.44        9.29    26.82    -4.43       0.244
   22.86     8.30    51.64       22.42     8.15    51.57       0.469
   10.06    -3.69   -21.57       10.18    -3.69   -21.25       0.341
   21.51    11.29    52.40       21.00    11.06    52.26       0.581
   18.96    -7.58    32.01       18.87    -7.38    31.98       0.223
    9.31    27.47     0.14        9.52    27.20     0.19       0.346
  -11.87   -29.49   -38.83      -11.92   -29.38   -38.74       0.151
    3.10    -5.70   -24.34        2.89    -5.70   -24.06       0.344
    3.53   -23.21   -11.73        3.29   -22.76   -11.60       0.525
   21.76   -11.21     2.63       21.62   -10.97     2.53       0.298
   20.52    27.60    -2.95       20.52    27.60    -2.95       0.003
  -20.74    16.30   -29.80      -20.76    16.09   -29.73       0.220
    2.52    22.14     4.16        2.82    21.99     4.29       0.358
   -1.40    -6.03    35.00       -1.35    -5.93    35.00       0.101
   16.60   -14.37     1.50       16.46   -14.00     1.34       0.425
   -6.89   -26.68   -11.51       -6.89   -26.50   -11.59       0.200
    2.32    -8.86    56.17        2.10    -9.55    56.12       0.721
  -19.10    28.24    20.50      -19.03    28.17    20.56       0.124
  -39.58     3.76   -30.67      -39.49     3.71   -30.65       0.108
   33.36    12.54     9.50       33.46    12.61     9.54       0.127
    2.60   -24.31   -16.52        2.31   -23.90   -16.49       0.498
   19.63     7.30    56.16       21.69     7.55    56.54       2.103
   18.30    -6.26    49.72       18.22    -6.19    49.72       0.113
   22.97     9.06    48.01       22.79     8.98    47.98       0.198
   -8.74     7.66    29.58       -8.94     7.60    29.61       0.217
   17.14    24.30    26.18       17.22    24.38    26.21       0.112
   29.63    13.68    15.27       29.81    13.76    15.38       0.223
    2.60   -19.46   -26.88        2.84   -19.45   -26.87       0.231
    3.83    -8.62    28.30        3.84    -8.38    28.30       0.247
   -8.20    13.39    38.83       -8.24    13.39    38.84       0.033
   33.51    -5.97     2.15       33.48    -5.92     2.14       0.058
  -41.75   -10.17   -14.70      -41.64   -10.18   -14.75       0.127
   27.70    10.14    24.59       27.40    10.05    24.49       0.328
   29.51    20.30     6.29       29.36    20.21     6.26       0.173
   -0.21     7.43   -16.90       -0.18     7.51   -16.95       0.100
   10.20    29.25     8.05       10.39    28.94     8.11       0.367
   -8.43    25.23    13.04       -8.44    25.11    13.15       0.167
   34.28    -1.84     8.37       34.37    -1.95     8.46       0.169
   23.16    -2.62    35.39       23.10    -2.57    35.38       0.079
   16.48    -8.26    41.27       16.44    -8.09    41.28       0.179
   -7.94     9.42   -29.72       -7.55     9.53   -29.76       0.413
    1.04    -2.82    56.58        1.16    -2.84    58.54       1.959
    0.46   -12.24    10.56        0.45   -12.25    10.57       0.012
   10.24   -16.41     1.57       10.25   -16.52     1.70       0.173
   -5.64    10.42    -8.55       -5.64    10.44    -8.55       0.024
    6.03   -19.65    -5.66        5.95   -19.31    -5.81       0.377
   18.69    -7.14    37.42       18.63    -7.03    37.42       0.128
   -0.55    -7.29    26.27       -0.60    -7.48    26.33       0.204
  -38.33     3.37   -34.67      -38.21     3.28   -34.61       0.162
   13.43    10.86   -27.74       13.90    11.46   -27.36       0.857
   14.58   -19.19    -8.00       14.56   -18.64    -7.84       0.575
   31.22    -4.11   -23.97       31.15    -4.07   -23.82       0.162
   -8.99    -4.05    14.68       -8.97    -4.04    14.68       0.026
  -35.41     4.99   -14.01      -35.35     4.91   -14.04       0.100
   22.86     4.11    52.06       22.71     4.10    52.04       0.154
  -19.07    23.45    17.11      -18.95    23.34    17.35       0.287
  -20.80   -25.17    -7.25      -20.79   -25.23    -7.21       0.075
  -38.34    -1.30   -12.53      -38.41    -1.27   -12.49       0.083
   37.56     2.00     5.91       37.58     2.00     5.92       0.020
   39.34     7.47    -4.21       39.37     7.47    -4.21       0.029
   24.28    23.58    13.93       24.33    23.62    13.96       0.068
   -0.10   -11.53   -32.29        0.03   -11.51   -32.34       0.137
    7.90    -9.08    23.38        7.84    -8.67    23.38       0.416
   -9.86     9.53    -3.22       -9.83     9.24    -3.07       0.332
   18.37     5.62   -28.17       18.73     5.70   -27.52       0.740
  -30.43     7.40   -39.13      -30.28     7.14   -39.00       0.334
   19.28    25.99   -22.16       19.19    25.79   -21.92       0.319
    3.77    -3.92   -23.32        3.90    -3.84   -23.43       0.185
   -4.31    -3.97    27.32       -4.74    -4.45    27.37       0.646
   27.89    -7.33     3.62       27.87    -7.28     3.60       0.049
   -8.36    12.05   -16.80       -8.27    12.25   -16.77       0.228
  -35.48   -17.79    -8.89      -35.50   -17.80    -8.85       0.054
   32.21    -1.36   -24.63       32.19    -1.17   -24.34       0.349
    2.08   -15.24   -28.54        2.40   -15.11   -28.65       0.359
    7.52    24.53   -15.61        7.61    24.45   -15.63       0.112
    9.41    10.96    -9.75        9.41    10.94    -9.72       0.043
   18.95    15.80    47.25       18.84    15.71    47.22       0.144
   17.21    17.86    46.39       17.05    17.64    46.23       0.318
  -14.16    -5.12     4.61      -14.22    -5.15     4.67       0.100
   32.55    16.33    -4.84       32.60    16.36    -4.83       0.057
    3.09    -7.66    38.79        3.08    -7.71    38.79       0.049
    8.68    28.55    10.61        8.81    28.37    10.64       0.223
   -0.66   -24.11    -9.33       -0.69   -23.99    -9.39       0.131
   20.66    22.94    22.73       20.58    22.90    22.70       0.094
   -9.94    22.44    39.15      -10.03    22.50    39.27       0.162
   14.44     1.97    58.00       15.06     2.37    59.61       1.775
  -42.88    -2.17   -24.71      -43.03    -2.10   -24.70       0.161
   20.46   -13.37   -20.35       20.81   -12.80   -20.24       0.680
   15.75   -11.98   -19.96       15.76   -11.59   -19.64       0.498
   -1.51    -6.26    47.80       -1.57    -6.39    47.78       0.151
  -36.02     3.40   -39.33      -35.76     3.25   -39.19       0.331
   18.96    18.55   -28.60       18.84    18.41   -28.42       0.251
    8.52    22.50    37.49        8.54    22.32    37.46       0.190
   -9.98    -1.34    14.87      -10.00    -1.34    14.87       0.019
   -8.05   -25.64    -9.20       -8.04   -25.67    -9.18       0.037
  -11.43    14.46     9.26      -11.15    14.29     9.48       0.390
   26.48    -5.10   -26.90       26.51    -5.07   -27.15       0.253
  -21.50   -14.86   -49.99      -21.49   -14.84   -49.93       0.063
    3.48    27.21    17.57        3.49    27.04    17.54       0.175
   -7.43     5.25    39.53       -7.67     5.19    39.55       0.255
   19.97    28.25   -12.21       19.94    28.20   -12.21       0.063
   31.29     9.49   -27.14       31.35     9.52   -27.18       0.075
    5.30    25.74    27.76        5.22    25.47    27.69       0.291
   22.63    -6.49    21.36       22.47    -6.28    21.31       0.266
   37.52     9.91     2.30       37.62     9.98     2.31       0.124
  -23.78    -2.94   -49.24      -23.83    -2.95   -48.69       0.553
  -13.77   -29.98   -39.08      -13.81   -29.80   -38.95       0.222
    4.98    13.56    55.98        4.82    13.69    58.28       2.304
   12.54   -16.18     0.95       12.57   -16.21     0.99       0.054
   31.21   -11.84   -10.74       31.12   -11.79   -10.83       0.140
   24.51    -7.71     8.80       24.45    -7.61     8.77       0.127
  -33.43    -2.95    -8.89      -33.39    -3.04    -8.60       0.304
   -5.44     2.98   -28.29       -5.35     3.00   -28.31       0.094
  -11.93     2.95   -44.62      -12.00     2.86   -44.51       0.154
   13.97     2.21   -21.99       14.20     2.19   -21.57       0.476
   32.48     0.50   -24.59       32.41     0.53   -24.65       0.098
    0.52   -13.25     7.66        0.55   -13.12     7.61       0.135
   29.92    20.15    -8.51       30.06    20.27    -8.50       0.182
   22.80   -17.89   -10.01       22.65   -17.37   -10.05       0.541
    2.46    -9.00    22.85        2.45    -9.04    22.86       0.043
   10.32    26.96    24.89       10.33    26.76    24.86       0.203
   16.27    -8.08    48.35       16.26    -8.04    48.35       0.042
   19.54    22.07    26.34       19.40    21.97    26.26       0.181
   -3.24    18.49     7.10       -3.06    18.28     7.24       0.303
  -28.34    14.58   -28.14      -28.26    14.46   -28.15       0.145
   -1.17     4.02   -21.80       -1.22     3.95   -21.71       0.119
   27.10    -0.53    21.82       27.06    -0.51    21.81       0.045
    9.27   -15.30   -18.49        9.03   -14.90   -18.15       0.576
   -1.82   -22.69    -8.04       -1.80   -22.73    -7.99       0.064
  -38.49   -16.82   -11.69      -38.49   -16.82   -11.69       0.007
   29.98    20.50    -0.41       29.89    20.43    -0.42       0.115
   31.01   -15.13   -13.38       30.84   -14.93   -13.74       0.444
    4.07    11.26    -8.75        4.09    11.35    -8.80       0.102
  -12.94    14.19   -30.48      -12.91    14.26   -30.50       0.068
   -1.48    16.42    54.10       -1.51    16.48    54.12       0.080
    8.32    11.77    -8.39        8.36    11.71    -8.35       0.084
  -15.15    -8.10     1.97      -15.16    -8.11     1.98       0.022
  -19.68    -8.65   -50.50      -19.77    -8.67   -50.04       0.470
   22.02    12.37    46.48       21.61    12.08    46.43       0.504
  -38.93    -8.87   -34.98      -38.76    -8.82   -34.96       0.181
    3.82   -13.56   -24.07        3.69   -13.55   -24.02       0.133
   24.93     2.68    36.93       24.67     2.73    36.85       0.276
    2.43    -7.75    39.61        2.46    -7.61    39.61       0.144
   -7.77     9.36   -26.74       -7.45     9.46   -26.74       0.335
   -7.92     7.95    42.20       -7.89     7.95    42.20       0.025
  -37.90   -19.16   -36.80      -37.71   -19.15   -36.75       0.198
   28.39    -8.04     1.99       28.39    -8.04     1.99       0.002
  -34.23     9.86   -24.75      -34.14     9.63   -24.74       0.242
   29.98    20.37   -11.38       30.01    20.40   -11.38       0.046
   -2.64    23.80    12.11       -2.54    23.55    12.31       0.334
   -8.66    29.23    33.77       -8.68    29.36    33.86       0.157
  -38.19   -26.74   -24.44      -37.82   -26.42   -24.45       0.493
  -33.40     6.88   -37.15      -33.31     6.66   -36.99       0.295
   13.17   -19.49    -5.69       13.17   -18.83    -5.69       0.660
   -4.30    -3.28    40.27       -4.42    -3.33    40.24       0.131
  -10.88    20.01    37.34      -11.07    19.88    37.45       0.254
   14.27   -18.24   -10.97       14.18   -17.85   -10.80       0.440
  -15.72   -11.67   -50.49      -15.79   -11.72   -50.32       0.195
    0.90     8.36   -14.99        0.89     8.35   -14.98       0.012
   12.47    24.80   -28.81       12.42    24.43   -28.21       0.704
   30.25    -0.96   -25.29       30.20    -0.93   -25.21       0.091
   11.14     2.20   -19.88       11.16     2.10   -19.77       0.151
    0.12    20.22    46.35        0.12    20.19    46.35       0.024
   26.53   -14.80    -7.65       26.37   -14.50    -7.77       0.354
   -5.30   -25.29   -33.53       -5.33   -25.23   -33.51       0.069
   -9.02     4.42    22.45       -9.31     4.33    22.53       0.319
   17.70     2.38    56.70       18.15     3.00    58.63       2.076
   28.77    -4.25    10.18       28.80    -4.30    10.21       0.063
  -34.32   -11.64   -46.79      -34.18   -11.57   -46.38       0.438
   31.62    -3.03     9.14       31.67    -3.10     9.19       0.094
    5.89    -8.85    45.85        5.92    -8.63    45.88       0.216
  -12.87    20.65    35.60      -12.94    20.56    35.68       0.140
   23.25     3.52    48.85       22.97     3.57    48.85       0.281
    6.64    24.87    -1.17        6.89    24.62    -1.12       0.358
   22.20     9.93    51.54       21.81     9.76    51.44       0.439
   -7.39   -22.53    -7.02       -7.40   -22.69    -6.87       0.220
  -15.33    -9.43   -49.91      -15.47    -9.52   -49.57       0.375
   26.16   -13.31   -22.69       26.17   -13.28   -22.66       0.046
   33.31    12.31   -23.21       33.33    12.38   -23.27       0.098
  -38.36    -3.18   -37.85      -38.31    -3.19   -37.82       0.065
  -12.02   -32.24   -33.42      -12.09   -32.10   -33.37       0.168
   37.70     0.52     1.23       37.72     0.51     1.23       0.017
  -36.77   -11.31   -43.99      -36.39   -11.33   -43.81       0.416
    7.10    24.91    -4.78        7.50    24.77    -4.67       0.442
   21.82   -14.28    -2.65       21.55   -13.86    -2.94       0.582
  -34.55   -19.15   -43.28      -34.13   -18.94   -43.12       0.495
   26.23    23.58     9.54       26.22    23.57     9.53       0.015
   -1.78    -9.55    18.39       -1.78    -9.60    18.40       0.049
  -16.39   -17.03   -49.70      -16.38   -16.78   -49.17       0.585
  -11.40    16.78    10.89      -11.16    16.70    11.19       0.391
  -41.68   -20.31   -22.95      -41.62   -20.27   -22.95       0.070
   -9.27    12.01    32.83       -9.46    11.92    32.89       0.222
  -40.89     1.61   -30.96      -40.85     1.59   -30.96       0.045
   -1.96    -7.40    24.45       -1.97    -7.41    24.47       0.016
   21.72     3.28    55.53       21.89     3.24    55.55       0.170
   -8.48     8.27    31.73       -8.83     8.16    31.75       0.358
   -1.90    20.52     8.02       -1.68    20.39     8.22       0.320
  -36.92    -5.13   -42.13      -36.68    -5.21   -41.94       0.315
    8.90    -8.53    40.93        8.92    -8.37    40.94       0.161
  -36.58     3.46   -37.88      -36.44     3.38   -37.81       0.174
   -5.61    17.20    44.17       -5.78    17.18    44.31       0.223
   -5.97     1.94    36.12       -6.48     1.76    36.13       0.533
   -1.94    -9.59    18.30       -1.94    -9.61    18.30       0.018
   27.77    20.93   -20.53       27.85    21.02   -20.57       0.124
   12.10    -8.28    33.78       12.10    -8.09    33.77       0.191
   -9.88    18.38    11.17       -9.85    18.29    11.39       0.248
   18.90     5.70   -28.45       19.25     5.77   -27.83       0.715
   -3.75    17.39    46.23       -4.11    17.53    46.63       0.556
   20.15    -3.25   -26.69       20.21    -3.25   -26.59       0.114
  -10.18    -0.72    14.58      -10.30    -0.77    14.65       0.146
   39.33     2.77    -4.48       39.21     2.84    -4.48       0.135
  -20.87    24.19    22.36      -20.88    24.19    22.36       0.005
  -37.52    -0.06   -38.85      -37.48    -0.05   -38.82       0.049
   18.38    -5.58    53.13       18.30    -5.53    53.12       0.090
  -30.06    11.27   -20.90      -30.07    11.47   -20.71       0.276
    4.75    22.32    -0.76        5.18    22.14    -0.63       0.489
  -12.89   -27.77   -10.32      -12.89   -27.77   -10.33       0.010
  -31.60   -21.06   -44.81      -31.21   -20.83   -44.44       0.584
    9.69   -14.22     5.45        9.62   -14.09     5.37       0.166
   23.79    -3.47    29.79       23.62    -3.33    29.76       0.223
   22.77     7.01    52.67       22.43     6.98    52.62       0.343
    2.14    18.28    52.43        2.16    18.08    52.36       0.213
  -11.54    11.22     5.65      -11.12    10.93     5.89       0.561
    5.95    22.98    -2.78        6.31    22.87    -2.68       0.391
    9.27    -6.54   -21.37        9.13    -6.50   -21.02       0.374
   -6.39     1.57    40.49       -6.57     1.48    40.48       0.203
  -22.90   -31.70   -37.19      -22.80   -31.34   -36.94       0.455
  -39.37     5.28   -24.80      -39.19     5.16   -24.83       0.215
   35.87     3.26   -20.11       35.74     3.27   -20.06       0.142
  -40.31    -4.39   -13.31      -40.31    -4.39   -13.31       0.001
  -26.65    -7.01   -49.47      -26.66    -7.03   -48.93       0.539
   15.36    -8.63    50.29       15.26    -8.39    50.27       0.259
  -17.57    17.58    26.65      -17.59    17.55    26.65       0.031
  -13.25   -27.48   -10.12      -13.21   -27.57   -10.02       0.142
  -39.28   -15.20   -35.27      -39.45   -15.10   -35.43       0.257
   -4.07   -25.02    -9.06       -4.09   -24.97    -9.10       0.065
  -36.64   -19.02   -40.01      -36.34   -18.89   -39.80       0.386
    7.07    24.58    31.77        7.08    24.52    31.76       0.067
   -7.01     2.69    31.49       -7.34     2.61    31.53       0.347
    3.27    19.75    47.30        3.30    19.47    47.21       0.294
    3.82    25.74    28.60        3.80    25.66    28.58       0.081
  -13.58     0.49     9.16      -13.57     0.50     9.15       0.017
   18.32    25.98    21.76       18.26    25.88    21.74       0.114
   15.65    -5.08   -23.19       15.67    -5.08   -23.15       0.048
   38.13     4.26     5.12       38.26     4.25     5.19       0.156
  -12.97    11.30   -39.15      -12.97    11.30   -39.15       0.001
  -24.61   -11.80    -3.78      -24.64   -11.77    -3.51       0.270
    9.74    25.57    30.45        9.78    25.34    30.39       0.237
   -8.32    27.59    15.51       -8.30    27.48    15.67       0.200
   -8.24     3.56    50.69       -8.24     3.56    50.69       0.002
    8.11    26.37    26.17        8.16    26.09    26.12       0.289
  -32.84     4.28   -40.70      -32.71     4.08   -40.55       0.282
   29.96    20.19    -2.71       30.01    20.24    -2.72       0.071
   32.36    16.87   -16.39       32.35    16.87   -16.39       0.008
   31.83     1.63    13.98       31.88     1.60    14.01       0.073
  -35.35   -22.74   -38.75      -35.00   -22.47   -38.48       0.521
   -8.05   -15.55    -0.45       -8.03   -15.45    -0.52       0.121
   21.42    21.09    23.67       21.37    21.06    23.65       0.063
   -1.16    18.49    48.07       -1.27    18.75    48.19       0.316
   30.05    15.49    13.05       30.10    15.53    13.08       0.063
  -27.15    15.02   -30.02      -27.15    15.03   -30.03       0.008
  -36.87   -26.99   -30.00      -36.67   -26.81   -29.95       0.268
  -27.39   -33.00   -32.50      -27.37   -32.78   -32.41       0.240
   14.99    30.07    11.92       14.93    29.78    11.89       0.291
   16.19    -8.44    42.62       16.11    -8.19    42.62       0.265
   23.87    13.33    31.34       23.72    13.22    31.28       0.196
   29.63     2.81    19.61       29.41     2.85    19.52       0.245
  -15.79   -14.77   -50.37      -15.63   -14.64   -49.87       0.542
