150 PA5-C-OurOutput-Iter=1.txt 6
22.677894   2.022822   -14.369561   -10.850899   -1.943898   -12.744898
   30.85     0.13   -32.08       28.87     1.53   -29.23       3.743
  -41.25     0.44   -35.85      -39.61    -0.59   -35.09       2.086
   16.81   -18.64   -16.72       17.57   -15.70   -15.27       3.364
   -4.54    23.98    22.21       -4.46    24.35    22.15       0.392
    8.09   -17.04   -16.41        7.49   -15.83   -16.08       1.393
   -9.69   -23.62   -12.75       -9.54   -23.84   -12.53       0.344
  -11.20   -30.67   -25.44      -11.35   -30.36   -25.48       0.348
  -30.66   -29.94   -35.32      -30.16   -29.12   -34.97       1.028
   30.59     6.53   -32.79       28.52     7.28   -29.68       3.813
   32.17    14.70   -24.51       31.08    13.93   -23.72       1.554
   21.01     6.42   -32.18       22.16     6.40   -29.73       2.709
  -12.43    11.09    14.95      -11.58    10.87    15.50       1.041
   36.96     9.52   -15.63       36.28     9.23   -15.52       0.742
   27.87    12.08    13.79       30.48    13.22    15.11       3.142
  -44.51   -14.17   -29.15      -42.72   -14.65   -27.89       2.243
   35.12    -4.49    -2.29       34.61    -4.03    -2.29       0.691
   17.14     0.49    43.28       19.88    -2.45    44.04       4.086
   12.28    18.82   -22.73       11.51    18.52   -22.59       0.840
    7.70   -15.71   -20.48        6.57   -14.52   -19.78       1.787
    7.49   -16.96   -11.65        7.37   -16.29   -11.72       0.688
  -14.16     3.23   -45.78      -14.82     1.86   -44.33       2.090
   27.05   -11.04    -6.03       27.33   -11.36    -6.03       0.423
  -42.46   -12.35   -18.34      -42.36   -12.34   -18.37       0.103
   12.51    25.38     7.36       12.31    26.66     7.52       1.307
   10.11    24.01    11.22       10.03    25.59    11.61       1.630
   16.44    21.49    20.10       16.81    23.26    20.37       1.833
   -7.96     7.77    -5.35       -8.06     8.03    -5.37       0.284
   18.49     7.95    47.28       22.94     7.90    47.80       4.483
  -16.43    22.08    23.27      -15.08    21.13    23.66       1.696
   -3.84    -3.49   -37.24       -3.51    -3.38   -37.35       0.365
  -36.32     2.35   -40.72      -35.42     1.24   -39.69       1.760
   -5.37    -5.23    24.41       -6.18    -5.90    24.85       1.134
  -43.72   -15.73   -26.01      -43.22   -15.59   -26.05       0.522
   -9.40     7.91    39.65       -7.47     8.00    39.30       1.964
   25.16     1.33   -33.60       26.29     2.30   -30.04       3.855
    2.55    -6.14    46.61        2.50    -6.84    46.61       0.701
   -9.93    16.27    12.40       -9.01    15.63    13.59       1.636
    5.91     6.49   -20.04        5.12     4.85   -18.43       2.432
   14.15   -13.01     0.58       14.66   -14.10     1.20       1.359
  -44.25   -15.03   -28.50      -43.06   -15.34   -27.66       1.481
   -7.21   -28.27   -23.89       -7.44   -27.92   -23.93       0.421
    0.52   -18.28   -11.51        0.59   -18.63   -11.40       0.366
   -6.50    17.58    10.32       -5.46    17.03    11.28       1.527
    6.17    21.74    25.20        6.15    23.28    25.38       1.549
   17.07    20.17    30.21       17.34    22.00    30.33       1.860
   -3.03   -20.10   -38.83       -3.86   -19.55   -38.24       1.153
  -22.54   -23.17   -46.97      -22.07   -22.19   -45.69       1.685
    4.83    -6.20    37.61        4.93    -7.05    37.62       0.860
   34.67    -5.52   -22.29       33.45    -4.70   -21.95       1.509
   25.18    23.26    -1.18       25.63    24.13    -1.10       0.981
   25.09    20.17   -28.04       23.89    18.95   -26.72       2.169
  -23.40     6.29   -15.43      -23.39     6.48   -15.25       0.270
    0.13    17.91    52.65        0.09    17.96    52.65       0.064
    6.27   -12.44     5.77        6.27   -12.46     5.78       0.019
   -5.18    16.15    46.54       -4.59    15.75    46.37       0.735
    3.14    -6.34    31.58        3.20    -7.42    31.68       1.084
   -2.55     4.74   -27.70       -3.97     3.49   -26.72       2.131
   -1.63    18.01    47.07       -1.68    18.10    47.08       0.101
  -10.75   -25.46   -14.05      -10.70   -25.57   -13.98       0.147
  -17.92     3.79   -10.93      -18.16     4.15   -10.65       0.513
   -3.31   -20.75   -38.37       -4.07   -20.21   -37.88       1.059
  -30.68   -30.67   -23.54      -30.56   -30.42   -23.57       0.289
  -37.76   -25.10   -29.60      -37.57   -24.91   -29.57       0.264
   10.62    -6.36    25.75       10.70    -6.89    25.82       0.534
   15.78   -14.05    -2.53       16.33   -15.18    -1.69       1.511
   32.91    -4.77     3.68       33.68    -5.72     3.65       1.223
   10.43    -5.57    39.87       10.50    -6.44    39.81       0.880
   -1.60     2.17   -29.13       -3.04     1.25   -27.74       2.213
  -13.62    -1.48     3.92      -15.18    -1.34     4.49       1.665
  -33.00   -23.78   -13.66      -33.23   -24.11   -13.41       0.473
    8.77    21.72    25.45        8.75    23.28    25.62       1.562
  -12.01    12.77   -27.77      -13.46    10.61   -27.38       2.630
  -27.38    -9.47   -50.26      -26.61    -9.21   -48.65       1.804
  -22.08   -29.32   -14.75      -22.10   -29.39   -14.71       0.088
   -3.73    -5.51   -40.01       -3.88    -5.58   -39.89       0.206
  -11.29    21.53    15.70      -10.52    20.44    16.92       1.813
  -31.61     2.30   -43.80      -30.82     1.28   -42.43       1.882
  -32.61     7.01   -37.84      -31.95     5.77   -37.30       1.509
  -20.66   -11.81    -5.39      -20.84   -12.29    -4.51       1.011
   -9.76   -30.05   -28.45       -9.98   -29.63   -28.37       0.483
   34.06    -5.38    -6.60       33.78    -5.09    -6.63       0.404
   23.43   -17.33   -17.75       22.77   -14.88   -16.62       2.780
    2.03   -16.92   -26.69        1.20   -16.60   -26.59       0.895
  -25.68   -32.32   -21.96      -25.64   -32.09   -22.03       0.240
    7.86    20.68    49.44        7.85    20.75    49.44       0.073
   -6.47    14.76    47.82       -5.41    14.05    47.50       1.321
   21.00    11.31    32.02       24.55    12.46    32.86       3.827
   -4.80    -9.82     4.13       -5.08   -11.51     4.54       1.769
   -9.39     7.44    36.63       -7.92     7.72    36.21       1.561
    0.28    18.05    50.90        0.14    18.27    50.94       0.259
   16.07     4.06    61.64       16.10     3.98    63.03       1.393
    9.03    -5.21    55.66        9.37    -6.98    55.62       1.801
  -39.40   -18.28   -16.65      -39.79   -18.44   -16.47       0.459
   -7.63    24.21    19.98       -7.62    23.98    20.07       0.252
   19.61     7.38    40.25       24.01     7.55    40.91       4.455
   24.30    -8.24     3.20       24.33    -9.18     3.52       0.991
    3.87    -9.22    14.91        4.04   -10.33    15.21       1.161
    8.35    -0.07   -24.93        7.79    -1.37   -22.19       3.085
  -22.14   -13.57   -50.20      -21.86   -13.14   -48.91       1.390
   23.30    22.89     4.12       24.06    24.42     4.26       1.710
    6.03   -14.59    -1.84        6.07   -14.47    -1.86       0.119
   13.96    -6.84    17.80       14.03    -7.42    17.89       0.587
   19.73     7.18   -30.79       20.69     7.27   -29.03       2.004
   -8.64   -16.98    -7.81       -8.63   -17.76    -6.91       1.197
   28.20     7.01    13.53       32.11     7.39    15.46       4.379
   -2.77   -24.22   -31.60       -3.47   -23.59   -31.38       0.968
  -41.50    -9.28   -15.45      -41.31    -9.26   -15.54       0.204
