400 PA5-J-OurOutput-Iter=3.txt 6
-29.536995   -22.841129   -14.552103   -9.690333   -72.196187   -53.159305
   -7.42   -27.16   -12.42       -8.10   -25.95   -13.06       1.527
    2.26    -9.38    55.20        2.43    -8.24    55.29       1.158
  -19.46    27.73    19.72      -16.77    25.27    21.24       3.950
  -40.28     3.27   -31.32      -39.56     2.73   -31.19       0.906
   32.94    12.09     8.32       34.20    13.07     8.98       1.733
    2.02   -24.77   -17.50        0.59   -23.04   -17.80       2.268
   19.56     6.80    55.07       21.86     6.89    55.29       2.315
   18.19    -6.76    48.64       17.03    -5.62    48.59       1.631
   22.83     8.57    46.90       22.95     8.58    46.91       0.123
   -9.01     7.15    28.71       -9.10     7.11    28.74       0.111
   16.84    23.82    25.13       16.74    23.51    25.06       0.324
   29.25    13.22    14.12       30.22    13.63    14.74       1.221
    1.95   -19.91   -27.85        1.63   -19.88   -27.76       0.336
    3.57    -9.12    27.33        3.50    -7.89    27.08       1.253
   -8.41    12.87    37.95       -8.40    12.88    37.95       0.015
   33.06    -6.42     0.96       33.18    -6.55     0.97       0.176
  -42.33   -10.68   -15.34      -41.64   -10.64   -15.65       0.759
   27.39     9.67    23.45       27.61     9.73    23.53       0.238
   29.06    19.84     5.14       29.74    20.37     5.29       0.879
   -0.81     6.96   -17.83       -0.65     7.47   -18.16       0.626
    9.75    28.77     7.06       10.18    27.52     6.96       1.332
   -8.83    24.73    12.17       -8.62    22.97    13.93       2.499
   33.87    -2.29     7.17       34.86    -3.14     7.64       1.390
   22.94    -3.10    34.28       22.47    -2.69    34.13       0.642
   16.32    -8.76    40.20       16.15    -6.74    40.20       2.022
   -8.65     8.96   -30.60       -8.37     9.09   -30.63       0.306
    0.98    -3.34    55.63       -0.79    -6.81    55.63       3.903
    0.07   -12.72     9.61        0.27   -11.73     9.44       1.021
    9.79   -16.88     0.54       10.11   -16.23     0.13       0.825
   -6.19     9.94    -9.44       -6.19     9.36    -9.47       0.587
    5.53   -20.12    -6.66        5.13   -18.21    -7.58       2.159
   18.50    -7.63    36.33       17.77    -6.11    36.33       1.676
   -0.83    -7.79    25.33       -0.85    -8.00    25.39       0.216
  -39.07     2.88   -35.33      -38.25     2.26   -34.96       1.097
   12.73    10.41   -28.77       14.44    12.22   -27.73       2.695
   14.06   -19.65    -9.06       14.28   -18.04    -8.63       1.678
   30.57    -4.54   -25.14       30.89    -4.60   -25.37       0.401
   -9.36    -4.55    13.80       -9.19    -4.46    13.75       0.198
  -35.99     4.48   -14.69      -35.74     4.03   -15.01       0.611
   22.76     3.61    50.95       22.27     3.70    50.89       0.502
  -19.44    22.94    16.33      -17.10    21.73    18.55       3.447
  -21.31   -25.67    -8.06      -21.31   -25.68    -8.05       0.015
  -38.91    -1.80   -13.19      -38.55    -1.98   -13.43       0.466
   37.12     1.55     4.70       38.37     1.24     5.21       1.384
   38.83     7.03    -5.43       39.92     7.25    -5.34       1.115
   23.88    23.12    12.83       23.94    23.19    12.86       0.094
   -0.80   -11.98   -33.23       -0.19   -11.85   -33.54       0.694
    7.60    -9.57    22.38        7.21    -8.24    22.16       1.405
  -10.37     9.05    -4.09       -9.86     8.18    -4.16       1.010
   17.68     5.18   -29.24       19.20     5.45   -27.89       2.044
  -31.20     6.92   -39.85      -30.65     5.97   -39.23       1.261
   18.62    25.54   -23.22       18.74    25.73   -23.45       0.321
    3.12    -4.38   -24.30        3.26    -4.33   -24.57       0.311
   -4.58    -4.48    26.40       -4.95    -4.86    26.43       0.530
   27.44    -7.78     2.47       27.71    -8.57     2.73       0.871
   -8.97    11.57   -17.67       -9.24    10.93   -17.77       0.696
  -36.00   -18.30    -9.59      -35.87   -18.22    -9.79       0.255
   31.55    -1.79   -25.81       31.24    -1.70   -25.46       0.475
    1.41   -15.70   -29.50        1.67   -15.70   -29.50       0.258
    6.91    24.07   -16.59        9.64    22.23   -16.87       3.300
    8.85    10.50   -10.75        8.78    10.82   -11.17       0.529
   18.80    15.30    46.18       19.37    15.71    46.27       0.701
   17.06    17.36    45.33       17.72    17.90    45.42       0.862
  -14.59    -5.61     3.77      -14.60    -5.61     3.77       0.000
   32.02    15.89    -6.01       33.16    16.75    -5.80       1.443
    2.90    -8.17    37.82        3.01    -7.17    37.81       1.004
    8.26    28.07     9.62        8.78    27.00     9.47       1.205
   -1.19   -24.58   -10.29       -1.93   -22.35   -11.06       2.477
   20.32    22.47    21.65       20.25    22.35    21.59       0.153
  -10.15    21.93    38.29      -10.02    21.87    38.07       0.269
   14.39     1.46    56.95       15.57     2.02    62.21       5.421
  -43.54    -2.67   -25.34      -43.16    -2.85   -25.35       0.418
   19.84   -13.82   -21.45       20.71   -12.77   -20.99       1.438
   15.13   -12.43   -21.02       15.18   -11.34   -20.07       1.450
   -1.63    -6.77    46.87       -1.16    -5.78    46.81       1.103
  -36.79     2.91   -40.00      -35.79     2.18   -39.08       1.544
   18.25    18.10   -29.66       18.31    18.27   -29.96       0.340
    8.30    22.01    36.50        8.34    21.80    36.49       0.209
  -10.35    -1.83    14.00      -10.41    -1.86    14.03       0.073
   -8.57   -26.12   -10.10       -8.92   -25.11   -10.95       1.369
  -11.85    13.97     8.41      -10.18    12.76     9.77       2.467
   25.81    -5.53   -28.04       25.71    -5.32   -27.53       0.569
  -22.33   -15.32   -50.78      -21.86   -14.81   -48.93       1.976
    3.11    26.73    16.63        3.17    25.57    16.46       1.169
   -7.62     4.74    38.65       -7.58     4.75    38.65       0.041
   19.37    27.80   -13.28       19.37    27.23   -13.31       0.571
   30.61     9.06   -28.30       30.78     9.13   -28.45       0.240
    5.00    25.25    26.79        4.77    24.26    26.60       1.035
   22.31    -6.96    20.24       21.88    -6.27    20.07       0.834
   37.05     9.46     1.09       38.24    10.35     1.24       1.500
  -24.62    -3.41   -50.01      -24.21    -3.32   -47.97       2.082
  -14.50   -30.45   -39.94      -14.76   -28.91   -39.01       1.810
    4.90    13.05    55.01        3.95    18.23    55.57       5.291
   12.09   -16.65    -0.10       12.07   -16.44    -0.22       0.250
   30.66   -12.28   -11.92       30.31   -11.89   -12.14       0.570
   24.11    -8.18     7.68       24.08    -8.05     7.64       0.134
  -33.97    -3.45    -9.59      -34.36    -3.44    -9.34       0.459
   -6.13     2.52   -29.19       -5.35     2.74   -29.44       0.848
  -12.73     2.49   -45.47      -13.19     1.92   -44.66       1.088
   13.33     1.76   -23.03       14.08     1.41   -21.60       1.660
   31.82     0.06   -25.77       31.55     0.09   -25.48       0.396
    0.11   -13.73     6.70        0.28   -12.49     6.35       1.301
   29.36    19.71    -9.66       30.19    20.60    -9.65       1.218
   22.27   -18.34   -11.13       21.85   -17.33   -11.20       1.097
    2.16    -9.49    21.88        2.11    -9.26    21.83       0.240
   10.00    26.48    23.89       10.01    25.11    23.67       1.384
   16.16    -8.57    47.28       15.41    -6.77    47.32       1.949
   19.23    21.59    25.26       19.39    21.75    25.31       0.223
   -3.68    18.00     6.20       -2.82    17.06     6.76       1.397
  -29.03    14.09   -28.86      -28.27    12.77   -28.40       1.599
   -1.81     3.55   -22.73       -1.63     4.00   -23.08       0.601
   26.78    -1.00    20.68       27.11    -1.16    20.80       0.389
    8.67   -15.75   -19.51        7.96   -15.08   -18.82       1.200
   -2.34   -23.16    -8.98       -2.92   -21.87    -9.87       1.673
  -39.03   -17.32   -12.37      -38.58   -17.09   -12.72       0.617
   29.48    20.05    -1.56       30.05    20.66    -1.58       0.839
   30.44   -15.57   -14.56       29.83   -14.04   -14.86       1.681
    3.52    10.79    -9.72        3.45    11.06    -9.82       0.294
  -13.65    13.73   -31.32      -14.09    12.73   -31.07       1.113
   -1.58    15.90    53.18       -1.98    16.40    53.35       0.667
    7.77    11.30    -9.38        7.69    11.57    -9.56       0.328
  -15.60    -8.60     1.13      -15.46    -8.50     0.96       0.242
  -20.52    -9.11   -51.30      -20.86    -9.85   -49.64       1.849
   21.87    11.88    45.38       22.03    11.99    45.40       0.196
  -39.66    -9.36   -35.64      -39.36    -9.30   -35.63       0.305
    3.18   -14.02   -25.05        2.98   -13.99   -24.96       0.221
   24.72     2.20    35.80       24.50     2.24    35.74       0.230
    2.25    -8.26    38.64        2.38    -7.09    38.63       1.169
   -8.45     8.90   -27.62       -8.21     9.01   -27.62       0.273
   -8.09     7.43    41.32       -7.73     7.43    41.31       0.366
  -38.63   -19.65   -37.47      -37.94   -19.33   -37.11       0.847
   27.93    -8.49     0.84       28.21    -9.07     1.11       0.703
  -34.89     9.36   -25.43      -34.40     8.48   -25.42       1.015
   29.40    19.93   -12.53       30.02    20.76   -12.58       1.039
   -3.05    23.32    11.21       -2.53    22.02    11.86       1.545
   -8.92    28.72    32.91       -8.76    27.19    32.07       1.749
  -38.83   -27.24   -25.12      -37.46   -26.00   -25.17       1.842
  -34.16     6.40   -37.85      -33.58     5.54   -37.00       1.342
   12.67   -19.95    -6.74       13.08   -18.03    -6.67       1.964
   -4.48    -3.79    39.36       -3.94    -3.41    39.47       0.671
  -11.10    19.50    36.49      -11.56    19.01    37.08       0.885
   13.73   -18.70   -12.03       13.64   -17.20   -11.40       1.631
  -16.56   -12.13   -51.33      -16.93   -11.69   -49.47       1.942
    0.30     7.90   -15.93        0.40     8.31   -16.15       0.474
   11.76    24.35   -29.82       11.79    23.65   -28.62       1.390
   29.58    -1.39   -26.45       29.63    -1.36   -26.89       0.438
   10.52     1.75   -20.90       10.60     1.48   -20.46       0.524
   -0.04    19.71    45.42       -0.03    19.62    45.38       0.093
   26.01   -15.25    -8.80       25.48   -14.56    -9.08       0.914
   -6.00   -25.75   -34.45       -6.25   -25.55   -34.30       0.358
   -9.33     3.91    21.58       -9.86     3.79    21.69       0.554
   17.63     1.88    55.63       20.66     0.40    56.00       3.391
   28.38    -4.71     9.02       28.67    -5.61     9.41       1.017
  -35.13   -12.12   -47.49      -34.39   -12.02   -45.79       1.852
   31.21    -3.49     7.97       31.85    -4.39     8.87       1.428
    5.75    -9.35    44.86        5.79    -7.61    45.01       1.746
  -13.10    20.14    34.76      -13.81    20.27    35.71       1.192
   23.13     3.03    47.74       22.48     3.16    47.67       0.667
    6.13    24.40    -2.14        7.27    23.49    -1.84       1.490
   22.09     9.44    50.45       22.17     9.46    50.46       0.091
   -7.90   -23.01    -7.92       -7.96   -22.60    -8.35       0.594
  -16.17    -9.88   -50.75      -16.26   -10.22   -49.26       1.526
   25.53   -13.75   -23.83       25.45   -12.74   -22.84       1.417
   32.65    11.87   -24.39       32.53    11.82   -24.31       0.153
  -39.12    -3.67   -38.51      -38.77    -3.74   -38.33       0.400
  -12.71   -32.71   -34.29      -12.99   -31.45   -33.64       1.447
   37.23     0.08     0.01       37.93    -0.24     0.04       0.769
  -37.56   -11.79   -44.67      -36.42   -11.85   -43.82       1.421
    6.56    24.44    -5.76        8.08    22.97    -5.20       2.187
   21.33   -14.74    -3.76       21.11   -14.41    -4.06       0.504
  -35.32   -19.63   -43.98      -33.92   -18.76   -43.07       1.883
   25.80    23.12     8.42       25.89    23.25     8.46       0.158
   -2.11   -10.04    17.45       -2.01    -9.66    17.38       0.398
  -17.22   -17.49   -50.53      -17.80   -16.52   -48.50       2.323
  -11.81    16.29    10.04      -10.22    15.76    11.82       2.440
  -42.31   -20.81   -23.60      -41.34   -20.25   -23.65       1.119
   -9.52    11.50    31.97       -9.94    11.15    32.45       0.734
  -41.59     1.12   -31.60      -41.01     0.70   -31.55       0.715
   -2.25    -7.89    23.52       -2.40    -8.16    23.59       0.314
   21.65     2.78    54.43       21.58     2.80    54.42       0.069
   -8.74     7.76    30.86       -8.96     7.69    30.89       0.231
   -2.34    20.04     7.11       -1.54    19.44     7.73       1.180
  -37.70    -5.62   -42.80      -36.90    -5.89   -42.01       1.165
    8.73    -9.02    39.91        8.72    -7.44    39.91       1.581
  -37.34     2.97   -38.55      -36.48     2.41   -38.10       1.123
   -5.78    16.68    43.28       -6.30    16.79    43.68       0.661
   -6.19     1.43    35.22       -6.82     1.14    35.33       0.706
   -2.27   -10.08    17.36       -2.16    -9.65    17.28       0.457
   27.12    20.49   -21.66       27.53    20.90   -21.93       0.638
   11.87    -8.77    32.74       11.80    -7.22    32.76       1.552
  -10.30    17.89    10.31       -9.72    17.03    12.08       2.049
   18.21     5.26   -29.52       19.32     5.53   -27.99       1.906
   -3.90    16.88    45.33       -4.64    17.17    45.72       0.880
   19.48    -3.69   -27.78       20.66    -3.69   -26.27       1.918
  -10.55    -1.21    13.72      -10.75    -1.30    13.80       0.234
   38.82     2.33    -5.71       39.33     1.99    -5.70       0.618
  -21.21    23.68    21.59      -18.56    23.22    22.15       2.743
  -38.28    -0.54   -39.51      -37.65    -0.68   -39.18       0.728
   18.29    -6.08    52.05       17.32    -5.17    51.96       1.337
  -30.70    10.78   -21.61      -30.64    10.64   -21.65       0.151
    4.25    21.85    -1.72        5.40    21.02    -1.49       1.438
  -13.42   -28.26   -11.19      -13.66   -27.42   -11.53       0.940
  -32.39   -21.53   -45.54      -31.18   -20.48   -44.25       2.056
    9.26   -14.69     4.43        9.27   -13.78     4.13       0.957
   23.53    -3.95    28.67       23.06    -3.41    28.51       0.733
   22.67     6.51    51.56       22.37     6.50    51.52       0.303
    2.03    17.77    51.48        1.92    18.34    51.60       0.590
  -11.98    10.73     4.80      -10.41     9.52     5.61       2.142
    5.43    22.51    -3.75        6.42    21.99    -3.18       1.262
    8.64    -7.00   -22.38        8.48    -6.98   -22.09       0.334
   -6.58     1.06    39.60       -6.50     1.09    39.60       0.081
  -23.62   -32.18   -37.98      -23.24   -30.65   -36.86       1.928
  -40.03     4.78   -25.45      -39.28     4.02   -25.46       1.073
   35.24     2.83   -21.32       35.00     2.83   -21.21       0.259
  -40.88    -4.90   -13.96      -40.42    -5.00   -14.23       0.541
  -27.48    -7.48   -50.22      -27.29    -7.55   -48.38       1.848
   15.26    -9.13    49.23       14.42    -7.13    49.15       2.175
  -17.87    17.07    25.85      -18.20    16.90    25.79       0.370
  -13.78   -27.96   -10.99      -13.95   -27.38   -11.23       0.652
  -40.00   -15.69   -35.93      -38.75   -15.51   -35.76       1.282
   -4.59   -25.49    -9.99       -5.19   -23.99   -11.25       2.048
  -37.39   -19.51   -40.70      -36.46   -19.01   -39.93       1.301
    6.80    24.09    30.79        6.88    23.40    30.66       0.710
   -7.26     2.18    30.60       -7.62     2.12    30.64       0.372
    3.12    19.24    46.34        3.10    19.36    46.37       0.117
    3.53    25.24    27.65        3.34    24.42    27.49       0.860
  -14.00    -0.01     8.31      -13.71     0.07     8.20       0.315
   17.98    25.50    20.70       17.56    24.65    20.50       0.969
   15.01    -5.52   -24.25       15.28    -5.43   -23.29       1.002
   37.68     3.82     3.90       39.08     3.52     4.03       1.437
  -13.75    10.84   -39.99      -14.02     9.77   -39.17       1.370
  -25.10   -12.30    -4.55      -25.10   -12.26    -4.43       0.128
    9.46    25.08    29.45        9.34    23.96    29.09       1.185
   -8.71    27.09    14.64       -8.43    25.43    16.31       2.370
   -8.35     3.04    49.81       -7.62     3.06    49.96       0.743
    7.79    25.88    25.19        7.89    24.66    24.88       1.269
  -33.62     3.80   -41.39      -32.98     2.89   -40.47       1.447
   29.44    19.75    -3.86       30.14    20.49    -3.89       1.023
   31.74    16.43   -17.56       32.24    16.85   -17.72       0.665
   31.45     1.18    12.80       32.11     0.81    13.51       1.033
  -36.09   -23.23   -39.45      -35.06   -22.43   -38.63       1.538
   -8.51   -16.04    -1.35       -8.41   -15.41    -1.86       0.816
   21.09    20.62    22.59       21.41    20.92    22.73       0.460
   -1.30    17.97    47.15       -1.48    18.44    47.27       0.514
   29.66    15.03    11.90       30.50    15.72    12.46       1.222
  -27.86    14.54   -30.75      -27.21    12.76   -30.05       2.021
  -37.54   -27.48   -30.69      -36.37   -26.33   -30.42       1.657
  -28.08   -33.49   -33.27      -27.68   -31.92   -32.60       1.748
   14.57    29.59    10.89       14.32    28.07    10.52       1.585
   16.03    -8.94    41.55       15.50    -6.95    41.56       2.054
   23.61    12.85    30.23       24.21    13.25    30.40       0.740
   29.30     2.35    18.46       29.64     2.17    18.59       0.409
  -16.62   -15.22   -51.20      -17.12   -14.83   -48.83       2.457
