150 PA5-C-OurOutput-Iter=3.txt 6
49.751973   1.852589   -30.072376   -26.098184   -6.423943   -24.246881
  -32.25     5.94   -38.78      -31.90     5.44   -38.47       0.682
   32.48    18.57   -14.31       32.43    18.53   -14.30       0.076
   25.79     6.99   -33.12       25.81     7.07   -31.21       1.905
   13.26    17.59   -17.73       12.86    17.34   -17.66       0.469
  -13.68    11.39    31.84      -13.77    11.24    31.92       0.187
    9.72    24.93     2.78        9.38    25.33     2.67       0.537
   36.33    -3.46    -8.61       35.97    -3.09    -8.66       0.520
   -2.28    14.84     5.51       -2.17    14.75     5.58       0.167
   11.66    18.57   -27.22       11.69    18.58   -27.21       0.033
    6.34    16.97    -5.66        6.60    16.96    -5.49       0.315
  -25.20   -15.04    -5.30      -25.15   -15.05    -5.46       0.173
   31.03     0.42   -31.40       29.96     1.17   -29.90       1.982
  -41.11     0.31   -34.44      -40.22    -0.30   -34.10       1.131
   17.25   -18.52   -16.01       17.48   -16.88   -15.42       1.758
   -3.96    23.71    23.39       -3.99    23.61    23.41       0.106
    8.53   -16.98   -15.61        8.26   -16.36   -15.43       0.700
   -9.17   -23.70   -11.81       -9.05   -23.86   -11.63       0.269
  -10.76   -30.68   -24.53      -10.80   -30.60   -24.54       0.090
  -30.33   -30.01   -34.21      -30.12   -29.61   -34.04       0.480
   30.72     6.82   -32.07       29.55     7.30   -30.39       2.098
   32.34    14.95   -23.74       31.73    14.48   -23.38       0.857
   21.14     6.66   -31.36       21.69     6.61   -30.11       1.358
  -11.85    10.82    16.14      -11.52    10.76    16.37       0.411
   37.24     9.75   -14.94       36.70     9.56   -14.88       0.583
   28.44    12.08    14.57       29.58    12.47    15.19       1.353
  -44.21   -14.36   -27.80      -43.10   -14.71   -26.86       1.495
   35.62    -4.36    -1.67       35.19    -3.99    -1.62       0.577
   18.07     0.23    44.10       19.69    -0.75    44.36       1.910
   12.44    18.94   -21.74       11.85    18.72   -21.63       0.642
    8.10   -15.63   -19.66        7.81   -14.80   -19.16       1.011
    7.98   -16.94   -10.84        7.91   -16.43   -10.92       0.519
  -14.14     3.33   -44.62      -14.31     2.82   -43.97       0.846
   27.56   -10.93    -5.38       27.73   -11.16    -5.32       0.292
  -42.07   -12.59   -17.00      -42.01   -12.59   -17.03       0.065
   12.93    25.31     8.38       12.75    26.15     8.52       0.862
   10.57    23.91    12.26       10.66    24.73    12.45       0.845
   17.01    21.37    21.06       17.30    22.44    21.14       1.115
   -7.55     7.65    -4.23       -7.57     7.67    -4.23       0.022
   19.41     7.67    48.13       21.47     7.61    48.33       2.071
  -15.83    21.73    24.56      -15.20    21.19    24.77       0.857
   -3.69    -3.38   -36.23       -3.49    -3.33   -36.23       0.205
  -36.24     2.29   -39.35      -35.82     1.71   -38.87       0.864
   -4.59    -5.51    25.42       -4.84    -5.73    25.56       0.358
  -43.38   -15.93   -24.68      -43.13   -15.86   -24.72       0.270
   -8.55     7.51    40.78       -7.69     7.56    40.62       0.874
   25.32     1.60   -32.85       25.96     2.28   -30.95       2.119
    3.55    -6.50    47.53        3.56    -6.45    47.53       0.056
   -9.40    16.04    13.59       -8.80    15.65    14.27       0.986
    6.17     6.55   -19.07        5.80     5.73   -18.21       1.242
   14.74   -13.02     1.34       14.92   -13.57     1.62       0.645
  -43.94   -15.22   -27.16      -43.42   -15.37   -26.73       0.682
   -6.78   -28.26   -23.01       -6.82   -28.19   -23.02       0.087
    1.01   -18.31   -10.63        1.09   -18.57   -10.53       0.297
   -6.01    17.38    11.48       -5.35    17.24    12.00       0.848
    6.79    21.53    26.26        6.73    22.34    26.37       0.820
   17.75    19.99    31.15       18.45    20.68    31.16       0.980
   -2.80   -19.97   -37.93       -3.09   -19.71   -37.62       0.505
  -22.37   -23.11   -45.89      -22.17   -22.71   -45.38       0.684
    5.75    -6.50    38.51        5.75    -6.49    38.51       0.010
   34.98    -5.27   -21.68       34.15    -4.80   -21.49       0.969
   25.53    23.33    -0.30       25.86    23.92    -0.22       0.689
   25.19    20.40   -27.17       24.56    19.74   -26.53       1.118
  -23.09     6.14   -14.17      -23.11     6.25   -14.03       0.171
    1.05    17.48    53.74        0.96    17.76    53.75       0.289
    6.90   -12.53     6.62        6.91   -12.52     6.62       0.015
   -4.31    15.74    47.68       -4.29    15.72    47.68       0.031
    3.99    -6.61    32.50        3.98    -6.75    32.51       0.141
   -2.36     4.80   -26.66       -3.04     4.07   -26.26       1.073
   -0.77    17.61    48.18       -0.86    17.83    48.22       0.236
  -10.24   -25.53   -13.11      -10.18   -25.64   -13.04       0.142
  -17.55     3.65    -9.74      -17.65     3.81    -9.61       0.221
   -3.06   -20.63   -37.48       -3.33   -20.38   -37.22       0.447
  -30.23   -30.81   -22.43      -30.18   -30.71   -22.46       0.115
  -37.40   -25.24   -28.38      -37.31   -25.15   -28.37       0.126
   11.42    -6.55    26.59       11.41    -6.48    26.59       0.069
   16.34   -14.03    -1.78       16.55   -14.49    -1.51       0.577
   33.48    -4.68     4.31       33.81    -5.11     4.44       0.559
   11.36    -5.84    40.72       11.38    -6.21    40.73       0.370
   -1.40     2.25   -28.11       -2.09     1.72   -27.63       0.988
  -13.07    -1.69     5.04      -13.73    -1.86     5.47       0.812
  -32.49   -23.99   -12.49      -32.57   -24.09   -12.41       0.152
    9.39    21.52    26.48        9.38    22.48    26.58       0.964
  -11.87    12.77   -26.58      -12.53    11.75   -26.40       1.228
  -27.33    -9.42   -49.05      -27.23    -9.39   -48.33       0.730
  -21.55   -29.45   -13.73      -21.56   -29.50   -13.70       0.051
   -3.60    -5.38   -39.02       -3.70    -5.42   -38.92       0.146
  -10.77    21.27    16.93      -10.31    20.41    17.73       1.257
  -31.56     2.28   -42.48      -31.20     1.83   -41.88       0.834
  -32.53     6.95   -36.47      -32.19     6.36   -36.18       0.737
  -20.14   -12.00    -4.26      -20.19   -12.15    -3.85       0.446
   -9.36   -30.03   -27.54       -9.41   -29.95   -27.53       0.097
   34.52    -5.23    -5.98       34.07    -4.87    -5.99       0.576
   23.86   -17.17   -17.10       23.59   -15.86   -17.01       1.343
    2.37   -16.84   -25.83        2.26   -16.80   -25.80       0.117
  -25.20   -32.43   -20.91      -25.19   -32.38   -20.93       0.054
    8.73    20.32    50.48        8.68    20.54    50.46       0.222
   -5.58    14.33    48.96       -5.23    14.05    48.85       0.459
   21.75    11.14    32.87       23.45    11.59    33.27       1.795
   -4.19    -9.97     5.11       -4.33   -10.60     5.26       0.661
   -8.57     7.06    37.76       -8.01     7.22    37.61       0.600
    1.18    17.64    52.00        1.08    18.00    52.05       0.367
   17.17     3.68    62.49       19.22     3.22    62.67       2.110
   10.12    -5.59    56.52       10.28    -6.47    56.50       0.892
  -38.95   -18.52   -15.38      -39.12   -18.63   -15.26       0.236
   -7.07    23.94    21.20       -7.04    23.46    21.32       0.505
   20.47     7.16    41.09       22.51     7.18    41.38       2.064
   24.88    -8.21     3.89       24.90    -8.34     3.93       0.140
    4.57    -9.39    15.80        4.62    -9.84    15.93       0.473
    8.60     0.04   -24.03        8.45    -0.63   -22.69       1.507
  -22.05   -13.49   -49.07      -22.00   -13.42   -48.83       0.254
   23.70    22.91     5.02       24.14    23.93     5.34       1.154
    6.60   -14.63    -1.00        6.72   -14.32    -1.08       0.349
   14.69    -6.96    18.60       14.70    -7.06    18.62       0.097
   19.87     7.40   -29.95       20.49     7.58   -29.28       0.928
   -8.11   -17.08    -6.84       -8.12   -17.44    -6.41       0.565
   28.79     7.01    14.28       30.48     6.94    15.20       1.923
   -2.44   -24.14   -30.73       -2.65   -23.90   -30.65       0.337
  -41.09    -9.53   -14.10      -40.92    -9.51   -14.18       0.188
