150 PA5-B-OurOutput-Iter=1.txt 6
12.563132   47.045053   14.055229   -10.641501   4.168052   5.331557
  -39.38    -2.61   -43.13      -37.18    -3.54   -41.22       3.060
   24.72    16.49   -22.45       26.68    18.47   -24.61       3.534
   32.20     1.34     8.89       35.26     0.90    11.78       4.234
   -1.43    -4.47    65.36       -1.48    -4.49    63.47       1.893
   31.08    -5.01   -25.28       30.87    -4.84   -25.12       0.311
  -38.46   -25.74   -25.24      -37.75   -25.09   -25.27       0.968
  -18.23     0.38   -16.56      -20.01     4.63   -13.02       5.811
   -2.65     9.68    48.67       -6.01    10.73    49.14       3.558
  -14.74    17.32    22.30      -15.94    17.69    22.11       1.266
  -15.37   -33.33   -37.30      -16.28   -30.24   -35.69       3.600
   -0.78    13.46     3.79       -1.94    14.55     3.14       1.720
   -5.81    -2.57   -35.64       -4.00    -1.95   -35.59       1.907
  -13.87   -33.12   -35.68      -14.65   -30.48   -34.31       3.069
   36.23     5.03     2.18       39.75     4.64     2.39       3.553
   -2.25     7.93    -5.14       -3.54    10.07    -5.57       2.538
   18.06     4.09   -28.73       20.31     4.91   -27.61       2.644
  -41.07   -17.41   -46.71      -36.54   -15.77   -42.77       6.222
   -5.14   -11.97   -45.99       -6.81   -11.76   -44.10       2.523
    3.15   -15.82    -8.00        3.26   -16.50    -7.66       0.766
    8.84    15.19   -12.21       10.30    14.82   -10.39       2.367
   -9.37    10.11    12.41      -10.15    10.38    12.15       0.864
  -29.13     4.27   -23.14      -32.03     8.62   -21.89       5.376
   -4.74   -12.05   -45.05       -6.21   -11.94   -43.53       2.115
    8.35    -6.79   -25.49        6.90    -6.81   -23.29       2.631
   21.21    16.26    21.73       24.14    18.50    22.65       3.797
   24.84    -1.17    27.95       24.91    -1.21    27.98       0.090
   11.72    20.27    31.71       11.57    22.43    31.80       2.164
   27.80    14.85    -7.05       32.27    18.58    -6.83       5.826
  -11.89    23.56    18.14      -11.16    22.53    19.25       1.674
  -12.19    17.15    28.05      -16.19    17.81    28.29       4.062
  -29.13     6.56   -28.76      -30.18     9.79   -29.35       3.447
   -6.94    22.69    29.27       -7.01    24.37    29.69       1.740
  -25.97    -2.77   -18.89      -26.30     0.30   -12.29       7.293
    9.89    21.67    18.44       10.00    24.39    18.85       2.758
    0.10    23.06    13.59        0.18    22.91    13.69       0.198
  -41.09    -6.06   -44.01      -38.06    -6.82   -41.37       4.092
   30.47     0.69   -26.24       31.24     0.66   -26.68       0.880
  -40.09    -2.33   -27.66      -41.99    -1.18   -27.78       2.225
   -6.26    -0.98   -37.15       -5.26    -0.45   -37.72       1.270
  -21.16   -35.03   -35.39      -20.81   -31.84   -34.07       3.467
   30.39    -5.90     8.68       30.68    -6.47     8.90       0.671
  -19.54    -0.34   -50.15      -19.44    -1.55   -47.10       3.283
   15.89    -6.95   -26.99       18.09    -7.14   -23.09       4.481
   -6.81    -0.42   -34.73       -5.01     0.42   -34.61       1.986
   16.77     3.30    66.40       16.82     3.51    63.00       3.406
   16.33    -7.35     6.16       17.62    -9.86     7.44       3.097
   27.96     5.71   -31.32       27.50     5.89   -29.98       1.427
   23.38    19.45    -4.44       25.47    24.03    -4.98       5.069
  -12.96     5.35   -30.83      -11.33     8.76   -31.11       3.788
   19.17    -8.78    -0.72       20.78   -11.45     0.85       3.492
  -10.66    -9.10     3.69      -10.85    -9.60     3.93       0.591
   -8.80    -1.39   -43.06       -9.01    -1.51   -42.81       0.345
   14.73     1.73   -24.84       15.93     1.53   -21.68       3.381
