150 PA5-G-OurOutput-Iter=3.txt 6
-7.153752   97.356827   19.561130   -98.573155   75.996130   -84.452823
   32.20    15.32   -17.80       32.72    15.51   -17.94       0.570
    3.61    -5.56   -24.15        3.98    -5.54   -24.56       0.556
    3.18     6.99   -14.23        3.25     7.73   -14.45       0.776
   -2.68    10.85    43.42       -3.80    11.21    43.93       1.283
  -41.41   -22.36   -29.04      -41.51   -22.41   -29.06       0.119
   -3.57     5.94    12.30       -6.05     7.60    11.56       3.073
   -1.12    12.19    43.64       -2.27    13.40    44.40       1.834
    5.49    -1.58   -22.97        5.58    -1.59   -23.10       0.152
  -36.15    -0.24   -48.05      -35.69    -1.02   -47.03       1.371
   -4.14     6.46    16.53       -7.12     6.89    16.85       3.022
  -43.83    -5.76   -29.77      -44.55    -5.82   -29.92       0.745
  -45.00    -7.22   -20.39      -44.46    -7.13   -20.43       0.545
   12.49   -10.52   -16.12       12.87   -11.62   -16.97       1.442
   18.19   -10.95    10.39       17.40    -9.49     9.27       2.010
   24.64     5.29    17.63       25.95     5.31    18.21       1.432
  -15.62   -24.79   -10.45      -15.56   -24.30   -10.67       0.538
    9.49    -3.78    43.61        9.56    -4.15    43.62       0.379
   23.73    -7.43    -2.25       25.16    -8.60    -1.75       1.917
  -29.70    11.16   -26.14      -29.64    11.06   -26.15       0.114
  -23.60     5.34   -45.87      -23.64     4.87   -45.51       0.592
   -1.83     2.02    49.44       -3.37     1.38    49.49       1.673
   -0.62   -15.42   -31.38       -0.32   -15.19   -31.68       0.481
   -4.52    -1.70   -32.23       -4.62    -1.70   -32.13       0.138
  -18.39    12.46   -24.00      -18.40    12.39   -24.00       0.074
    7.88    -8.76    28.45        7.25    -6.62    27.91       2.299
   25.77     5.43    15.84       26.76     5.50    16.43       1.152
    6.14    18.40    61.44        5.81    18.93    61.39       0.624
   -3.57    -2.65    16.23       -4.83    -3.48    16.67       1.573
   -1.26     1.08    56.00       -2.57     0.08    55.98       1.655
  -12.29   -30.08   -34.93      -12.38   -29.86   -34.92       0.235
